ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link_1
10782,,Ayita LLC - £836.00,2024-09-25,2024-09-25,,Gifts and benefits from sources outside the UK,Angela Rayner,4356,,InKind,"Hospitality - visit to DJ booth, Hï Ibiza",836.00,28/08/2024,28/08/2024,,True,Ayita LLC,"Ayita LLC
10351 Washington Blvd, Culver City, CA 90232",Company,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10782
10723,,"Mr Ronald Chagoury - £1,440.00",2024-09-17,2024-09-17,,Gifts and benefits from sources outside the UK,Helen Grant,4018,,InKind,"Accommodation at the Peninsula Hotel, 19 Av. Kléber, 75116 Paris, France - value €1700 Euro - equivalent to GBP @1.18 = £1440.  I was accompanied by my husband",1440.00,02/09/2024,02/09/2024,03/09/2024,False,Mr Ronald Chagoury,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10723
4566,,Stripe Press Inc - £414.00,2024-03-19,2024-03-22,,Gifts and benefits from sources outside the UK,Neil O'Brien,4679,,InKind,Meals and accommodation at small group retreat in Guildford,414.00,04/03/2024,04/03/2024,06/03/2024,True,Stripe Press Inc,"354 Oyster Point Boulevard, South San Francisco, CA 94080, United States",Friendly society,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/4566
3242,,Association of Marshall Scholars - £465.00,2024-02-07,2024-03-06,,Gifts and benefits from sources outside the UK,Stephen Doughty,4264,,InKind,"Associated with participating in a cross-party conference, accommodation (£315) and hospitality (£150)",465.00,13/01/2024,13/01/2024,14/01/2024,True,Association of Marshall Scholars,"67 35th Street, Unit B-513 Brooklyn, NY 11232",Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/3242
3238,,Association of Marshall Scholars - £465.00,2024-01-26,2024-03-06,,Gifts and benefits from sources outside the UK,Dame Harriett Baldwin,4107,,InKind,"Associated with taking part in the US-UK legislative exchange in Oxford, hospitality and accommodation",465.00,13/01/2024,13/01/2024,14/01/2024,True,Association of Marshall Scholars,"168 Prospect Park SW, Brooklyn, NY 11218, USA",Other,,,,,,US non-profit endowment,https://interests-api.parliament.uk/api/v1/Interests/3238
596,,"HM Government of Gibraltar - £1,275.00",2023-10-24,2023-12-03,,Gifts and benefits from sources outside the UK,Stephen Morgan,4653,,InKind,Four nights' accommodation during the Labour Party Conference,1275.00,08/10/2023,08/10/2023,11/10/2023,True,HM Government of Gibraltar,"Gibraltar House, 150 Strand, London WC2R 1JA",Other,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/596
591,,Viagogo - £838.80,2023-10-10,2023-12-03,,Gifts and benefits from sources outside the UK,Mr Richard Holden,4813,,InKind,One ticket with hospitality for England v New Zealand one day cricket match,838.80,15/09/2023,15/09/2023,,True,Viagogo,"Viagogo AG, Rue de Commerce 4, 1204 Geneva, Switzerland",Company,Viagogo,,outside the UK,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/591
