ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link_1
10984,7406,Payment received on 07 October 2024 - £54.52,2024-10-10,2024-10-10,,Employment and earnings - Ad hoc payments,Alison Hume,5254,True,07/10/2024,,Monetary,Royalties,54.52,0.00,,True,ALCS,False,"Authors' Licensing and Collecting Society, International House, 1 St Katherine's Way, London E1W 1UN",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10984
10920,10919,"Payment received on 25 September 2024 - £1,000.00",2024-10-07,2024-10-09,,Employment and earnings - Ad hoc payments,Emily Thornberry,1536,True,25/09/2024,,Monetary,,1000.00,3.00,3 hour guest presenter slot on LBC - 22 July 2024,False,,False,,,True,Donated by the Member to the recipient,Other,Elizabeth Garrett Anderson School,https://interests-api.parliament.uk/api/v1/Interests/10920
10932,10669,"Payment received on 25 September 2024 - £1,000.00",2024-10-07,2024-10-09,,Employment and earnings - Ad hoc payments,Suella Braverman,4475,True,25/09/2024,,Monetary,One-off Guest Presenting,1000.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10932
10931,10930,"Payment received on 01 October 2024 - £1,500.00",2024-10-07,2024-10-09,,Employment and earnings - Ad hoc payments,Suella Braverman,4475,True,01/10/2024,,Monetary,For articles,1500.00,6.00,Approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10931
10910,6031,Payment received on 04 October 2024 - £250.00,2024-10-05,2024-10-08,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,04/10/2024,,Monetary,,250.00,2.00,Approximate number of hours worked,True,Ime Law Limited (Part of Irwin Mitchell LLP),False,"PO BOX 4986, Sheffield S1 9GD",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10910
10909,7745,"Payment received on 30 September 2024 - £19,590.00",2024-10-05,2024-10-05,,Employment and earnings - Ad hoc payments,Jack Rankin,5340,True,30/09/2024,,Monetary,Commission-type payment paid for work mainly conducted before I was elected a Member of Parliament.,19590.00,0.00,No additional hours to declare.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10909
10901,6464,"Payment received on 22 August 2024 - £16,231.64",2024-10-04,2024-10-04,,Employment and earnings - Ad hoc payments,Mr Connor Rand,5159,True,22/08/2024,,Monetary,,16231.64,0.00,No hours were worked following the election. This payment represents an end of service payment including payment in lieu of notice and holiday,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10901
10889,6031,Payment received on 01 October 2024 - £500.00,2024-10-03,2024-10-03,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,01/10/2024,,Monetary,,500.00,4.00,,True,Law Together LLP,False,"Castlefield House, Liverpool Road, Manchester, M3 4SB",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10889
10890,6031,Payment received on 01 October 2024 - £125.00,2024-10-03,2024-10-03,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,01/10/2024,,Monetary,,125.00,1.00,approx,True,Thompsons Solicitors LLP,False,"Embassy House, 60 Church Street, Birmingham, B3 2DJ",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10890
10891,6031,Payment received on 02 October 2024 - £425.00,2024-10-03,2024-10-03,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,02/10/2024,,Monetary,,425.00,3.50,Estimated number of hours worked,True,DAC Beachcroft Claims Ltd,False,"Wellbar Central, 36 Gallowgate, Newcastle Upon Tyne, NE1 4TD",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10891
10361,7447,"Payment received on 25 July 2024 - £1,887.00",2024-08-04,2024-10-03,2024-10-03,Employment and earnings - Ad hoc payments,Melanie Ward,5240,True,25/07/2024,,Monetary,,1887.00,0.00,none since my election. This payment was donated back to Medical Aid for Palestinians on 31 July 2024,False,,False,,,True,Donated by the Member to the recipient,Charity,,https://interests-api.parliament.uk/api/v1/Interests/10361
10880,8141,"Payment received on 27 September 2024 - £1,141.22",2024-10-02,2024-10-02,,Employment and earnings - Ad hoc payments,Stephen Gethins,4434,True,27/09/2024,,Monetary,,1141.22,25.00,Approximate number of hours as part of my handover / transition period from my role as Assistant Vice-Principal International at the University of St Andrews,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10880
10878,4341,"Payment received on 30 September 2024 - £1,190.00",2024-10-02,2024-10-02,,Employment and earnings - Ad hoc payments,Dr Andrew Murrison,1466,True,30/09/2024,,Monetary,,1190.00,24.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10878
10868,8916,Payment received on 30 September 2024 - £785.77,2024-10-01,2024-10-01,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,True,30/09/2024,,Monetary,,785.77,28.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10868
10871,9226,Payment received on 30 September 2024 - £163.99,2024-10-01,2024-10-01,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,True,30/09/2024,,Monetary,,163.99,14.00,This number is estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10871
10869,10624,"Payment received on 30 September 2024 - £3,044.24",2024-10-01,2024-10-01,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,True,30/09/2024,,Monetary,,3044.24,8.00,This number is estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10869
10867,6852,"Payment received on 30 September 2024 - £60,388.80",2024-10-01,2024-10-01,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,True,30/09/2024,,Monetary,(includes VAT),60388.80,20.00,This number is estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10867
10872,9240,"Payment received on 30 September 2024 - £12,247.71",2024-10-01,2024-10-01,,Employment and earnings - Ad hoc payments,Nigel Farage,5091,True,30/09/2024,,Monetary,,12247.71,24.00,This number is estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10872
10850,4935,Payment received on 25 September 2024 - £205.86,2024-09-30,2024-09-30,,Employment and earnings - Ad hoc payments,Sir Keir Starmer,4514,True,25/09/2024,,Monetary,Copyright payments for books written before my election to Parliament,205.86,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10850
10642,10640,Payment expected for services on 27 August 2024 - £300.00,2024-09-04,2024-09-30,,Employment and earnings - Ad hoc payments,Sir Christopher Chope,242,False,27/08/2024,,Monetary,,300.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10642
10627,6486,"Payment received on 30 August 2024 - £1,120.07",2024-09-03,2024-09-30,,Employment and earnings - Ad hoc payments,Lizzi Collinge,5225,True,30/08/2024,,Monetary,,1120.07,30.00,Estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10627
10641,10640,Payment expected for services on 08 August 2024 - £300.00,2024-09-04,2024-09-30,,Employment and earnings - Ad hoc payments,Sir Christopher Chope,242,False,08/08/2024,,Monetary,,300.00,2.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10641
10853,10852,Payment received on 05 September 2024 - £400.00,2024-09-30,2024-09-30,,Employment and earnings - Ad hoc payments,Torsten Bell,5069,True,05/09/2024,,Monetary,One column a week for August,400.00,8.00,Approximately 2 hours per week,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10853
10837,10718,Payment received on 06 September 2024 - £400.00,2024-09-27,2024-09-27,,Employment and earnings - Ad hoc payments,Clive Lewis,4500,True,06/09/2024,,Monetary,1 article written (the foreward),400.00,4.00,Approximate,True,Joseph Rowntree Charitable Trust,False,"The Garden House, Water End, York YO30 6WQ",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10837
10820,10819,Payment received on 20 September 2024 - £325.00,2024-09-27,2024-09-27,,Employment and earnings - Ad hoc payments,Chris Bryant,1446,True,20/09/2024,,Monetary,,325.00,0.00,no additional hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10820
10825,10545,"Payment received on 27 August 2024 - £3,646.72",2024-09-26,2024-09-26,,Employment and earnings - Ad hoc payments,Imogen Walker,5136,True,27/08/2024,,Monetary,Final payment for work undertaken before the election,3646.72,0.00,none since my election,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10825
10829,9814,"Payment received on 17 September 2024 - £1,400.00",2024-09-26,2024-09-26,,Employment and earnings - Ad hoc payments,Chris McDonald,5116,True,17/09/2024,,Monetary,,1400.00,28.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10829
10826,4365,"Payment received on 20 September 2024 - £11,425.00",2024-09-26,2024-09-26,,Employment and earnings - Ad hoc payments,Jess Phillips,4370,True,20/09/2024,,Monetary,Payment from book contract,11425.00,0.00,No additional hours worked,True,Simon & Schuster UK,False,"1st Floor, 222 Gray's Inn Road, London WC1X 8HB",Publisher,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10826
10821,10819,Payment received on 22 March 2024 - £134.00,2024-09-26,2024-09-26,,Employment and earnings - Ad hoc payments,Chris Bryant,1446,True,22/03/2024,,Monetary,,134.00,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10821
10804,10773,"Payment received on 10 September 2024 - £9,225.00",2024-09-25,2024-09-25,,Employment and earnings - Ad hoc payments,Naz Shah,4409,True,10/09/2024,,Monetary,first advance of four advances for book writing,9225.00,80.00,approximately,True,The Orion Publishing Group Ltd of Carmelite House,False,"50 Victoria Embankment, London EC4Y 0DZ",Publisher,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10804
10686,10026,Payment received on 15 September 2024 - £242.12,2024-09-25,2024-09-25,,Employment and earnings - Ad hoc payments,Jonathan Davies,5256,True,15/09/2024,,Monetary,Final payment. I will no longer be receiving an allowance.,242.12,15.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10686
10802,4932,Payment received on 20 September 2024 - £673.00,2024-09-25,2024-09-25,,Employment and earnings - Ad hoc payments,Jesse Norman,3991,True,20/09/2024,,Monetary,,673.00,10.00,number of hours worked is estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10802
10803,3671,Payment received on 25 September 2024 - £750.00,2024-09-25,2024-09-25,,Employment and earnings - Ad hoc payments,Sir Iain Duncan Smith,152,True,25/09/2024,,Monetary,"Article written for the Sun on Sunday titled ""It makes no sense for ban outside"" on 1 September 2024",750.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10803
10797,8141,"Payment received on 29 August 2024 - £1,658.16",2024-09-24,2024-09-24,,Employment and earnings - Ad hoc payments,Stephen Gethins,4434,True,29/08/2024,,Monetary,Estimated payment to cover transition period from my employer that pre-dated the General Election,1658.16,30.00,This covered a handover period from my employer before the General Election,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10797
10763,10573,"Payment received on 19 August 2024 - £2,250.00",2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Jake Richards,5082,True,19/08/2024,,Monetary,Payment for legal services undertaken prior to being elected as the MP.,2250.00,20.00,Estimate of hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10763
10778,6031,Payment received on 20 September 2024 - £250.00,2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,20/09/2024,,Monetary,,250.00,2.00,Approximate hours worked,True,Simpson Millar LLP,False,"100 Talbot Road, Stretford, Manchester, M16 0PG",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10778
10764,10573,"Payment received on 22 August 2024 - £2,250.00",2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Jake Richards,5082,True,22/08/2024,,Monetary,Payment for legal services provided before being elected as an MP,2250.00,20.00,Estimate as to hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10764
10767,10573,"Payment received on 18 September 2024 - £1,800.00",2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Jake Richards,5082,True,18/09/2024,,Monetary,Payment for legal work undertaken prior to being elected as an MP,1800.00,12.00,Estimate of hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10767
10777,6031,"Payment received on 20 September 2024 - £2,975.00",2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,20/09/2024,,Monetary,,2975.00,17.00,Approximate number of hours worked,True,FBC Manby Bowdler LLP,False,"6-10 George Street, Snow Hill, Wolverhampton WV2 4DN",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10777
10765,10573,"Payment received on 27 August 2024 - £2,750.00",2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Jake Richards,5082,True,27/08/2024,,Monetary,Payment for legal work provided prior to being elected,2750.00,25.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10765
10762,10573,"Payment received on 15 August 2024 - £3,210.00",2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Jake Richards,5082,True,15/08/2024,,Monetary,Payment for legal work undertaken prior to being elected.,3210.00,25.00,Estimate of hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10762
10761,10573,"Payment received on 12 August 2024 - £2,850.00",2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Jake Richards,5082,True,12/08/2024,,Monetary,Fees for legal services performed before being elected.,2850.00,20.00,This is an estimate for the work,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10761
10766,10573,"Payment received on 02 September 2024 - £1,500.00",2024-09-20,2024-09-20,,Employment and earnings - Ad hoc payments,Jake Richards,5082,True,02/09/2024,,Monetary,Payment for legal work undertaken prior to being elected as an MP,1500.00,10.00,Estimate of hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10766
10753,3636,Payment received on 29 August 2024 - £630.00,2024-09-19,2024-09-19,,Employment and earnings - Ad hoc payments,Dr Rosena Allin-Khan,4573,True,29/08/2024,,Monetary,,630.00,9.50,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10753
10572,6453,"Payment received on 22 August 2024 - £14,566.67",2024-09-16,2024-09-19,,Employment and earnings - Ad hoc payments,Michael Wheeler,5242,True,22/08/2024,,Monetary,Final payment from pre-election employer including payment in lieu of notice and holiday.,14566.67,0.00,No hours were worked following the election. This payment represents an end of service payment including payment in lieu of notice and holiday,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10572
8777,6486,"Payment received on 31 July 2024 - £1,120.07",2024-09-03,2024-09-19,,Employment and earnings - Ad hoc payments,Lizzi Collinge,5225,True,31/07/2024,,Monetary,,1120.07,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8777
10636,5988,"Payment received on 08 August 2024 - £1,162.00",2024-09-04,2024-09-18,,Employment and earnings - Ad hoc payments,Tony Vaughan,5067,True,08/08/2024,,Monetary,Payment is for work done before 4 July 2024. Doughty Street Chambers takes around 20% of this figure,1162.00,19.00,approximate hours worked,True,Confidential,False,"Birnberg Peirce Ltd, 14 Inverness Street London United Kingdom",Solicitors,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10636
10709,10708,"Payment received on 13 September 2024 - £1,688.69",2024-09-16,2024-09-16,,Employment and earnings - Ad hoc payments,Sarah Hall,5154,True,13/09/2024,,Monetary,Backpay received from council for previous council role.,1688.69,0.00,Monthly councillor allowance backdated to 21/22,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10709
10715,10714,"Payment received on 10 September 2024 - £2,250.00",2024-09-16,2024-09-16,,Employment and earnings - Ad hoc payments,Ms Diane Abbott,172,True,10/09/2024,,Monetary,,2250.00,20.00,,True,Penguin Audio,False,"3 Viaduct Gdns, Nine Elms, London SW11 7AY",Publisher,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10715
10712,3871,"Payment received on 12 September 2024 - £3,356.00",2024-09-16,2024-09-16,,Employment and earnings - Ad hoc payments,Chris Bryant,1446,True,12/09/2024,Italian translation of a book,Monetary,,3356.00,0.00,no additional hours,True,Nero Pozza Editore,False,"Via Enrico Fermi 205, 36100 Vicenza Italy",Publishing,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10712
10729,10717,Payment received on 31 August 2024 - £755.76,2024-09-16,2024-09-16,2024-09-25,Employment and earnings - Ad hoc payments,Irene Campbell,5145,True,31/08/2024,,Monetary,Final payment,755.76,0.00,none since my election,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10729
10697,7878,Payment received on 06 September 2024 - £731.05,2024-09-15,2024-09-15,,Employment and earnings - Ad hoc payments,Phil Brickell,5128,True,06/09/2024,,Monetary,,731.05,10.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10697
10678,6322,"Payment received on 06 August 2024 - £1,857.00",2024-09-11,2024-09-11,,Employment and earnings - Ad hoc payments,Peter Prinsley,5163,True,06/08/2024,,Monetary,,1857.00,6.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10678
10684,3871,"Payment received on 11 September 2024 - £50,000.00",2024-09-11,2024-09-11,,Employment and earnings - Ad hoc payments,Chris Bryant,1446,True,11/09/2024,,Monetary,,50000.00,80.00,Approximately 80 hours over three years,True,Bloomsbury Publishing,False,"50 Bedford Square, London WC1B 3DP",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10684
10675,6315,Payment received on 26 July 2024 - £570.64,2024-09-11,2024-09-11,,Employment and earnings - Ad hoc payments,Peter Prinsley,5163,True,26/07/2024,,Monetary,operating list on 2 patients,570.64,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10675
10676,6941,Payment received on 30 July 2024 - £650.00,2024-09-11,2024-09-11,,Employment and earnings - Ad hoc payments,Peter Prinsley,5163,True,30/07/2024,,Monetary,,650.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10676
10689,5142,"Payment received on 02 September 2024 - £12,000.00",2024-09-11,2024-09-11,,Employment and earnings - Ad hoc payments,Sir Geoffrey Cox,1508,True,02/09/2024,,Monetary,,12000.00,12.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10689
10671,10669,"Payment received on 23 August 2024 - £1,000.00",2024-09-09,2024-09-11,,Employment and earnings - Ad hoc payments,Suella Braverman,4475,True,23/08/2024,,Monetary,,1000.00,3.00,plus 2 hours prep,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10671
10677,6941,Payment received on 01 August 2024 - £450.00,2024-09-11,2024-09-11,,Employment and earnings - Ad hoc payments,Peter Prinsley,5163,True,01/08/2024,,Monetary,,450.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10677
10668,5193,"Payment received on 03 September 2024 - £1,500.00",2024-09-09,2024-09-11,,Employment and earnings - Ad hoc payments,Suella Braverman,4475,True,03/09/2024,,Monetary,for articles,1500.00,6.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10668
10667,5193,Payment received on 20 August 2024 - £750.00,2024-09-09,2024-09-11,,Employment and earnings - Ad hoc payments,Suella Braverman,4475,True,20/08/2024,,Monetary,for articles,750.00,3.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10667
10680,6941,Payment received on 30 August 2024 - £500.00,2024-09-11,2024-09-11,,Employment and earnings - Ad hoc payments,Peter Prinsley,5163,True,30/08/2024,,Monetary,,500.00,3.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10680
10681,8004,"Payment received on 23 August 2024 - £10,668.00",2024-09-11,2024-09-11,,Employment and earnings - Ad hoc payments,Tracy Gilbert,5188,True,23/08/2024,,Monetary,Payment in lieu of notice,10668.00,40.00,Payment in lieu of notice,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10681
10623,8623,Payment received on 23 August 2024 - £496.00,2024-09-02,2024-09-10,,Employment and earnings - Ad hoc payments,Ian Roome,5138,True,23/08/2024,,Monetary,20 hrs a month this is an estimate of hours as it depends on casework.,496.00,20.00,20 hrs a month this is an estimate of hours as it depends on casework,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10623
10650,4367,"Payment received on 21 August 2024 - £1,938.00",2024-09-06,2024-09-10,,Employment and earnings - Ad hoc payments,Jess Phillips,4370,True,21/08/2024,,Monetary,,1938.00,5.00,"This is final payment for podcast appearances with Sky News in April, May, June",True,Sky News,False,"Grant Way, Isleworth, Middlesex, TW7 5QD",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10650
10639,3680,Payment received on 20 August 2024 - £250.00,2024-09-06,2024-09-10,,Employment and earnings - Ad hoc payments,Sir Iain Duncan Smith,152,True,20/08/2024,,Monetary,Article published on 30 July 2024,250.00,4.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10639
10566,4017,Payment received on 28 August 2024 - £359.20,2024-08-28,2024-09-02,,Employment and earnings - Ad hoc payments,Paulette Hamilton,4938,True,28/08/2024,,Monetary,,359.20,15.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10566
