ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,PaymentReceived,ReceivedDate,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link_1
11086,4367,"Payment received on 01 October 2024 - £2,460.00",2024-10-27,2024-10-28,,Employment and earnings - Ad hoc payments,Jess Phillips,4370,True,01/10/2024,,Monetary,,2460.00,2.00,,True,Sky News,False,"Grant Way, Isleworth, Middlesex TW7 5QD",,True,Paid direct to the recipient by the payer,Charity,,https://interests-api.parliament.uk/api/v1/Interests/11086
11082,6031,Payment received on 24 October 2024 - £710.00,2024-10-26,2024-10-28,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,24/10/2024,,Monetary,,710.00,7.00,Approximate number of hours worked,True,Applebys Solicitors Limited t/a Applebys,False,"Intake House, Intake Road, Bradford BD2 3JR",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11082
11089,6957,Payment received on 24 October 2024 - £586.07,2024-10-28,2024-10-28,,Employment and earnings - Ad hoc payments,Sojan Joseph,5247,True,24/10/2024,,Monetary,This is back dated arrears payment for the period from 1/4/2024 to 4/07/2024,586.07,37.50,37.5 hours per week.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11089
10924,4353,Payment received on 03 October 2024 - £186.22,2024-10-28,2024-10-28,,Employment and earnings - Ad hoc payments,Jesse Norman,3991,True,03/10/2024,,Monetary,,186.22,0.00,no additional hours,True,Penguin Books Ltd,False,"One, Embassy Gardens, 8 Viaduct Gdns, Nine Elms, London SW11 7BW",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10924
11068,3818,Payment expected for services on 23 October 2024 - £150.00,2024-10-24,2024-10-24,,Employment and earnings - Ad hoc payments,Dame Karen Bradley,4110,False,23/10/2024,,Monetary,,150.00,1.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11068
11054,6031,Payment received on 21 October 2024 - £150.00,2024-10-22,2024-10-23,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,21/10/2024,,Monetary,,150.00,1.50,Estimated number of hours worked,True,Talbot Law Limited,False,"Morgan House, 25-27 Hagley Road, Stourbridge, West Midlands, DY8 1QH",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11054
11012,11008,"Payment received on 14 October 2024 - £4,000.00",2024-10-22,2024-10-23,,Employment and earnings - Ad hoc payments,Jeremy Hunt,1572,True,14/10/2024,,Monetary,Speech at the Nesta Policy Live Event,4000.00,2.00,,True,Nesta,False,"58 Victoria Embankment, London EC4Y 0DS",Registered charity,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11012
11057,10852,Payment received on 04 October 2024 - £500.00,2024-10-23,2024-10-23,,Employment and earnings - Ad hoc payments,Torsten Bell,5069,True,04/10/2024,,Monetary,,500.00,10.00,Estimated up to 2 hours per week,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11057
11059,4353,Payment received on 17 October 2024 - £402.79,2024-10-23,2024-10-23,,Employment and earnings - Ad hoc payments,Jesse Norman,3991,True,17/10/2024,,Monetary,,402.79,0.00,no additional hours,True,Everyman's Library,False,"50 Albemarle Street, London W1S 4BD",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11059
11060,4353,Payment received on 10 October 2024 - £78.28,2024-10-23,2024-10-23,,Employment and earnings - Ad hoc payments,Jesse Norman,3991,True,10/10/2024,,Monetary,,78.28,0.00,no additional hours,True,HarperCollins Publishers,False,"103 Westerhill Road, Bishopsbriggs, Glasgow G64 2QT",,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11060
11040,6031,Payment received on 16 October 2024 - £200.00,2024-10-19,2024-10-21,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,16/10/2024,,Monetary,,200.00,1.00,,True,Mark Reynolds Solicitors,False,"13-15 Suez Street, Warrington WA1 1EF",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11040
11010,11009,"Payment received on 09 October 2024 - £3,000.00",2024-10-15,2024-10-17,,Employment and earnings - Ad hoc payments,Barry Gardiner,146,True,09/10/2024,,Monetary,,3000.00,36.00,2 days travel plus preparation of speeches,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11010
10992,6031,Payment received on 09 October 2024 - £375.00,2024-10-12,2024-10-14,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,09/10/2024,,Monetary,The figure includes 15% to be deducted for Chambers' expenses,375.00,3.00,,True,Law Together LLP,False,"Castlefield House, Liverpool Road, Manchester M3 4SB",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10992
11000,8538,"Payment received on 30 September 2024 - £1,000.00",2024-10-14,2024-10-14,,Employment and earnings - Ad hoc payments,Barry Gardiner,146,True,30/09/2024,,Monetary,,1000.00,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11000
10993,6031,Payment received on 08 October 2024 - £500.00,2024-10-12,2024-10-14,,Employment and earnings - Ad hoc payments,Dr Neil Shastri-Hurst,5197,True,08/10/2024,,Monetary,The figure includes 15% to be deducted for Chambers' expenses,500.00,4.00,Estimated number of hours worked,True,Horwich Cohen Coghlan Ltd,False,"Trafford House, Chester Road, Manchester M32 0RS",Solicitor,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10993
10991,5320,Payment received on 03 October 2024 - £634.00,2024-10-11,2024-10-14,,Employment and earnings - Ad hoc payments,Chris Evans,4040,True,03/10/2024,,Monetary,Royalties for book on Don Revie,634.00,0.00,,True,Bloomsbury Publishing PLC,False,"31 Bedford Avenue, London WC1B 3AT",Publishing,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10991
