ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,RegularityOfPayment,StartDate,EndDate,PeriodForHoursWorked,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link_1
11070,6685,"Agreement - £3,960.00",2024-10-28,2024-10-28,,Employment and earnings - Ongoing paid employment,Andy MacNae,5134,Yearly,,,Yearly,,In kind,Use of company vehicle. (Since leaving the company employment on 5 July I have retained use of the company vehicle until it is sold).,3960.00,0.00,No hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11070
11094,11093,"Agreement - £13,777.00",2024-10-28,2024-10-28,,Employment and earnings - Ongoing paid employment,Lorraine Beavers,5232,Yearly,,,Monthly,,Monetary,"approximate annual allowance, paid monthly.",13777.00,20.00,approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11094
11092,11029,"Agreement starting 15 July 2024 - £4,704.39",2024-10-28,2024-10-28,,Employment and earnings - Ongoing paid employment,Lorraine Beavers,5232,Yearly,15/07/2024,,Monthly,,Monetary,"approximate annual allowance, paid monthly.",4704.39,20.00,approximate hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11092
6037,6030,"Agreement - £1,444.78",2024-08-02,2024-10-17,2024-10-16,Employment and earnings - Ongoing paid employment,Lisa Smart,5070,Monthly,,10/09/2024,Monthly,,Monetary,including a Special Responsibility Allowance,1444.78,20.00,estimate of average hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6037
6557,6552,"Agreement - £2,791.72",2024-07-31,2024-10-10,2024-10-09,Employment and earnings - Ongoing paid employment,Chris Kane,5155,Monthly,,24/09/2024,Weekly,,Monetary,,2791.72,20.00,this is an approximate number,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6557
10886,6111,Agreement starting 06 May 2010 - £115.23,2024-10-03,2024-10-09,,Employment and earnings - Ongoing paid employment,Peter Lamb,5345,Monthly,06/05/2010,06/09/2024,Monthly,,Monetary,,115.23,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10886
10716,6111,Agreement starting 06 May 2010 - £619.50,2024-10-03,2024-10-09,,Employment and earnings - Ongoing paid employment,Peter Lamb,5345,Monthly,06/05/2010,06/09/2024,Monthly,,Monetary,,619.50,0.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10716
8266,7158,"Agreement - £21,345.00",2024-07-30,2024-09-27,2024-09-25,Employment and earnings - Ongoing paid employment,Susan Murray,5157,Yearly,,,Monthly,,Monetary,,21345.00,90.00,This is an approximate number of hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8266
6406,6387,Agreement - £921.22,2024-07-23,2024-09-27,2024-09-26,Employment and earnings - Ongoing paid employment,Tom Morrison,5090,Monthly,,09/09/2024,Weekly,,Monetary,,921.22,17.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6406
10793,10792,"Agreement starting 31 July 2023 - £1,223.38",2023-08-17,2024-09-23,,Employment and earnings - Ongoing paid employment,Sarah Dyke,4995,Monthly,31/07/2023,,Weekly,,Monetary,,1223.38,7.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10793
7154,7153,Agreement - £393.50,2024-07-25,2024-09-11,2024-08-23,Employment and earnings - Ongoing paid employment,Peter Prinsley,5163,Monthly,,23/08/2024,Monthly,,Monetary,,393.50,10.00,estimated hours,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7154
8630,8627,"Agreement starting 02 May 2011 - £13,900.00",2024-08-02,2024-09-02,,Employment and earnings - Ongoing paid employment,Satvir Kaur,5271,Yearly,02/05/2011,30/07/2024,Weekly,,Monetary,,13900.00,35.00,estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/8630
7898,7897,"Agreement - £1,433.50",2024-07-31,2024-09-02,2024-08-30,Employment and earnings - Ongoing paid employment,Marie Goldman,5073,Monthly,,24/07/2024,Weekly,Deputy Leader of the Council and Cabinet Member,Monetary,,1433.50,22.50,Hours worked are approximate.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7898
6132,6131,"Agreement starting 05 July 2024 - £9,627.00",2024-07-11,2024-09-02,2024-09-06,Employment and earnings - Ongoing paid employment,Vikki Slade,5327,Yearly,05/07/2024,31/07/2024,Monthly,advice and scrutiny,Monetary,,9627.00,16.00,approximate hours worked,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/6132
7983,7978,"Agreement - £1,083.69",2024-08-03,2024-09-02,2024-08-23,Employment and earnings - Ongoing paid employment,Callum Anderson,5193,Monthly,,31/07/2024,Weekly,,Monetary,I received the allowance in July 2024 but declined the allowance for August 2024.,1083.69,10.00,Approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7983
9582,6538,"Agreement - £2,333.65",2024-08-02,2024-08-30,2024-08-29,Employment and earnings - Ongoing paid employment,Martin Wrigley,5111,Monthly,,30/07/2024,Weekly,,Monetary,,2333.65,30.00,the hours worked vary with council business,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9582
9585,6541,"Agreement - £1,715.58",2024-08-02,2024-08-30,2024-08-29,Employment and earnings - Ongoing paid employment,Martin Wrigley,5111,Monthly,,30/07/2024,Weekly,,Monetary,,1715.58,20.00,hours vary with council business,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/9585
7906,7901,"Agreement - £1,144.17",2024-07-31,2024-08-30,2024-08-30,Employment and earnings - Ongoing paid employment,Marie Goldman,5073,Monthly,,,Weekly,,Monetary,,1144.17,5.00,"This is estimated and approximate. Some weeks it's more, some weeks less.",False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/7906
10593,6538,"Agreement starting 01 September 2024 - £1,906.72",2024-08-29,2024-08-30,2024-09-26,Employment and earnings - Ongoing paid employment,Martin Wrigley,5111,Monthly,01/09/2024,,Weekly,,Monetary,,1906.72,8.00,variable hours according to council business,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10593
10594,6541,"Agreement starting 01 August 2024 - £1,256.83",2024-08-29,2024-08-30,,Employment and earnings - Ongoing paid employment,Martin Wrigley,5111,Monthly,01/08/2024,,Weekly,,Monetary,,1256.83,8.00,hours vary according to council business,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/10594
