ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,AroseOn,EndDate,DonorName,Description,MiscellaneousInterestType,Link,Updated_2,Updated_3,Updated_4,Updated_5
11147,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,,2024-10-31,2024-11-05,,Miscellaneous,1524,Dame Meg Hillier,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11147,,,,
11146,Chair of the House Magazine Advisory Board. This is an unpaid role.,,2024-10-31,2024-11-05,,Miscellaneous,1524,Dame Meg Hillier,2024-10-23,,,Chair of the House Magazine Advisory Board. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11146,,,,
11179,A Member of the Executive Committee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,,2024-10-31,2024-11-05,,Miscellaneous,4107,Dame Harriett Baldwin,2024-10-16,,,A Member of the Executive Committee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11179,,,,
11149,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch).,,2024-10-31,2024-11-01,,Miscellaneous,5319,Robin Swann,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch).,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11149,,,,
11138,"Director, Industry and Parliament Trust",,2024-10-31,2024-11-01,,Miscellaneous,4602,Wera Hobhouse,2024-10-26,,,"Director, Industry and Parliament Trust",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11138,,,,
11142,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch).,,2024-10-31,2024-11-01,,Miscellaneous,4515,Kate Osamor,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch).,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11142,,,,
11145,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch),,2024-10-31,2024-11-01,,Miscellaneous,4610,Bambos Charalambous,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch),Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11145,,,,
11143,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,,2024-10-31,2024-11-01,,Miscellaneous,1521,Mrs Sharon Hodgson,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/11143,,,,
11052,Patron of NAIRO - National Association of Independent Reviewing Officers. This is an unpaid role.,,2024-10-22,2024-10-23,,Miscellaneous,4277,Mrs Emma Lewell-Buck,2019-05-15,,,Patron of NAIRO - National Association of Independent Reviewing Officers. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11052,,,,
11053,Patron of Forward Assist - a military veterans charity,,2024-10-22,2024-10-23,,Miscellaneous,4277,Mrs Emma Lewell-Buck,2018-01-01,,,Patron of Forward Assist - a military veterans charity,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11053,,,,
11051,"Member of the Advisory Council, Sea Power Laboratory at the Council on Geostrategy.  This is an unpaid role",,2024-10-22,2024-10-23,,Miscellaneous,4277,Mrs Emma Lewell-Buck,2024-10-22,,,"Member of the Advisory Council, Sea Power Laboratory at the Council on Geostrategy.  This is an unpaid role",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11051,,,,
9772,Elected Councillor on Fleetwood Town Council. This is an unpaid role,,2024-10-18,2024-10-21,,Miscellaneous,5232,Lorraine Beavers,2024-07-05,2025-07-05,,Elected Councillor on Fleetwood Town Council. This is an unpaid role,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/9772,,,,
11034,Unpaid Director of The Fife Carers Centre (registered company number: SC282309),,2024-10-18,2024-10-21,,Miscellaneous,4765,Wendy Chamberlain,2024-10-17,,,Unpaid Director of The Fife Carers Centre (registered company number: SC282309),Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11034,,,,
11038,"Unpaid director of Alto Energy, (wholesale of hardware, plumbing and heating equipment and supplies)",,2024-10-18,2024-10-18,,Miscellaneous,5158,Rupert Lowe,,,,"Unpaid director of Alto Energy, (wholesale of hardware, plumbing and heating equipment and supplies)",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11038,,,,
11039,Unpaid director of Scarabus (other sports activities),,2024-10-18,2024-10-18,,Miscellaneous,5158,Rupert Lowe,,,,Unpaid director of Scarabus (other sports activities),Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11039,,,,
11011,"Parliamentary Chair of Labour Digital, a members' association for those with an interest in technology. This is an unpaid role.",,2024-10-15,2024-10-16,,Miscellaneous,5060,Josh Simons,2023-09-23,,,"Parliamentary Chair of Labour Digital, a members' association for those with an interest in technology. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11011,,,,
1928,"Member (unpaid) of the Financial Inclusion Commission, a cross-party organisation which supports the principle of increased financial inclusion in the UK.",,2022-03-21,2024-10-14,2024-10-12,Miscellaneous,4253,Seema Malhotra,2018-12-01,2024-09-16,,"Member (unpaid) of the Financial Inclusion Commission, a cross-party organisation which supports the principle of increased financial inclusion in the UK.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1928,,,,
10989,"Donation in kind - Loan of clothing. At the time of registration, the estimated value of the item is below the registerable threshold",,2024-10-11,2024-10-11,,Miscellaneous,4082,Lisa Nandy,2024-09-20,,The 223 Agency,"Donation in kind - Loan of clothing. At the time of registration, the estimated value of the item is below the registerable threshold",Other,https://interests-api.parliament.uk/api/v1/Interests/10989,,,,
6665,"Trustee of Braehead, Broomridge and District Community Development Trust. This is an unpaid role.",,2024-07-29,2024-10-10,2024-10-09,Miscellaneous,5155,Chris Kane,,2024-09-27,,"Trustee of Braehead, Broomridge and District Community Development Trust. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6665,,,,
9357,Board Member of the Central Scotland Valuation Joint Board.,,2024-08-02,2024-10-10,2024-10-09,Miscellaneous,5155,Chris Kane,,2024-09-24,,Board Member of the Central Scotland Valuation Joint Board.,Other,https://interests-api.parliament.uk/api/v1/Interests/9357,,,,
10982,Unpaid director of Biopharma Technology Ltd.,,2024-10-10,2024-10-10,,Miscellaneous,5158,Rupert Lowe,,,,Unpaid director of Biopharma Technology Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10982,,,,
9973,Vice Chair of the Stirling and Clackmannanshire City Region Deal Joint Committee.,,2024-08-03,2024-10-10,2024-10-09,Miscellaneous,5155,Chris Kane,,2024-09-24,,Vice Chair of the Stirling and Clackmannanshire City Region Deal Joint Committee.,Other,https://interests-api.parliament.uk/api/v1/Interests/9973,,,,
9374,Substitute Member of Scotland Excel Joint Committee.,,2024-08-02,2024-10-10,2024-10-09,Miscellaneous,5155,Chris Kane,,2024-09-24,,Substitute Member of Scotland Excel Joint Committee.,Other,https://interests-api.parliament.uk/api/v1/Interests/9374,,,,
10976,"Unpaid director of Dripping Rock, freshwater fishing.",,2024-10-10,2024-10-10,,Miscellaneous,5158,Rupert Lowe,,,,"Unpaid director of Dripping Rock, freshwater fishing.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10976,,,,
9367,Convention of Scottish Local Authorities (CoSLA).,,2024-08-02,2024-10-10,2024-10-09,Miscellaneous,5155,Chris Kane,,2024-09-24,,Convention of Scottish Local Authorities (CoSLA).,Other,https://interests-api.parliament.uk/api/v1/Interests/9367,,,,
10979,"Unpaid director of Lowe and Oliver Ltd (Electrical Installation, Plumbing, Heat and air-conditioning installation).",,2024-10-10,2024-10-10,,Miscellaneous,5158,Rupert Lowe,,,,"Unpaid director of Lowe and Oliver Ltd (Electrical Installation, Plumbing, Heat and air-conditioning installation).",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10979,,,,
6667,Director of Stirling Technology Projects Ltd. This is an unpaid role.,,2024-07-29,2024-10-10,2024-10-09,Miscellaneous,5155,Chris Kane,,2024-09-24,,Director of Stirling Technology Projects Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6667,,,,
10983,Unpaid director of Futebol De Salao.,,2024-10-10,2024-10-10,,Miscellaneous,5158,Rupert Lowe,,,,Unpaid director of Futebol De Salao.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10983,,,,
10981,Unpaid director of Biopharma Process Systems Limited.,,2024-10-10,2024-10-10,,Miscellaneous,5158,Rupert Lowe,,,,Unpaid director of Biopharma Process Systems Limited.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10981,,,,
10977,Unpaid director of ICFDS Global.,,2024-10-10,2024-10-10,,Miscellaneous,5158,Rupert Lowe,,,,Unpaid director of ICFDS Global.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10977,,,,
10978,Unpaid director of AV Path Ltd.,,2024-10-10,2024-10-10,,Miscellaneous,5158,Rupert Lowe,,,,Unpaid director of AV Path Ltd.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10978,,,,
10953,Director of Labour First Ltd. This is an unpaid role.,,2024-10-09,2024-10-09,,Miscellaneous,5059,Gurinder Singh Josan,2024-09-26,,,Director of Labour First Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10953,,,,
10884,"Director, BID Huntingdon Ltd",,2024-10-02,2024-10-08,,Miscellaneous,5089,Ben Obese-Jecty,2024-09-13,,,"Director, BID Huntingdon Ltd",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10884,,,,
10943,Member of the Board of Directors of the Canadian Audit and Accountability Foundation. This is an unpaid role.,,2024-10-08,2024-10-08,,Miscellaneous,1524,Dame Meg Hillier,2024-09-26,,,Member of the Board of Directors of the Canadian Audit and Accountability Foundation. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10943,,,,
10926,Chairman of the United & Cecil Club. This is an unpaid role.,,2024-10-07,2024-10-07,,Miscellaneous,4358,Wendy Morton,2024-09-18,,,Chairman of the United & Cecil Club. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10926,,,,
6691,Labour Party representative on the Derby Museums Trust. This is an unpaid role.,,2024-07-19,2024-10-04,2024-10-03,Miscellaneous,5342,John Whitby,,2024-07-17,,Labour Party representative on the Derby Museums Trust. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6691,,,,
10898,Vice President of The Association for Decentralised Energy,,2024-10-03,2024-10-04,,Miscellaneous,5047,James Naish,2024-09-04,,,Vice President of The Association for Decentralised Energy,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10898,,,,
6015,Public Governor of Gloucestershire NHS Hospitals Trust. This is an unpaid role.,,2024-07-10,2024-10-04,2024-10-01,Miscellaneous,5323,Matt Bishop,2023-08-01,2024-10-01,,Public Governor of Gloucestershire NHS Hospitals Trust. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6015,,,,
10894,Director of Newhaven Fishing Community Interest Company. This is an unpaid role.,,2024-10-03,2024-10-03,,Miscellaneous,5265,James MacCleary,2024-09-01,,,Director of Newhaven Fishing Community Interest Company. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10894,,,,
10879,I am a member of Arbroath Town Board. This is an unpaid role.,,2024-10-02,2024-10-02,,Miscellaneous,4434,Stephen Gethins,2024-07-05,,,I am a member of Arbroath Town Board. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10879,,,,
10643,Member of Norwich Town Deal Board. This is an unpaid role,,2024-09-04,2024-09-30,,Miscellaneous,5133,Alice Macdonald,2024-08-30,,,Member of Norwich Town Deal Board. This is an unpaid role,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10643,,,,
10858,"I remain a paid season ticket holder at Arsenal but, given security advice, the club has said it will find seats for my son and I in the Directors’ Box whenever practicable.",,2024-09-30,2024-09-30,,Miscellaneous,4514,Sir Keir Starmer,2024-09-27,,The Arsenal Football Club Ltd,"I remain a paid season ticket holder at Arsenal but, given security advice, the club has said it will find seats for my son and I in the Directors’ Box whenever practicable.",Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/10858,,,,
10857,"Trustee of The Dartmouth Street Trust, which makes grants for the promotion of studies in political, economic and social science and cognate educational subjects, and for the promotion of education and dissemination of knowledge in such science and subjects.",,2024-09-30,2024-09-30,,Miscellaneous,5156,Jess Asato,,,,"Trustee of The Dartmouth Street Trust, which makes grants for the promotion of studies in political, economic and social science and cognate educational subjects, and for the promotion of education and dissemination of knowledge in such science and subjects.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10857,,,,
10838,Unpaid Directorship of New Ireland Commission Ltd. This is an unpaid role.,,2024-09-27,2024-09-27,,Miscellaneous,4846,Colum Eastwood,2024-08-30,,,Unpaid Directorship of New Ireland Commission Ltd. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10838,,,,
8211,"Councillor, London Borough of Bexley. This is an unpaid role.",,2024-07-31,2024-09-27,2024-09-27,Miscellaneous,5184,Daniel Francis,,2024-08-30,,"Councillor, London Borough of Bexley. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/8211,,,,
7089,"Borough Councillor, Redcar and Cleveland Borough Council. This is an unpaid role.",,2024-07-23,2024-09-27,2024-09-26,Miscellaneous,5147,Luke Myer,,2024-09-05,,"Borough Councillor, Redcar and Cleveland Borough Council. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/7089,,,,
10725,"My husband, Marcus Whately, is Chief Executive of GrowUp Farms, a salad producer.",,2024-09-17,2024-09-25,,Miscellaneous,4527,Helen Whately,,,,"My husband, Marcus Whately, is Chief Executive of GrowUp Farms, a salad producer.",Other,https://interests-api.parliament.uk/api/v1/Interests/10725,,,,
1814,"Unpaid adviser to Pomeroon Trading Inc, an environmentally sustainable company that grows and exports coconuts and agricultural produce. I provide advice on Guyana, the Caribbean and on the company’s community development fund. I hold share options below the level for registration under the category for shareholdings.",,2024-09-24,2024-09-24,,Miscellaneous,206,Mr David Lammy,2019-01-01,2024-09-10,,"Unpaid adviser to Pomeroon Trading Inc, an environmentally sustainable company that grows and exports coconuts and agricultural produce. I provide advice on Guyana, the Caribbean and on the company’s community development fund. I hold share options below the level for registration under the category for shareholdings.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1814,,,,
1816,Envoy Extraordinaire of the University of Guyana. This is an unpaid role.,,2020-09-30,2024-09-24,,Miscellaneous,206,Mr David Lammy,2020-02-21,2024-09-10,,Envoy Extraordinaire of the University of Guyana. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1816,,,,
10757,Leas Ard Runaí (Deputy General Secretary) of Sinn Féin. I receive £1702.00 a month for this role. This is a part-time role.,,2024-09-06,2024-09-19,,Miscellaneous,5292,Dáire Hughes,,,,Leas Ard Runaí (Deputy General Secretary) of Sinn Féin. I receive £1702.00 a month for this role. This is a part-time role.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10757,,,,
10703,Honorary Vice President of the Local Government Association. This is an unpaid role.,,2024-09-17,2024-09-17,,Miscellaneous,5041,Shaun Davies,2024-09-12,,,Honorary Vice President of the Local Government Association. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10703,,,,
10805,"Councillor, London Borough of Lambeth. This is an unpaid role.",,2024-09-16,2024-09-16,,Miscellaneous,5223,Jim Dickson,,,,"Councillor, London Borough of Lambeth. This is an unpaid role.",Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/10805,,,,
10745,Member of Dawlish Town Council. This is an unpaid role.,,2024-09-11,2024-09-11,,Miscellaneous,5111,Martin Wrigley,,,,Member of Dawlish Town Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10745,,,,
10685,Councillor for Cherwell District Council. This is an unpaid role.,,2024-08-28,2024-09-11,,Miscellaneous,5328,Sean Woodcock,,2024-07-05,,Councillor for Cherwell District Council. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10685,,,,
6133,School Committee Member (Governor). This is an unpaid role.,,2024-08-11,2024-09-10,2024-09-06,Miscellaneous,5327,Vikki Slade,2024-07-05,2024-07-30,,School Committee Member (Governor). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6133,,,,
6818,"Trustee, Watt Institution Trust Fund. This is an unpaid role.",,2024-07-22,2024-09-10,2024-09-04,Miscellaneous,5129,Martin McCluskey,,2024-09-04,,"Trustee, Watt Institution Trust Fund. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6818,,,,
6135,Company Director - Seascape Group (BCP Council Property Company. As Leader I was appointed to the Board automatically). This is an unpaid role.,,2024-07-11,2024-09-10,2024-09-06,Miscellaneous,5327,Vikki Slade,2024-07-05,2024-08-15,,Company Director - Seascape Group (BCP Council Property Company. As Leader I was appointed to the Board automatically). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6135,,,,
6392,"Director, Greenock Arts Guild (Beacon Arts Centre). This is an unpaid role.",,2024-07-16,2024-09-10,2024-09-06,Miscellaneous,5129,Martin McCluskey,,2024-09-06,,"Director, Greenock Arts Guild (Beacon Arts Centre). This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/6392,,,,
10656,Directorship of Reform UK Party Ltd,,2024-09-08,2024-09-10,,Miscellaneous,5161,Richard Tice,2024-07-05,,,Directorship of Reform UK Party Ltd,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10656,,,,
10648,I am a none practicing and unpaid solicitor.,,2024-09-05,2024-09-10,,Miscellaneous,5041,Shaun Davies,,,,I am a none practicing and unpaid solicitor.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10648,,,,
10493,Rental income from lodger under Ukraine Family Scheme,,2024-09-06,2024-09-06,,Miscellaneous,5327,Vikki Slade,2024-07-05,,,Rental income from lodger under Ukraine Family Scheme,Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/10493,,,,
10469,A Patron of Erith Town Football Club: this is an unpaid role,,2024-08-14,2024-09-02,,Miscellaneous,4820,Ms Abena Oppong-Asare,2024-08-13,,,A Patron of Erith Town Football Club: this is an unpaid role,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10469,,,,
1503,"A Trustee of Stamford Park Trust, a multi-academy trust based in Greater Manchester.",,2022-11-14,2024-09-02,2024-08-22,Miscellaneous,4119,Jonathan Reynolds,2020-08-16,2024-08-13,,"A Trustee of Stamford Park Trust, a multi-academy trust based in Greater Manchester.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/1503,,,,
10311,Directorship of a company not trading - Sole director of MCS Electrical Project Ltd,,2024-08-05,2024-09-02,,Miscellaneous,5124,Markus Campbell-Savours,,,,Directorship of a company not trading - Sole director of MCS Electrical Project Ltd,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10311,,,,
10512,"Deputy Chairman of the United and Cecil Club; unpaid, honorary, role, with no control or power over the distribution of funds.",,2024-08-21,2024-09-02,,Miscellaneous,4362,Edward Argar,2024-07-25,,United and Cecil Club,"Deputy Chairman of the United and Cecil Club; unpaid, honorary, role, with no control or power over the distribution of funds.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/10512,,,,
10378,Professional status as barrister with valid practicing certificate.,,2024-08-07,2024-09-02,,Miscellaneous,5067,Tony Vaughan,2024-07-05,,,Professional status as barrister with valid practicing certificate.,Other,https://interests-api.parliament.uk/api/v1/Interests/10378,,,,
