ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,AroseOn,EndDate,DonorName,Description,MiscellaneousInterestType,Link,Updated_2,Updated_3,Updated_4,Updated_5
11303,Director and Trustee of the British Group Inter-Parliamentary Union. This is an unpaid role.,,2024-11-20,2024-11-20,,Miscellaneous,1521,Mrs Sharon Hodgson,2024-11-13,,,Director and Trustee of the British Group Inter-Parliamentary Union. This is an unpaid role.,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/11303,,,,
11305,Chair of the GMB Parliamentary Group. This is an unpaid role.,,2024-11-20,2024-11-20,,Miscellaneous,5234,Laurence Turner,2024-11-11,,,Chair of the GMB Parliamentary Group. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11305,,,,
11283,Member of the Shipley Towns Fund Board. This is an unpaid role.,,2024-11-18,2024-11-19,,Miscellaneous,5281,Anna Dixon,2024-09-16,,,Member of the Shipley Towns Fund Board. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11283,,,,
11300,"Vice-Chair, British Group of Inter Parliamentary union. This is an unpaid role.",,2024-11-19,2024-11-19,,Miscellaneous,4658,Alex Sobel,2024-11-13,,,"Vice-Chair, British Group of Inter Parliamentary union. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11300,,,,
11299,Member of the BGIPU Executive Committee. This is an unpaid role.,,2024-11-19,2024-11-19,,Miscellaneous,1548,Jessica Morden,2024-11-13,,,Member of the BGIPU Executive Committee. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11299,,,,
11298,Executive Committee Member of the British Group Inter-Parliamentary Union. This is an unpaid role.,,2024-11-19,2024-11-19,,Miscellaneous,1489,Dawn Butler,2024-11-13,,British Group Inter-Parliamentary Union,Executive Committee Member of the British Group Inter-Parliamentary Union. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11298,,,,
11271,Member of the House Magazine Advisory Board. This is an unpaid role.,,2024-11-15,2024-11-18,,Miscellaneous,5267,Yuan Yang,2024-10-23,,,Member of the House Magazine Advisory Board. This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11271,,,,
11241,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch).,,2024-11-12,2024-11-13,,Miscellaneous,5168,Adam Jogee,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch).,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11241,,,,
11245,Co-founder and Chairman of Action on World Health LLP,,2024-11-12,2024-11-13,,Miscellaneous,5091,Nigel Farage,2024-05-13,,,Co-founder and Chairman of Action on World Health LLP,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11245,,,,
11181,"Unpaid Director of Jeremy Corbyn Campaign Ltd, supporting the activities of political organisations",,2024-11-05,2024-11-11,,Miscellaneous,185,Jeremy Corbyn,2024-09-25,,,"Unpaid Director of Jeremy Corbyn Campaign Ltd, supporting the activities of political organisations",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11181,,,,
11239,"Co-Chair, UNISON group of Labour MPs",,2024-11-11,2024-11-11,,Miscellaneous,4618,Liz Twist,2024-10-14,,,"Co-Chair, UNISON group of Labour MPs",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11239,,,,
11237,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,,2024-11-11,2024-11-11,,Miscellaneous,4480,Carolyn Harris,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11237,,,,
11238,"Non-executive director, Centre for Social Justice. This is an unpaid role.",,2024-11-11,2024-11-11,,Miscellaneous,4480,Carolyn Harris,2024-10-15,,,"Non-executive director, Centre for Social Justice. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11238,,,,
11232,Vice President of the British Group Inter-Parliamentary Union for 2024/25. This is an honorary position.,,2024-11-11,2024-11-11,,Miscellaneous,632,Mr Douglas Alexander,2024-10-26,,,Vice President of the British Group Inter-Parliamentary Union for 2024/25. This is an honorary position.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11232,,,,
11229,"ReWyre Board. The ReWyre Board is a group of people supporting the economic development of Wyre Forest, supported by Wyre Forest District Council. This is an unpaid role.",,2024-11-10,2024-11-11,,Miscellaneous,4074,Mark Garnier,2022-10-01,,,"ReWyre Board. The ReWyre Board is a group of people supporting the economic development of Wyre Forest, supported by Wyre Forest District Council. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11229,,,,
11226,"Co-Chair, UNISON Group of Labour MPs. This is an unpaid role.",,2024-11-08,2024-11-11,,Miscellaneous,5031,Mark Ferguson,2024-10-14,,,"Co-Chair, UNISON Group of Labour MPs. This is an unpaid role.",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11226,,,,
11188,Co-Chair of Labour Growth Group,,2024-11-06,2024-11-08,2024-11-25,Miscellaneous,5060,Josh Simons,2024-09-05,2024-11-13,,Co-Chair of Labour Growth Group,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11188,,,,
11190,Shareholdings in GB Bank Limited which fall below the registrable thresholds in Category 7.,,2024-11-06,2024-11-08,,Miscellaneous,5124,Markus Campbell-Savours,,,,Shareholdings in GB Bank Limited which fall below the registrable thresholds in Category 7.,Financial interest or material benefit,https://interests-api.parliament.uk/api/v1/Interests/11190,,,,
11186,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,,2024-11-06,2024-11-07,,Miscellaneous,4656,Layla Moran,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11186,,,,
11206,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,,2024-11-07,2024-11-07,,Miscellaneous,1489,Dawn Butler,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11206,,,,
11212,Unpaid director of Crocus and Bluebell Limited.,,2024-11-07,2024-11-07,,Miscellaneous,5340,Jack Rankin,2024-08-12,,,Unpaid director of Crocus and Bluebell Limited.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11212,,,,
11184,Co-Chair of the Labour Growth Group,,2024-11-05,2024-11-06,2024-11-25,Miscellaneous,5333,Lucy Rigby,2024-09-05,2024-11-13,,Co-Chair of the Labour Growth Group,Formal role with a party organisation,https://interests-api.parliament.uk/api/v1/Interests/11184,,,,
11156,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,,2024-11-03,2024-11-06,,Miscellaneous,4804,Mr Gagan Mohindra,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11156,,,,
11177,"Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.
Date interest arose: 16 October 2024",,2024-11-05,2024-11-06,,Miscellaneous,1512,David Mundell,2024-10-16,,,"Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.
Date interest arose: 16 October 2024",Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11177,,,,
11174,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,,2024-11-05,2024-11-06,,Miscellaneous,5051,Kevin Bonavia,2024-10-16,,,Director and Trustee of the Commonwealth Parliamentary Association (UK Branch). This is an unpaid role.,Unpaid role,https://interests-api.parliament.uk/api/v1/Interests/11174,,,,
