ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,JobTitle,Employer,PersonName,EndDate,FamilyMemberRelationshipLevel,FamilyRelationType
6610,,Mark Henry Glover employed as Lobbyist,04/08/2024,04/08/2024,,Family members engaged in third-party lobbying,Johanna Baxter,5063,Executive Chairman,SEC Newgate UK,Mark Henry Glover,,Related to member directly,Spouse
9266,,David Taylor employed as Lobbyist,02/08/2024,04/08/2024,,Family members engaged in third-party lobbying,Joani Reid,5079,Director,Earthcott Limited,David Taylor,,Related to member directly,Spouse
9784,,Steve Richards employed as Lobbyist,03/08/2024,04/08/2024,,Family members engaged in third-party lobbying,Jake Richards,5082,Freelance,Self Employed,Steve Richards,,Related to member directly,Father
8424,,Sam White employed as Lobbyist,02/08/2024,04/08/2024,,Family members engaged in third-party lobbying,Katie White,5260,"Specialist Partner, Flint Global and Next Chapter Strategy",Self Employed,Sam White,,Related to partner,Partner
6151,,Alastair Craft employed as Lobbyist,29/07/2024,29/07/2024,,Family members engaged in third-party lobbying,Jen Craft,5056,Director,Cavendish Consulting,Alastair Craft,,Related to spouse,Spouse
7566,,Will Tanner employed as Lobbyist,26/07/2024,26/07/2024,,Family members engaged in third-party lobbying,Lucy Rigby,5333,Director and Head of Public Affairs,TB Cardew,Will Tanner,,Related to member directly,Spouse
6809,,Emma Francis employed as Lobbyist,22/07/2024,22/07/2024,,Family members engaged in third-party lobbying,Daniel Francis,5184,"Director, Community Conversations Ltd.",Community Conversations Ltd.,Emma Francis,,Related to spouse,Spouse
6336,,Rishi Patel employed as Lobbyist,22/07/2024,22/07/2024,,Family members engaged in third-party lobbying,Peter Swallow,5165,Associate Director,BB Partners,Rishi Patel,,Related to member directly,Partner
6300,,Jacob Tilley employed as Lobbyist,15/07/2024,15/07/2024,,Family members engaged in third-party lobbying,Uma Kumaran,5278,Director,Cavendish,Jacob Tilley,,Related to member directly,Spouse
1193,,Nicholas Gash employed as Lobbyist,08/06/2015,17/12/2023,,Family members engaged in third-party lobbying,Ruth Cadbury,4389,"Sole trader, providing policy and public affairs advice to clients",Self Employed,Nicholas Gash,,Related to member directly,Spouse
1198,,Philip Brady employed as Lobbyist,02/06/2015,17/12/2023,,Family members engaged in third-party lobbying,Dame Nia Griffith,1541,Freelance public relations consultant,Self Employed,Philip Brady,,Related to spouse,Brother
1202,,Joseph Dancey employed as Lobbyist,28/01/2016,17/12/2023,11/05/2021,Family members engaged in third-party lobbying,Wes Streeting,4504,Owner and director,"Endeavour Advisory Ltd, which provides communications and public affairs advice",Joseph Dancey,,Related to member directly,Partner
1203,,Oscar Tami employed as Lobbyist,22/06/2022,17/12/2023,,Family members engaged in third-party lobbying,Mark Tami,1383,Account Executive,Lodestone Communications; a public relations company,Oscar Tami,,Related to member directly,Son
1194,,Andrew Clark employed as Lobbyist,10/01/2020,17/12/2023,,Family members engaged in third-party lobbying,Feryal Clark,4822,Director,Kanda Consultancy,Andrew Clark,,Related to member directly,Spouse
1205,,Alice Whittingdale employed as Lobbyist,07/08/2023,17/12/2023,,Family members engaged in third-party lobbying,Sir John Whittingdale,39,Senior Consultant,Hanover Communications,Alice Whittingdale,,Related to member directly,Daughter
1204,,Alice Whittingdale employed as Lobbyist,21/01/2019,17/12/2023,18/08/2023,Family members engaged in third-party lobbying,Sir John Whittingdale,39,Consultant,Pagefield Communications,Alice Whittingdale,12/05/2023,Related to member directly,Daughter
1197,,Daniel Paterson employed as Lobbyist,16/11/2021,17/12/2023,,Family members engaged in third-party lobbying,Sarah Green,4918,Self-employed political consultant,Self Employed,Daniel Paterson,,Related to member directly,Partner
1200,,Joseph Jones employed as Lobbyist,28/04/2021,17/12/2023,09/12/2022,Family members engaged in third-party lobbying,Sarah Jones,4631,Director,"Flint Global (which advises international businesses and investors on policy, politics, regulation, and competition issues in European markets)",Joseph Jones,,Related to member directly,Son
