ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails
9052,,"The Lord (Philip) Harris of Peckham - £5,000.00",01/08/2024,04/08/2024,,Gifts and benefits from sources outside the UK,Alison Griffiths,5203,,Cash,for general election campaign expenditure,5000,11/06/2024,11/06/2024,,TRUE,The Lord (Philip) Harris of Peckham,,Individual,,,,,,
4566,,Stripe Press Inc - £414.00,19/03/2024,22/03/2024,,Gifts and benefits from sources outside the UK,Neil O'Brien,4679,,InKind,Meals and accommodation at small group retreat in Guildford,414,04/03/2024,04/03/2024,06/03/2024,TRUE,Stripe Press Inc,"354 Oyster Point Boulevard, South San Francisco, CA 94080, United States",Friendly society,,,,,,
3242,,Association of Marshall Scholars - £465.00,07/02/2024,06/03/2024,,Gifts and benefits from sources outside the UK,Stephen Doughty,4264,,InKind,"Associated with participating in a cross-party conference, accommodation (£315) and hospitality (£150)",465,13/01/2024,13/01/2024,14/01/2024,TRUE,Association of Marshall Scholars,"67 35th Street, Unit B-513 Brooklyn, NY 11232",Unincorporated association,,,,,,
3238,,Association of Marshall Scholars - £465.00,26/01/2024,06/03/2024,,Gifts and benefits from sources outside the UK,Dame Harriett Baldwin,4107,,InKind,"Associated with taking part in the US-UK legislative exchange in Oxford, hospitality and accommodation",465,13/01/2024,13/01/2024,14/01/2024,TRUE,Association of Marshall Scholars,"168 Prospect Park SW, Brooklyn, NY 11218, USA",Other,,,,,,US non-profit endowment
601,,Qatar Racing and Equestrian Club (Qatar Ministry of Sports and Culture) and the Embassy of the State of Qatar - £600.00,07/08/2023,03/12/2023,,Gifts and benefits from sources outside the UK,Sir John Whittingdale,39,,InKind,Two tickets to Qatar Goodwood Festival 2023 including hospitality and accommodation for one night,600,02/08/2023,02/08/2023,,FALSE,Qatar Racing and Equestrian Club (Qatar Ministry of Sports and Culture) and the Embassy of the State of Qatar,"1 South Audley Street, London W1K 1NB",Other,,,,,,
595,,Qatar Racing and Equestrian Club (Qatar Ministry of Sports and Culture) - £575.00,21/08/2023,03/12/2023,,Gifts and benefits from sources outside the UK,Esther McVey,4084,,InKind,"Guest at Qatar Goodwood Festival 2023, including accommodation, hospitality and lunch",575,31/07/2023,31/07/2023,02/08/2023,TRUE,Qatar Racing and Equestrian Club (Qatar Ministry of Sports and Culture),"PO Box 7559, Doha, State of Qatar",Other,,,,,,
596,,"HM Government of Gibraltar - £1,275.00",24/10/2023,03/12/2023,,Gifts and benefits from sources outside the UK,Stephen Morgan,4653,,InKind,Four nights' accommodation during the Labour Party Conference,1275,08/10/2023,08/10/2023,11/10/2023,TRUE,HM Government of Gibraltar,"Gibraltar House, 150 Strand, London WC2R 1JA",Other,,,,,,
591,,Viagogo - £838.80,10/10/2023,03/12/2023,,Gifts and benefits from sources outside the UK,Mr Richard Holden,4813,,InKind,One ticket with hospitality for England v New Zealand one day cricket match,838.8,15/09/2023,15/09/2023,,TRUE,Viagogo,"Viagogo AG, Rue de Commerce 4, 1204 Geneva, Switzerland",Company,Viagogo,,outside the UK,Companies House,,
598,,"Cricket Australia - £1,998.00",29/08/2023,03/12/2023,,Gifts and benefits from sources outside the UK,Lucy Powell,4263,,InKind,"In my role as Shadow Secretary of State for DCMS, I attended the Ashes with a plus one (two tickets with hospitality), as guests of the Australian High Commissioner, with tickets provided by Cricket Australia",1998,27/07/2023,27/07/2023,,FALSE,Cricket Australia,"60 Jolimont Street, Jolimont VIC 3002, Australia",Company,Cricket Australia,,ABN 53 006 089 130,Companies House,,
