ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails
10281,,"Kamal Pankhania - £1,500.00",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",David Simmonds,4872,,InKind,Ticket to the Conservative Party summer fundraising party,1500,20/06/2024,20/06/2024,,TRUE,Kamal Pankhania,,Individual,,,,,,
10031,,Premier League - £450.00,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Amanda Hack,5149,,InKind,ticket with hospitality to watch Arsenal V Everton,450,19/05/2024,19/05/2024,,TRUE,Premier League,"Brunel Building, 57 North Wharf Road, London W2 1HQ",Company,Premier League,,2719699,Companies House,,
10086,,Paul Ormerod - £850.83,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Mrs Elsie Blundell,5084,,Cash,Covered the cost of a venue and catering for a 'thank you' event for people who volunteered on the Heywood and Middleton North General Election campaign.,850.83,14/07/2024,14/07/2024,,TRUE,Paul Ormerod,,Individual,,,,,,
10171,,"Richard Harpin - £7,896.00",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Rishi Sunak,4483,,InKind,Helicopter travel during the election campaign,7896,25/05/2024,25/05/2024,,FALSE,Richard Harpin,,Individual,,,,,,
10169,,"Richard David Harpin - £3,600.00",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Rishi Sunak,4483,,InKind,Use of helicopter for travel with staff during election campaign,3600,24/05/2024,24/05/2024,,FALSE,Richard David Harpin,,Individual,,,,,,
9783,,"The Football Association Premier League - £1,250.00",03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Jake Richards,5082,,InKind,Ticket to the Brit Awards with hospitality,1250,02/03/2024,02/03/2024,,TRUE,The Football Association Premier League,"Brunel Building, 57 North Wharf Road, London W2 1HQ",Company,The Football Association Premier League,,2719699,Companies House,,
9362,,Mentorn Media Limited - £244.40,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,Travel associated with appearing on BBC Question Time,244.4,23/05/2024,23/05/2024,,TRUE,Mentorn Media Limited,"Tinopolis Centre, Park Street, Llanelli, SA15 3YE",Company,Mentorn Media Limited,,2329345,Companies House,,
8836,,"Lord Waheed Alli - £20,437.28",02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Sir Keir Starmer,4514,,InKind,Accommodation,20437.28,29/05/2024,29/05/2024,13/07/2024,FALSE,Lord Waheed Alli,,Individual,,,,,,
9354,,Mentorn Media Limited - £297.80,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,Travel associated with appearing on BBC Question Time,297.8,08/02/2024,08/02/2024,,TRUE,Mentorn Media Limited,"Tinopolis Centre, Park Street, Llanelli, SA15 3YE",Company,Mentorn Media Limited,,2329345,Companies House,,
9377,,Mentorn Media Limited - £113.16,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,"Travel associated with appearing on BBC Question Time, (value is estimated)",113.16,05/07/2024,05/07/2024,,TRUE,Mentorn Media Limited,"Tinopolis Centre, Park Street, Llanelli, SA15 3YE",Company,Mentorn Media Limited,,2329345,Companies House,,
9358,,Independent Television News Limited - £90.70,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,Travel associated with appearing on Channel 4’s Local Elections 2024 Debate,90.7,25/04/2024,25/04/2024,,TRUE,Independent Television News Limited,"200 Gray’s Inn Road, London WC1X 8XZ",Company,Independent Television News Limited,,548648,Companies House,,
