ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails
9366,,British Broadcasting Corporation - £52.10,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,"Travel associated with appearing on Sunday with Laura Kuenssberg, (value is estimated)",52.1,02/06/2024,02/06/2024,,TRUE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
9368,,British Broadcasting Corporation - £69.30,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,"Travel associated with appearing on BBC 2024 General Election Debate, (value is estimated)",69.3,07/06/2024,07/06/2024,,TRUE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
9370,,Independent Television News Limited - £276.04,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,"Travel associated with appearing on Channel 4’s General Election 2024 Debate, (value is estimated)",276.04,18/06/2024,18/06/2024,,TRUE,Independent Television News Limited,"200 Gray’s Inn Road, London WC1X 8XZ",Company,Independent Television News Limited,,548648,Companies House,,
9372,,British Broadcasting Corporation - £86.35,03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,"Travel associated with appearing on Sunday with Laura Kuenssberg, (value is estimated)",86.35,30/06/2024,30/06/2024,,TRUE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
9373,,British Broadcasting Corporation - £53.19,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,"Travel associated with appearing on BBC News, (value is estimated)",53.19,04/07/2024,04/07/2024,,TRUE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
9376,,British Broadcasting Corporation - £67.41,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Daisy Cooper,4769,,InKind,"Travel associated with appearing on BBC News, (value is estimated)",67.41,05/07/2024,05/07/2024,,TRUE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
9017,,Coalition for Global Prosperity (CGP) - £389.09,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Helena Dollimore,5192,,InKind,"accommodation, meals, parking and attendance at a two day foreign policy conference for parliamentary candidates at St George’s House, Windsor Castle. Value £389.09.",389.09,20/07/2024,20/07/2024,,FALSE,Coalition for Global Prosperity (CGP),"1 Horse Guards Avenue, London SW1A 2HU",Company,Coalition for Global Prosperity (CGP),,10894509,Companies House,,
9019,,Coalition for Global Prosperity (CGP) - £578.26,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Helena Dollimore,5192,,InKind,"Accommodation, meals and attendance at a two day international development and foreign policy conference for parliamentary candidates at Ditchley Park. Value £578.26",578.26,07/09/2023,07/09/2023,,FALSE,Coalition for Global Prosperity (CGP),"1 Horse Guards Avenue, London SW1A 2HU",Company,Coalition for Global Prosperity (CGP),,10894509,Companies House,,
9072,,"Women2Win Ltd - £1,500.00",01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Alison Griffiths,5203,,Cash,for my general election campaign,1500,18/06/2024,18/06/2024,,TRUE,Women2Win Ltd,"Flat 9, 5b Westmoreland Terrace, London SW1V 4AW",Company,Women2Win Ltd,,15492989,Companies House,,
6965,,Warner Music - £500.00,30/07/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Ms Polly Billington,5123,,InKind,Tickets for me and my partner to attend a Pet Shop Boys performance at the Royal Opera House,500,24/07/2024,24/07/2024,,FALSE,Warner Music,Abc,Company,Warner Music,,123,Companies House,,
7564,,News Media Association - £400.00,30/07/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Lucy Rigby,5333,,InKind,Ticket to Press Awards dinner on 18 April 2024. Estimated,400,18/04/2024,18/04/2024,,TRUE,News Media Association,"c/o Crowe LLP, 2nd Floor, 55 Ludgate Hill, London EC4M 7JW",Company,News Media Association,,8963259,Companies House,,
9149,,The Premier League - £450.00,01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Fred Thomas,5174,,InKind,Ticket with hospitality to Arsenal vs Everton football match,450,19/05/2024,19/05/2024,,TRUE,The Premier League,"Brunel Building, 57 North Wharf Road, London W2 1HQ",Company,The Premier League,,2719699,Companies House,,
7873,,"Carlton Club (London) Ltd - £1,337.00",31/07/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Aphra Brandreth,5241,,InKind,Temporary admission card for use of the Carlton Club from November 2023 for period of time to cover up to the date of the General Election 2024. Value is estimated,1337,13/11/2023,13/11/2023,04/07/2024,TRUE,Carlton Club (London) Ltd,"69 St James' Street, London SW1A 1PJ",Company,Carlton Club (London) Ltd,,573221,Companies House,,
7914,,Thakeham Group - £552.00,31/07/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Mark Tami,1383,,InKind,Ticket and hospitality to the Goodwood Festival of Speed,552,11/07/2024,11/07/2024,,TRUE,Thakeham Group,"Summers Place, Stane Street, Billinghurst RH149GN",Company,Thakeham Group,,7278594,Companies House,,
8559,,Liverpool Football Club - £900.00,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Dan Carden,4651,,InKind,Two tickets with hospitality for Taylor Swift/The Eras Tour at Anfield Stadium,900,15/06/2024,15/06/2024,,FALSE,Liverpool Football Club,"Anfield Road, Anfield, Liverpool L4 0TH",Company,Liverpool Football Club,,35668,Companies House,,
9955,,John Mansfield - £600.00,03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Pippa Heylings,5078,,InKind,The loan of the cottage in the Lake District for my husband and I for 6 nights for a week holiday.,600,03/08/2024,03/08/2024,09/08/2024,FALSE,John Mansfield,,Individual,,,,,,
8838,,Michael Dugher - £600.00,01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Mr James Frith,4637,,InKind,Ticket with hospitality to a Premier League football game,600,11/05/2024,11/05/2024,,TRUE,Michael Dugher,,Individual,,,,,,
10114,,"National Liberal Club - £1,552.86",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Caroline Voaden,5216,,InKind,Complimentary membership,1552.86,08/07/2024,04/08/2024,31/12/2025,TRUE,National Liberal Club,"1 Whitehall Place
London 
SW1A 2HE",Unincorporated association,,,,,,
8332,,William Hogan CEO Liverpool Football Club Foundation - £900.00,30/07/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Ian Byrne,4831,,InKind,Tickets for Taylor Swift Concert including hospitality for myself and one other,900,13/06/2024,13/06/2024,,FALSE,William Hogan CEO Liverpool Football Club Foundation,"Anfield Road, Liverpool, L4 0TH",Company,William Hogan CEO Liverpool Football Club Foundation,,8322443,Companies House,,
8840,,UK Music - £583.25,01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Steve Reed,4268,,InKind,"Two tickets to Kylie Minogue @BST, Hyde Park, London",583.25,13/07/2024,13/07/2024,,FALSE,UK Music,"33 Foley Street, London W1W 7TL",Company,UK Music,,3245286,Companies House,,
7093,,Premier League International Holdings Ltd - £450.00,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Jas Athwal,5227,,InKind,Ticket with hospitality to Arsenal's final football match of season,450,19/05/2024,19/05/2024,,TRUE,Premier League International Holdings Ltd,"Brunel Building, 57 North Wharf Road, London W2 1HQ",Company,Premier League International Holdings Ltd,,14826313,Companies House,,
6353,,"Foundry Top Co LLP - £1,425.60",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Josh Babarinde,5086,,InKind,Access to co-working space at Foundry's Eastbourne premises.,1425.6,04/07/2023,04/07/2023,04/08/2024,TRUE,Foundry Top Co LLP,"78 The Beacon, Eastbourne, East Sussex BN21 3NW",Limited Liability Partnership,,,,,,
9879,,Airbus Defence and Space UK - £760.00,03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Mr Calvin Bailey,5054,,InKind,"Tickets for me and three family member to lunch at the Royal International Air Tattoo
valued at £190 each",760,21/07/2024,21/07/2024,,FALSE,Airbus Defence and Space UK,"Gunnels Wood Road, Stevenage, Hertfordshire, SG1 2AS",Company,Airbus Defence and Space UK,,2449259,Companies House,,
8945,,"Derek Chisora - £2,000.00",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Nigel Farage,5091,,InKind,Two Ringside seats for Derek Chisora Vs Joe Joyce,2000,27/07/2024,27/07/2024,,FALSE,Derek Chisora,,Individual,,,,,,
8948,,TRIC Awards - £445.00,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Nigel Farage,5091,,InKind,A finalist’s ticket to the 2024 TRIC Awards where I was nominated and won News Presenter of the Year,445,25/06/2024,25/06/2024,,TRUE,TRIC Awards,"4th Floor, Silverstream House, 45 Fitzroy Street, Fitzrovia W1T 6EB",Company,TRIC Awards,,11965178,Companies House,,
8951,,Press Gazette Ltd - £475.00,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Nigel Farage,5091,,InKind,A finalist’s ticket to the 2023 British Journalism Awards where I was nominated for ‘Scoop of the Year.’,475,14/12/2023,14/12/2023,,TRUE,Press Gazette Ltd,"Vantage, 20-24 Kirby Street, London EC1N 8TS",Company,Press Gazette Ltd,,5466121,Companies House,,
10195,,The Carlton Club - £301.00,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Peter Fortune,5209,,InKind,"temporary admission to Carlton Club from March 2024 to 4th July 2024,  estimated value",301,20/03/2024,20/03/2024,04/07/2024,TRUE,The Carlton Club,"69 St James Street, London SW1A 1PJ",Company,The Carlton Club,,573221,Companies House,,
10120,,"National Liberal Club - £1,552.86",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Zöe Franklin,5313,,InKind,"Membership of the National Liberal Club from 15/8/24 to 21/12/25.
Estimated value based on publicly available membership information:
£200 one-off joining fee plus
£983.90 (annual membership fee) x 1.375 (1 year plus additional months)",1552.86,08/07/2024,12/07/2024,31/12/2025,TRUE,National Liberal Club,"1 Whitehall Place, London SW1A 2HE",Unincorporated association,,,,,,
8849,,Tom Howat - £442.54,01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Olly Glover,5318,,InKind,"Part of the costs of a holiday paid for a friend, who is also my main donor",442.54,08/09/2023,08/09/2023,13/09/2023,TRUE,Tom Howat,,Individual,,,,,,
9056,,"Mr Chris Hayman CBE - £2,000.00",01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Alison Griffiths,5203,,Cash,for my general election campaign,2000,07/06/2024,07/06/2024,,TRUE,Mr Chris Hayman CBE,,Individual,,,,,,
9902,,"Budweiser Brewing Group UK - £9,000.00",03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Sarah Hall,5154,,InKind,Payment for drinks at a Labour fundraising event. Event for fundraising for 4 people,9000,08/03/2024,08/03/2024,,FALSE,Budweiser Brewing Group UK,"90 Fetter Lane, London EC4A 1EN",Company,Budweiser Brewing Group UK,,4309989,Companies House,,
10009,,"National Liberal Club - £1,552.86",03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Mr Paul Kohler,5321,,InKind,Complimentary membership of the NLC from 14 August 2024 until 31 December 2025,1552.86,08/07/2024,09/07/2024,31/12/2025,TRUE,National Liberal Club,"1 Whitehall Place, London SW1A 2HE",Unincorporated association,,,,,,
9359,,"Opal Chant Limited - £2,000.00",02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Brian Mathew,5214,,Cash,for my campaign,2000,28/05/2024,28/05/2024,,FALSE,Opal Chant Limited,"Elsley Court, 20-22 Great Titchfield Street, London W1W 8BE",Company,Opal Chant Limited,,1238067,Companies House,,
9249,,Sony Music UK - £328.00,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Pat McFadden,1587,,InKind,"Two tickets for me and my wife at a Bruce Springsteen and the E Street Band concert, value per ticket £164",328,27/07/2024,27/07/2024,,FALSE,Sony Music UK,"2 Canal Reach, London N1C 4DB",Company,Sony Music UK,,1471066,Companies House,,
8650,,"Arden Strategies - £1,200.00",03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Jo Platt,4673,,InKind,"Donation paid direct to the caterer for a joint International Women's Day 
fundraiser event, alongside three other candidates.",1200,08/03/2024,08/03/2024,,FALSE,Arden Strategies,"Stanley House, 69/71 Hamilton Road, Motherwell ML1 3DG",Company,Arden Strategies,,SC517100,Companies House,,
9887,,"Budweiser Brewing Group UK&I - £9,000.00",03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Jo Platt,4673,,InKind,International Women's Day Fundraiser event for four candidates. This was for drinks and the reception,9000,08/03/2024,08/03/2024,,FALSE,Budweiser Brewing Group UK&I,"90 Fetter Lane, London EC4A 1EN",Company,Budweiser Brewing Group UK&I,,4309989,Companies House,,
9040,,R&A Championship Limited - £450.00,01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Robbie Moore,4861,,InKind,Hospitality and entrance ticket to The Open at The Royal Troon Golf Club,450,20/07/2024,20/07/2024,,TRUE,R&A Championship Limited,"Beach House, Golf Place, St Andrews KY16 9JA",Company,R&A Championship Limited,,SC247047,Companies House,,
9476,,Lawn Tennis Association - £392.00,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Layla Moran,4656,,InKind,Two tickets to Wimbledon,392,12/07/2024,12/07/2024,,FALSE,Lawn Tennis Association,"The National Tennis Centre
​100 Priory Lane, Roehampton,
​London, SW15 5JQ",Company,Lawn Tennis Association,,7459469,Companies House,,
10101,,British Broadcasting Corporation - £174.00,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Adrian Ramsay,5320,,InKind,"For appearance on BBC Newsnight debate, return train journey £29 (estimated cost) overnight accommodation £109 (estimated cost) return taxi journey to TV venue £36 (estimated cost)",174,25/03/2024,25/03/2024,26/03/2024,FALSE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
10104,,British Broadcasting Corporation - £36.50,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Adrian Ramsay,5320,,InKind,"Interviews with BBC Radio 4 today and BBC Radio Sussex from BBC studio in Brighton, taxi from accommodation to BBC studio and from BBC studio to manifesto launch venue (estimated cost)",36.5,12/06/2024,12/06/2024,,TRUE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
10108,,British Broadcasting Association - £22.50,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Adrian Ramsay,5320,,InKind,Taxi from BBC Salford studios to Manchester Piccadilly railway station after doing BBC 5 Live and BBC Breakfast interviews. Taxi shared with party colleague who was accompanying me (stimated value),22.5,18/06/2024,18/06/2024,,FALSE,British Broadcasting Association,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Association,,RC000057,Companies House,,
10109,,British Broadcasting Corporation - £260.29,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Adrian Ramsay,5320,,InKind,"For taking part in BBC Any Questions in Yorkshire, return train journey £117.30 (estimated cost), overnight accommodation £122.99 and dinner £20 (estimated cost)",260.29,21/06/2024,21/06/2024,22/06/2024,TRUE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
10111,,British Broadcasting Corporation - £161.50,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Adrian Ramsay,5320,,InKind,"For BBC TV Panorama leaders interview with Nick Robinson, estimated cost of train ticket",161.5,24/06/2024,24/06/2024,,TRUE,British Broadcasting Corporation,"Broadcasting House, Portland Place, London W1A 1AA",Company,British Broadcasting Corporation,,RC000057,Companies House,,
10116,,Mentorn Media Limited - £383.00,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Adrian Ramsay,5320,,InKind,"For appearance on BBC Question Time leaders' special, single train journey £67.50 (estimated cost), car journey home £275.50 (estimated cost) and dinner £40 (estimated cost), shared with party colleague accompanying me",383,28/06/2024,28/06/2024,,FALSE,Mentorn Media Limited,"Tinopolis Centre, Park Street, Llanelli SA15 3YE",Company,Mentorn Media Limited,,2329345,Companies House,,
7968,,"Nealade Ltd - £8,123.60",29/07/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Andrew Rosindell,1447,,InKind,"Payment made directly to Speaker's House Banqueting Department to sponsor a St George's Day reception, attended by 150 MPs and members of the public. This event was held on behalf of the British Heritage APPG",8123.6,24/04/2024,24/04/2024,,FALSE,Nealade Ltd,"16 South End, Croydon CR0 1DN",Company,Nealade Ltd,,1080312,Companies House,,
10020,,"National Liberal Club - £1,552.86",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Vikki Slade,5327,,InKind,"Complimentary membership from 15 August 2024 to 31 December 2025. Usual annual fee is £663.69, based value estimate on membership starting after the committee meeting on 14 August 2024 formalises the agreement",1552.86,08/07/2024,08/07/2024,31/12/2025,TRUE,National Liberal Club,"1 Whitehall Place, London SW1A 2HE",Unincorporated association,,,,,,
10051,,"Silverstone Circuits Ltd - £2,193.60",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Greg Smith,4778,,InKind,four tickets with hospitality to watch British Grand Prix for one day,2193.6,05/07/2024,05/07/2024,,FALSE,Silverstone Circuits Ltd,"The Jimmy Brown Centre, Silverstone Circuit, Towcester NN12 8TN",Company,Silverstone Circuits Ltd,,882843,Companies House,,
10053,,"Silverstone Circuits Ltd - £5,160.00",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Greg Smith,4778,,InKind,two tickets with hospitality to watch British Grand Prix for two days,5160,06/07/2024,06/07/2024,,FALSE,Silverstone Circuits Ltd,"The Jimmy Brown Centre, Silverstone Circuit, Towcester NN12 8TN",Company,Silverstone Circuits Ltd,,882843,Companies House,,
8927,,Coalition for Global Prosperity (CGP) - £361.69,01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Rebecca Smith,5301,,InKind,"accommodation, meals and attendance at a two day foreign policy conference for parliamentary candidates at St George’s House, Windsor Castle",361.69,20/07/2023,20/07/2023,,TRUE,Coalition for Global Prosperity (CGP),"1 Horse Guards Avenue, London SW1A 2HU",Company,Coalition for Global Prosperity (CGP),,10894509,Companies House,,
8932,,Premier League - £900.00,01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Anna Turley,4449,,InKind,Two tickets with hospitality to Arsenal v Everton at the Emirates Stadium,900,19/05/2024,19/05/2024,,FALSE,Premier League,"57 North Wharf Road, London W2 1HQ",Company,Premier League,,2719699,Companies House,,
8753,,"Phillip Charles Harris - £1,000.00",01/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Wes Streeting,4504,,InKind,Football tickets and hospitality for two people. Estimated,1000,19/05/2024,19/05/2024,,FALSE,Phillip Charles Harris,,Individual,,,,,,
7348,,Premier League - £450.00,02/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Mike Tapp,5266,,InKind,Ticket to the last Arsenal game of the season at The Emirates Stadium,450,19/05/2024,19/05/2024,,TRUE,Premier League,"57 North Wharf Road, London W2 1HQ",Company,Premier League,,2719699,Companies House,,
10189,,"National Liberal Club - £1,552.86",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Claire Young,5140,,InKind,free membership of the National Liberal Club from 15 August 2024 to 21 December 2025,1552.86,08/07/2024,24/07/2024,31/12/2025,TRUE,National Liberal Club,"1 Whitehall Place, London SW1A 2HE",Unincorporated association,,,,,,
10024,,"Arden Strategies - £1,200.00",03/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Mrs Elsie Blundell,5084,,InKind,Sponsorship of a fundraising event to support four General Election campaigns in the North West. Amount shared with three other candidates and went directly from Arden Strategies to the caterer.,1200,08/03/2024,08/03/2024,,FALSE,Arden Strategies,"84 Eccleston Square, Pimlico, London SW1V 1PX",Company,Arden Strategies,,SC517100,Companies House,,
10025,,"Budweiser - £9,000.00",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Mrs Elsie Blundell,5084,,Cash,Sponsorship of a fundraiser to support four General Election campaigns. Amount shared with three other candidates.,9000,08/03/2024,08/03/2024,,FALSE,Budweiser,"76 Macrae Road, Pill, Bristol BS20 0DD",Company,Budweiser,,4309989,Companies House,,
9904,,"Arden Strategies Limited - £1,200.00",04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Sarah Hall,5154,,InKind,Catering costs for Labour fundraiser. Fundraiser for 4 individuals.,1200,08/03/2024,08/03/2024,,FALSE,Arden Strategies Limited,"Stanley House, 69/71 Hamilton Road, Motherwell ML1 3DG",Company,Arden Strategies Limited,,SC517100,Companies House,,
7889,,Lawn Tennis Association - £550.00,04/08/2024,04/08/2024,,"Gifts, benefits and hospitality from UK sources",Tracy Gilbert,5188,,InKind,Tickets for Ladies Final at Wimbledon for myself and a guest.,550,13/07/2024,13/07/2024,,FALSE,Lawn Tennis Association,"100 Priory Lane Roehampton, London SW15 5JQ",Company,Lawn Tennis Association,,7459469,Companies House,,
9134,,Coalition for Global Prosperity - £578.26,02/08/2024,02/08/2024,,"Gifts, benefits and hospitality from UK sources",Fred Thomas,5174,,InKind,"Accommodation, meals and attendance at a two day foreign policy conference for parliamentary candidates at Ditchley Park, Oxfordshire.",578.26,07/09/2023,07/09/2023,,TRUE,Coalition for Global Prosperity,"1 Horse Guards Avenue, London SW1A 2HU",Company,Coalition for Global Prosperity,,10894509,Companies House,,
9137,,Coalition for Global Prosperity - £361.69,02/08/2024,02/08/2024,,"Gifts, benefits and hospitality from UK sources",Fred Thomas,5174,,InKind,"accommodation, meals and attendance at a two day foreign policy conference for parliamentary candidates at St George’s House, Windsor Castle",361.69,20/07/2023,20/07/2023,,TRUE,Coalition for Global Prosperity,"1 Horse Guards Avenue, London SW1A 2HU",Company,Coalition for Global Prosperity,,10894509,Companies House,,
9060,,"The Lord Hintze - £2,500.00",02/08/2024,02/08/2024,,"Gifts, benefits and hospitality from UK sources",Alison Griffiths,5203,,Cash,for my general election campaign,2500,11/06/2024,11/07/2024,,TRUE,The Lord Hintze,,Individual,,,,,,
9525,,Carlton Club - £550.00,02/08/2024,02/08/2024,,"Gifts, benefits and hospitality from UK sources",David Reed,5347,,InKind,Temporary admission for parliamentary candidate for use of the club and facilities from 27 September 2024 until the general election.,550,27/09/2023,27/09/2023,04/07/2024,TRUE,Carlton Club,"69 St James's Street,  London SW1A 1PJ",Company,Carlton Club,,573221,Companies House,,
8622,,"London Transport Museum - £1,708.00",31/07/2024,01/08/2024,,"Gifts, benefits and hospitality from UK sources",Mary Creagh,1579,,InKind,Annual travel card (for use between zones 1 to 2),1708,14/07/2022,14/07/2022,,TRUE,London Transport Museum,"39 Wellington Street, London WC2E 7BB",Company,London Transport Museum,,6495761,Companies House,,
