ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,VisitLocations,VisitLocations_1_Country,VisitLocations_1_Destination,Purpose,StartDate,EndDate,Appg,Donors,Donors_1_Name,Donors_1_IsPrivateIndividual,Donors_1_PublicAddress,Donors_1_PaymentType,Donors_1_PaymentDescription,Donors_1_Value,Donors_1_IsSoleBeneficiary,Donors_2_Name,Donors_2_IsPrivateIndividual,Donors_2_PublicAddress,Donors_2_PaymentType,Donors_2_PaymentDescription,Donors_2_Value,Donors_2_IsSoleBeneficiary,Donors_3_Name,Donors_3_IsPrivateIndividual,Donors_3_PublicAddress,Donors_3_PaymentType,Donors_3_PaymentDescription,Donors_3_Value,Donors_3_IsSoleBeneficiary,Donors_4_Name,Donors_4_IsPrivateIndividual,Donors_4_PublicAddress,Donors_4_PaymentType,Donors_4_PaymentDescription,Donors_4_Value,Donors_4_IsSoleBeneficiary,Donors_5_Name,Donors_5_IsPrivateIndividual,Donors_5_PublicAddress,Donors_5_PaymentType,Donors_5_PaymentDescription,Donors_5_Value,Donors_5_IsSoleBeneficiary,VisitLocations_2_Country,VisitLocations_2_Destination
5583,,International visit to Belgium between 04 April 2024 and 05 April 2024,01/05/2024,02/05/2024,,Visits outside the UK,Jeremy Corbyn,185,,Belgium,Brussels,To speak at the International Conference on “Europe for the People”.,04/04/2024,05/04/2024,,,Party of the European Left,FALSE,"Square de Meeûs 25, Brussels",In kind,Travel (£226.04) and accommodation (£124.86),350.9,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5574,,International visit to United States between 16 April 2024 and 21 April 2024,01/05/2024,01/05/2024,,Visits outside the UK,Lisa Nandy,4082,,United States,Washington DC,To attend IMF/World Bank Spring meetings in my capacity of Shadow Cabinet Minister for International Development.,16/04/2024,21/04/2024,,,Eleanor Crook Foundation,FALSE,"1049 30th Street NW, Washington DC 20007",In kind,"Flights, accommodation, food and subsistence for myself and a member of staff",5554.56,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5479,,International visit to Israel between 07 April 2024 and 10 April 2024,26/04/2024,26/04/2024,,Visits outside the UK,Jim Shannon,4131,,Israel,Tel Aviv and Kfar Aza,UK and German State Parliamentarian Delegation to Israel.,07/04/2024,10/04/2024,,,European Leadership Network (ELNET UK),FALSE,"Epworth House, 25 City Rd, London EC1Y 1AA",In kind,"Accommodation (£892), flights (£1081) and food (£344)",2317,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5493,,International visit to Israel between 31 March 2024 and 04 April 2024,25/04/2024,25/04/2024,,Visits outside the UK,Suella Braverman,4475,,Israel,,Solidarity visit to Israel following October 7th attacks.,31/03/2024,04/04/2024,,,National Jewish Assembly,FALSE,"National Jewish Assembly, Suite 12, 116 Ballards Lane, London N3 2DN",In kind,"A four night trip to Israel for my husband and I including
flights (£989.74 for two return flights to Tel Aviv), accommodation, meals and visits within Israel (£26,811.53)",27801.27,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5506,,International visit to Belgium on 16 April 2024,25/04/2024,25/04/2024,,Visits outside the UK,Suella Braverman,4475,,Belgium,,To speak at a conference in Brussels.,16/04/2024,16/04/2024,,,Edmund Burke Foundation,FALSE,"Edmund Burke Foundation, 300 Independence Avenue SE, Washington, DC 20003",In kind,"Eurostar train tickets, return London-Brussels, plus transfers",766.15,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5494,,International visit to Saudi Arabia between 11 January 2024 and 13 January 2024,24/04/2024,25/04/2024,,Visits outside the UK,Ms Nusrat Ghani,4460,,Saudi Arabia,Jeddah,Personal visit.,11/01/2024,13/01/2024,,,"Minister of Industry and Mineral Resources, Kingdom of Saudi Arabia",FALSE,"King Fahd Street, 12363 Riyadh",In kind,Return flights from Riyadh to Jeddah,886.1,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5180,,International visit to Taiwan between 29 March 2024 and 05 April 2024,16/04/2024,18/04/2024,,Visits outside the UK,Dame Diana Johnson,1533,,Taiwan,,"Delegation to Taipei organised by Labour Friends of Taiwan to meet with the President, Foreign Minister, Speaker of the Taiwanese Parliament and other officials.",29/03/2024,05/04/2024,,,Taiwanese Ministry of Foreign Affairs,FALSE,"2, Ketagalan Blvd., Zhongzheng Dist., Taipei City 100202, Taiwan",In kind,"Flights, accommodation, local transportation and meals",6832,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4749,,International visit to Switzerland between 28 January 2024 and 29 January 2024,13/03/2024,15/04/2024,11/04/2024,Visits outside the UK,Ian Murray,3966,,Switzerland,Lusanne,Delegation to examine pumped hydro.,28/01/2024,29/01/2024,,,Glen Earrach Energy Ltd,FALSE,"50 Lothian Road, Festival Square, Edinburgh EH3 9WJ",In kind,"Hotel, travel and costs for myself and my political adviser",1498,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5087,,International visit to China between 19 March 2024 and 23 March 2024,15/04/2024,15/04/2024,,Visits outside the UK,Catherine West,4523,,China,Beijing,APPG China Group visit to participate in the 12th UK-China Senior Leadership Forum and Parliamentary delegation.,19/03/2024,23/03/2024,All-Party Parliamentary China Group,,Great Britain China Centre,FALSE,"Kings Buildings, Smith Square, London SW1P 3HQ",In kind,"Flight (£1,217), hotel stays (three nights from 20-23 March, £423), meals and drinks (£63), and visa costs (£305)",2008,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4664,,International visit to Slovenia between 22 February 2024 and 24 February 2024,07/03/2024,15/04/2024,22/03/2024,Visits outside the UK,Jeremy Corbyn,185,,Slovenia,Ljubljana,To speak at Levica conference.,22/02/2024,24/02/2024,,,Levica (The Left Slovenia),FALSE,"Prešernova cesta 3, 1000 Ljubljana, Slovenia",In kind,Flights (£537.46) and accommodation (£209),746.46,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
