ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link
12043,Leiden University - £350.00,,2025-03-18,2025-03-19,,Gifts and benefits from sources outside the UK,5296,Freddie van Mierlo,,In kind,Photography for alumni magazine; permission granted for other use,350.00,2025-02-25,2025-03-18,,True,Leiden University,"Leiden University, PO Box 9500, 2300 RA Leiden. The Netherlands",Other,,,,,,University,https://interests-api.parliament.uk/api/v1/Interests/12043
11809,Trump Vance Inaugural Committee - £712.87,,2025-02-14,2025-02-14,,Gifts and benefits from sources outside the UK,4475,Suella Braverman,,In kind,"Tickets for my husband and I to attend the Trump Victory Rally on 19th January, the President's Inauguration on 20th January and the Liberty Ball on 21st January 2025",712.87,2025-01-19,2025-01-19,2025-01-22,False,Trump Vance Inaugural Committee,"Floor 4, General Services Administration at National Capitol Region 301 7th Street SW, Washington, DC 20024 USA",Company,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/11809
11267,Azad Government of the State of Jammu & Kashmir - £707.00,,2024-11-14,2024-11-18,,Gifts and benefits from sources outside the UK,4598,Mohammad Yasin,,In kind,Transport was provided for me and up to six other family members during my recent trip to Pakistan,707.00,2024-10-18,2024-10-18,2024-11-03,False,Azad Government of the State of Jammu & Kashmir,"Services & General Administration Department, Central Transport Pool G0, Azad Government of the State of Jammu & Kashmir, Muzzadarabad",Other,,,,,,Government,https://interests-api.parliament.uk/api/v1/Interests/11267
10782,Ayita LLC - £836.00,,2024-09-25,2024-09-25,,Gifts and benefits from sources outside the UK,4356,Angela Rayner,,In kind,"Hospitality - visit to DJ booth, Hï Ibiza",836.00,2024-08-28,2024-08-28,,True,Ayita LLC,"Ayita LLC
10351 Washington Blvd, Culver City, CA 90232",Company,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10782
10723,"Mr Ronald Chagoury - £1,440.00",,2024-09-17,2024-09-17,,Gifts and benefits from sources outside the UK,4018,Helen Grant,,In kind,"Accommodation at the Peninsula Hotel, 19 Av. Kléber, 75116 Paris, France - value €1700 Euro - equivalent to GBP @1.18 = £1440.  I was accompanied by my husband",1440.00,2024-09-02,2024-09-02,2024-09-03,False,Mr Ronald Chagoury,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/10723
