ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,StartDate,EndDate,Appg,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Link,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,VisitLocations_Country_3,VisitLocations_Destination_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5
11461,International visit to Ireland on 25 November 2024,,2024-12-09,2024-12-09,,Visits outside the UK,4118,Sir Julian Smith,Ireland,,"to attend meetings in my capacity as unpaid Executive Chair, IFFed",2024-11-25,2024-11-25,,International Finance Facility for Education,False,"c/o Lenz and Staehelin, Route de Chene 30A, 1208 Geneve, Switzerland",In kind,Return flight between London and Dublin plus meal costs incurred,376.03,True,https://interests-api.parliament.uk/api/v1/Interests/11461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11459,International visit to Switzerland between 15 November 2024 and 16 November 2024,,2024-12-09,2024-12-09,,Visits outside the UK,4118,Sir Julian Smith,Switzerland,Zurich,"to attend an awards evening in my capacity as unpaid Executive Chair, IFFed",2024-11-15,2024-11-16,,International Finance Facility for Education,False,"c/o Lenz and Staehelin, Route de Chene 30A, 1208 Geneve, Switzerland",In kind,"Flight, hotel and food costs between London and Zurich",763.33,True,https://interests-api.parliament.uk/api/v1/Interests/11459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11463,International visit to Italy between 09 November 2024 and 10 November 2024,,2024-12-09,2024-12-09,,Visits outside the UK,5213,Dr Zubir Ahmed,Italy,Florence,To assess different technologies involved in providing community based diagnostics,2024-11-09,2024-11-10,,IQ TRAINING LTD,False,"128 City Road, London, United Kingdom EC1V 2NX",In kind,Accommodation and flights,2200,True,https://interests-api.parliament.uk/api/v1/Interests/11463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11464,International visit to India between 15 November 2024 and 22 November 2024,,2024-12-09,2024-12-09,,Visits outside the UK,5068,Shivani Raja,India,,A trip through the APPG to strengthen bi-lateral relations between two nations,2024-11-15,2024-11-22,India All-Party Parliamentary Group,The Observer Research Foundation,False,"20, Rouse Avenue Institutional Area, New Delhi, India",In kind,"International flights (£2,800), hotel (£300), food (£50)",3150,True,https://interests-api.parliament.uk/api/v1/Interests/11464,The 1928 Institute (Secretariat to the India APPG),False,"Woodstock Accountancy, 3a Market Place, Woodstock OX20 1SY (company number 13877908)",In kind,Domestic Flights (£184) Hotel Stay (£170) Food (£70),424,True,UK-India Business Council,False,"3 Orchard Pl, London SW1H 0BF",In kind,"Hotel (£350), Food (£20)",370,True,,,,,,,,,,,,,,,,,,
11426,International visit to Bosnia and Herzegovina between 03 November 2024 and 06 November 2024,,2024-12-03,2024-12-06,,Visits outside the UK,4735,Stephen Flynn,Bosnia and Herzegovina,Sarajevo & Srebrenica,Beyond Srebrenica is a charity that promotes awareness of the Srebrenica genocide and the wider atrocities against the Bosnian population. The visit was in line with the charities founding objectives.,2024-11-03,2024-11-06,,Beyond Srebrenica,False,"c/o Turcan Connell Solicitors, Princes Exchange, Earl Grey Street, Edinburgh EH3 9EE",In kind,Flights (£605) Accommodation and meals (£295),900,True,https://interests-api.parliament.uk/api/v1/Interests/11426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11447,International visit to Finland between 26 November 2024 and 29 November 2024,,2024-12-05,2024-12-06,,Visits outside the UK,4805,Alicia Kearns,Finland,,"Study trip undertaken by a member of my staff to learn about comprehensive security, Finnish and foreign security policy, and Finland's accession into NATO.",2024-11-26,2024-11-29,,Embassy of Finland in London,False,"38 Chesham Place, London,SW1X 8HW",In kind,"Flights (£415.17), accommodation (£379.11), meals (£165.51), public transport (£21.68)",981.6,False,https://interests-api.parliament.uk/api/v1/Interests/11447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11443,International visit to India between 20 November 2024 and 24 November 2024,,2024-12-04,2024-12-05,,Visits outside the UK,5185,Alan Gemmell,India,,To receive an Honorary Doctorate from the Kalinga Institute of Social Sciences,2024-11-20,2024-11-24,,Kalinga Institute of Social Sciences,False,"Kiss Campus, Bhubaneswar, Odisha, India",In kind,"Flights (£2893.73), accommodation (£93.39)",2987.12,True,https://interests-api.parliament.uk/api/v1/Interests/11443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450,International visit to Poland between 17 November 2024 and 19 November 2024,,2024-12-05,2024-12-05,,Visits outside the UK,4500,Clive Lewis,Poland,Warsaw,To attend the Friedrich-Bert-Stiftung parliamentarians forum on the far right,2024-11-17,2024-11-19,,Friedrich Ebert Stiftung Democracy of the Future,False,"Reichsratsstr. 13/5, 1010, Vienna, Austria",In kind,"Flight (£704.10), accomodation (£171.98 - estimate), meals and refreshments (£133.54), coach and taxi transfers (£50.71)",1060.33,True,https://interests-api.parliament.uk/api/v1/Interests/11450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11419,International visit to Mauritius between 07 November 2024 and 14 November 2024,,2024-12-03,2024-12-03,,Visits outside the UK,1482,Graham Stuart,Mauritius,,To observe unofficially the General Election taking place in Mauritius.,2024-11-07,2024-11-14,,Mauritius Labour Party,False,"25 Reserves Street
Les Salines
Port Louis
Mauritius",In kind,Flights and accommodation,8639.5,True,https://interests-api.parliament.uk/api/v1/Interests/11419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11415,International visit to Colombia between 22 October 2024 and 26 October 2024,,2024-12-03,2024-12-03,,Visits outside the UK,3952,Mr Toby Perkins,Colombia,Cali,To attend COP 16 biodiversity conference,2024-10-22,2024-10-26,,International Conservation Caucus Foundation,False,"71-75 Shelton Street, Covent Garden, London WC2H 9JQ",In kind,Accommodation and travel in Cali for attendance at COP 16 conference,518,True,https://interests-api.parliament.uk/api/v1/Interests/11415,B4NZ,False,"First Floor, 10 Queen Street Place, London EC4R 1BE",In kind,Flight to COP 16 Conference in Cali,1701.99,True,,,,,,,,,,,,,,,,,,,,,,,,,
