ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link,Updated_2
12395,"Marriott Harrison - £17,824.80",,2025-05-09,2025-05-12,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal advice,17824.80,2025-04-10,2025-04-10,2025-05-07,True,Marriott Harrison,"80 Cheapside, London, England EC2V 6EE",Company,Marriott Harrison,,OC372774,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12395,
12265,Google UK Ltd - £531.82,,2025-05-12,2025-05-12,,"Gifts, benefits and hospitality from UK sources",5209,Peter Fortune,,In kind,"Travel, overnight stay and hospitality at Ditchley Park as part of the AI Parliamentary Scheme by Demos, in partnership with Google",531.82,2025-04-03,2025-04-03,,True,Google UK Ltd,"Belgrave House, 76 Buckingham Palace Road, London SW1W 9QT",Company,Google UK Ltd,,03977902,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12265,
12411,Manchester City Football Club - £700.00,,2025-05-12,2025-05-12,,"Gifts, benefits and hospitality from UK sources",4979,Andrew Western,,In kind,"Ticket and hospitality at Manchester City v Wolverhampton Wanderers match, 2nd May 2025",700.00,2025-05-02,2025-05-02,,True,Manchester City Football Club,"Etihad Stadium, Etihad Campus, Manchester M11 3EF",Company,Manchester City Football Club,,00040946,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12411,
12393,Football Association Limited - £494.36,,2025-05-09,2025-05-09,,"Gifts, benefits and hospitality from UK sources",5321,Mr Paul Kohler,,In kind,Two tickets and hospitality to the FA cup semi-final with Crystal Palace F.C.,494.36,2025-04-26,2025-04-26,,False,Football Association Limited,"Wembley Stadium, Wembley, London HA9 0WS",Company,Football Association Limited,,00077797,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12393,
12380,The UK Interactive Entertainment Association Limited - £700.00,,2025-05-07,2025-05-08,,"Gifts, benefits and hospitality from UK sources",5113,Claire Hughes,,In kind,Ticket to the Bafta Games Awards,700.00,2025-04-08,2025-04-08,,True,The UK Interactive Entertainment Association Limited,"Lower Ground Floor, Black Bull Yard, 18a, 24-28 Hatton Wall, London EC1N 8JH",Company,The UK Interactive Entertainment Association Limited,,02420400,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12380,
12362,Channel Four Television Company Limited - £750.00,,2025-05-06,2025-05-07,,"Gifts, benefits and hospitality from UK sources",5156,Jess Asato,,In kind,"Ticket to the BAFTA Television Award with drinks reception, red carpet experience and awards dinner",750.00,2025-04-29,2025-05-02,2025-05-11,True,Channel Four Television Company Limited,"124 Horseferry Road, London SW1P 2TX",Company,Channel Four Television Company Limited,,01533774,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12362,
12366,"The Arsenal Football Club - £1,000.00",,2025-05-07,2025-05-07,,"Gifts, benefits and hospitality from UK sources",4514,Sir Keir Starmer,,In kind,Tickets and hospitality for 2 people in the Directors' Box. Approximate market value £500 each.,1000.00,2025-04-29,2025-04-29,,False,The Arsenal Football Club,"Arsenal Football Club, Highbury House, 75 Drayton Park, London, N5 1BU",Company,The Arsenal Football Club,,00109244,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12366,
12367,NatWest Group - £480.00,,2025-05-07,2025-05-07,,"Gifts, benefits and hospitality from UK sources",4765,Wendy Chamberlain,,In kind,Ticket and dinner at the British Business Awards,480.00,2025-04-24,2025-04-24,,True,NatWest Group,"36 St Andrew Square, Edinburgh EH2 2YB",Company,NatWest Group,,SC045551,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12367,
12370,"Riz Mokal - £79,560.00",,2025-05-07,2025-05-07,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro Bono Legal Advice,79560.00,2025-03-01,2025-03-01,2025-05-01,True,Riz Mokal,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/12370,
12371,"Rabin Kok - £29,160.00",,2025-05-07,2025-05-07,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal advice,29160.00,2025-03-01,2025-03-01,2025-05-01,True,Rabin Kok,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/12371,
12373,"Marriott Harrison LLP - £282,000.00",,2025-05-07,2025-05-07,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal advice,282000.00,2025-01-21,2025-01-21,2025-03-24,False,Marriott Harrison LLP,"80 Cheapside, London,EC2V 6EE",Company,Marriott Harrison LLP,,OC372774,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12373,
12374,"William Day - £301,800.00",,2025-05-07,2025-05-07,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal advice,301800.00,2024-12-27,2024-12-27,2025-05-01,True,William Day,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/12374,
12375,"Lucas Jones - £27,300.00",,2025-05-07,2025-05-07,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal advice,27300.00,2024-12-27,2024-12-27,2025-05-01,True,Lucas Jones,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/12375,
12351,Society of London Theatre/UK Theatre - £500.00,,2025-05-05,2025-05-05,,"Gifts, benefits and hospitality from UK sources",5257,Rachel Blake,,In kind,"Ticket to the Olivier Awards, approx.",500.00,2025-04-06,2025-04-06,2025-04-06,True,Society of London Theatre/UK Theatre,"32 Rose Street, London WC2E 9ET",Company,Society of London Theatre/UK Theatre,,323204,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12351,
12341,The Football Association - £550.00,,2025-05-02,2025-05-02,,"Gifts, benefits and hospitality from UK sources",5226,Michelle Welsh,,In kind,"Two match tickets, with hospitality, for me and one other to attend the FA Cup Semi- Final",550.00,2025-04-27,2025-04-27,,False,The Football Association,"Wembley Stadium
London
HA9 0WS",Company,The Football Association,,00077797,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12341,
12330,The Football Association - £494.36,,2025-05-01,2025-05-01,,"Gifts, benefits and hospitality from UK sources",4268,Steve Reed,,In kind,"2 tickets for the Emirates FA Cup Semi-Final, Crystal Palace vs Aston Villa, including hospitality",494.36,2025-04-26,2025-04-26,,False,The Football Association,"Wembley Stadium, Wembley, London HA9 0WS",Company,The Football Association,,00077797,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12330,
12315,University of Durham - £621.20,,2025-04-29,2025-04-30,,"Gifts, benefits and hospitality from UK sources",5102,Carla Denyer,,In kind,"travel, accommodation, food, and a small gift associated with providing a guest lecture at the Durham Energy Institute, Durham University.",621.20,2025-04-10,2025-04-10,2025-04-11,True,University of Durham,"The Palatine Centre, Durham University, Stockton Road, Durham DH1 3LE",Company,University of Durham,,RC000650,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12315,
12318,London Marathon Events Ltd - £350.00,,2025-04-29,2025-04-30,,"Gifts, benefits and hospitality from UK sources",4436,Cat Smith,,In kind,Nominal values of the hospitality given as I ran London Marathon 2025 for a local charity. London Marathon Start line Hospitality: £200. Finish line hospitality half day: £150.,350.00,2025-04-27,2025-04-27,,True,London Marathon Events Ltd,"190 Great Dover Street, London SE1 4YB",Company,London Marathon Events Ltd,,01528489,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12318,
12326,London Marathon Events Ltd - £350.00,,2025-04-30,2025-04-30,,"Gifts, benefits and hospitality from UK sources",4601,Andrew Bowie,,In kind,Hospitality at London Marathon,350.00,2025-04-27,2025-04-27,,True,London Marathon Events Ltd,"190 Great Dover Street, London SE1 4YB",Company,London Marathon Events Ltd,,01528489,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12326,
12294,London Marathon Events Limited - £350.00,,2025-04-28,2025-04-28,,"Gifts, benefits and hospitality from UK sources",5100,Blake Stephenson,,In kind,2025 London Marathon Start and Finish Line Hospitality.,350.00,2025-04-27,2025-04-27,,True,London Marathon Events Limited,"190 Great Dover Street, London SE1 4YB",Company,London Marathon Events Limited,,01528489,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12294,
11917,"UK Music - £2,200.00",,2025-04-28,2025-04-28,,"Gifts, benefits and hospitality from UK sources",5118,Chris Curtis,,In kind,For me and a member of staff to attend the Brit awards and dinner,2200.00,2025-03-01,2025-03-01,,False,UK Music,"33 Foley Street, London W1W 7TL",Company,UK Music,,03245288,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/11917,
12293,London Marathon Events Ltd - £350.00,,2025-04-28,2025-04-28,,"Gifts, benefits and hospitality from UK sources",4641,Alex Norris,,In kind,Hospitality at the start (£200) and finish (£150) of the 2025 London Marathon.,350.00,2025-04-27,2025-04-27,,True,London Marathon Events Ltd,"190 Great Dover Street, London, SE1 4YB",Company,London Marathon Events Ltd,,01528489,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12293,
12216,Women Dentists' Network - £384.00,,2025-04-10,2025-04-28,,"Gifts, benefits and hospitality from UK sources",1579,Mary Creagh,,In kind,"Dinner, gift and overnight accommodation for me and my husband at the Belfry Hotel Sutton Coldfield",384.00,2025-03-22,2025-03-22,,False,Women Dentists' Network,Private,Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/12216,
12286,Equatorise Ltd - £500.00,,2025-04-25,2025-04-25,,"Gifts, benefits and hospitality from UK sources",1482,Graham Stuart,,In kind,To attend Eid-Al-Fitr Dinner hosted by The Lord Mayor and Lady Mayoress of City of London.,500.00,2025-04-09,2025-04-09,,True,Equatorise Ltd,"Spaces, 60 St Martin's Lane, London WC2N 4JS",Company,Equatorise Ltd,,13107364,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12286,
12288,The Football Association - £410.00,,2025-04-25,2025-04-25,,"Gifts, benefits and hospitality from UK sources",4444,Karin Smyth,,In kind,"Two tickets and hospitality to see the Lionesses play Belgium at Ashton Gate, Bristol.",410.00,2025-04-04,2025-04-04,,False,The Football Association,"Wembley Stadium, Wembley, London HA9 0WS",Company,The Football Association,,00077797,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12288,
12287,Jodie Mallier-Ridley - £350.61,,2025-04-25,2025-04-25,,"Gifts, benefits and hospitality from UK sources",4786,Zarah Sultana,,In kind,These costs were associated with being a guest speaker at the NEU Left fringe event. They covered travel (£234.62) and accommodation (£115.99) for me and one other person,350.61,2025-04-13,2025-04-13,,False,Jodie Mallier-Ridley,Private,Other,,,,,,"Convenor of NEU Left, a grassroots membership organisation of NEU members",https://interests-api.parliament.uk/api/v1/Interests/12287,
12280,"UK Music - £1,320.00",,2025-04-24,2025-04-24,,"Gifts, benefits and hospitality from UK sources",5038,Anneliese Midgley,,In kind,Ticket and hospitality at the Brit Awards 2025,1320.00,2025-03-01,2025-03-01,,True,UK Music,"UK Music
Work.Life 
33 Foley Street
London
W1W 7TL",Company,UK Music,,3245288,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12280,
12212,The Jockey Club - £900.00,,2025-04-24,2025-04-24,,"Gifts, benefits and hospitality from UK sources",5038,Anneliese Midgley,,In kind,Attendance at the Chairman's Lunch at Aintree Racecourse for the Grand National on Saturday 5 April,900.00,2025-04-05,2025-04-05,,True,The Jockey Club,"21-27 Lambs Conduit Street, London, England WC1N 3NL",Company,The Jockey Club,,02909409,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12212,
12283,Google UK Ltd - £499.94,,2025-04-24,2025-04-24,,"Gifts, benefits and hospitality from UK sources",39,Sir John Whittingdale,,In kind,"Travel, overnight stay and hospitality at Ditchley Park as part of the AI Parliamentary Scheme by Demos in partnership with Google",499.94,2025-04-03,2025-04-03,,True,Google UK Ltd,"Belgrave House, 76 Buckingham Palace Road, London SW1W 9QT",Company,Google UK Ltd,,03977902,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12283,
12268,Google UK Ltd - £531.82,,2025-04-23,2025-04-23,,"Gifts, benefits and hospitality from UK sources",5200,Kenneth Stevenson,,In kind,"Travel, overnight stay and hospitality at Ditchley Park as part of the AI Parliamentary Scheme by Demos, in partnership with Google",531.82,2025-04-03,2025-04-03,,True,Google UK Ltd,"Belgrave House, 76 Buckingham Palace Road, London SW1W 9QT",Company,Google UK Ltd,,03977902,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12268,
12269,UK Interactive Entertainment Association Limited - £700.00,,2025-04-23,2025-04-23,,"Gifts, benefits and hospitality from UK sources",4799,Charlotte Nichols,,In kind,Hospitality at the BAFTA Game Awards 2025  in my capacity as Chair of the All Party Parliamentary Group on Video Games and ESports,700.00,2025-04-08,2025-04-08,,True,UK Interactive Entertainment Association Limited,"Lower Ground Floor, Black Bull Yard, 18a, 24-28 Hatton Wall, London, England, EC1N 8JH",Company,UK Interactive Entertainment Association Limited,,02420400,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12269,
12263,Google UK Ltd - £488.50,,2025-04-23,2025-04-23,,"Gifts, benefits and hospitality from UK sources",4527,Helen Whately,,In kind,"Travel, overnight stay and hospitality at Ditchley Park as part of the AI Parliamentary Scheme by Demos, in partnership with Google",488.50,2025-04-03,2025-04-03,,True,Google UK Ltd,"1 St.Giles High Street, London WC2H 8AG",Company,Google UK Ltd,,03977902,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12263,
12252,Ukie (UK Interactive Entertainment Association Limited) - £700.00,,2025-04-22,2025-04-22,,"Gifts, benefits and hospitality from UK sources",5222,Tom Rutland,,In kind,one ticket to BAFTA Games Awards and dinner 2025,700.00,2025-04-08,2025-04-08,,True,Ukie (UK Interactive Entertainment Association Limited),"Lower Ground Floor, 18a Black Bull Yard, 24-28 Hatton Wall, London EC1N 8JH",Company,Ukie (UK Interactive Entertainment Association Limited),,02420400,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12252,
12246,Google UK Ltd - £435.00,,2025-04-17,2025-04-18,,"Gifts, benefits and hospitality from UK sources",3969,Damian Hinds,,In kind,"Overnight stay and hospitality at Ditchley Park as part of the AI Parliamentary Scheme by Demos and Google, value £435",435.00,2025-04-03,2025-04-03,,True,Google UK Ltd,"Belgrave House, 76 Buckingham Palace Road, London SW1W 9QT",Company,Google UK Ltd,,03977902,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12246,
12245,"The Arsenal Football Club Limited - £1,000.00",,2025-04-17,2025-04-17,,"Gifts, benefits and hospitality from UK sources",4514,Sir Keir Starmer,,In kind,Amount of donation or nature and value if donation in kind: Tickets and hospitality for two people in the Directors' Box (approximate market value £500 each),1000.00,2025-04-08,2025-04-08,,False,The Arsenal Football Club Limited,"Arsenal Football Club, Highbury House, 75 Drayton Park, London N5 1BU",Company,The Arsenal Football Club Limited,,00109244,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12245,
12244,"The Arsenal Football Club Limited - £1,000.00",,2025-04-17,2025-04-17,,"Gifts, benefits and hospitality from UK sources",4514,Sir Keir Starmer,,In kind,Tickets and hospitality for two people in the Directors' Box (approximate market value £500 each),1000.00,2025-04-01,2025-04-01,,False,The Arsenal Football Club Limited,"Arsenal Football Club, Highbury House, 75 Drayton Park, London N5 1BU",Company,The Arsenal Football Club Limited,,00109244,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12244,
12236,Google UK Ltd - £611.76,,2025-04-16,2025-04-16,,"Gifts, benefits and hospitality from UK sources",373,David Davis,,In kind,"Travel, overnight stay and hospitality at Ditchley Park as part of the AI Parliamentary Scheme by Demos, in partnership with Google",611.76,2025-04-03,2025-04-03,2025-04-04,True,Google UK Ltd,"Belgrave House, 76 Buckingham Palace Road, London SW1W 9QT",Company,Google UK Ltd,,03977902,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12236,
12228,Portsmouth Community Football Club - £375.00,,2025-04-14,2025-04-15,,"Gifts, benefits and hospitality from UK sources",5294,Amanda Martin,,In kind,Match tickets and hospitality,375.00,2025-04-12,2025-04-12,,False,Portsmouth Community Football Club,"Frogmore Road, Portsmouth, Hampshire PO4 8RA",Company,Portsmouth Community Football Club,,07940335,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12228,
12233,"Franco-British Colloque Ltd - £1,356.00",,2025-04-15,2025-04-15,,"Gifts, benefits and hospitality from UK sources",5039,Kanishka Narayan,,In kind,Food and accommodation while attending the Franco-British Colloque 2025 at the Tate Gallery and Fairmont Windsor Park Hotel,1356.00,2025-02-01,2025-02-01,,True,Franco-British Colloque Ltd,"Station House, Station Approach, East Horsley, Surrey KT24 6QX",Company,Franco-British Colloque Ltd,,06913437,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12233,
