ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice,Link_1
10640,,Guest on The Jeremy Vine Show - ITN 5 Live,2024-09-04,2024-09-30,,Employment and earnings,Sir Christopher Chope,242,Guest on The Jeremy Vine Show,,,False,ITN 5 Live,False,False,,"200 Gray's Inn Road, London WC1X 8XZ",,https://interests-api.parliament.uk/api/v1/Interests/10640
10644,,Local councillor - East Ayrshire council,2024-09-05,2024-09-30,,Employment and earnings,Elaine Stewart,5206,Local councillor,05/05/2022,30/08/2024,True,East Ayrshire council,False,False,Local authority,London road Kilmarnock KA37DD,False,https://interests-api.parliament.uk/api/v1/Interests/10644
10852,,Writing articles - The Observer,2024-09-30,2024-09-30,,Employment and earnings,Torsten Bell,5069,Writing articles,04/08/2024,,False,The Observer,False,False,,"Kings Place, 90 York Way, London N1 9GU",,https://interests-api.parliament.uk/api/v1/Interests/10852
9956,,Consultant - Daggerwing Group Limited,2024-08-04,2024-09-30,2024-09-23,Employment and earnings,Victoria Collins,5201,Consultant,,11/09/2023,True,Daggerwing Group Limited,False,False,Consultancy services,"Bankside 3, 90 - 100 Southwark Street, London SE1 0SW",,https://interests-api.parliament.uk/api/v1/Interests/9956
6387,,Councillor - Stockport Metropolitan Borough Council,2024-07-16,2024-09-27,2024-09-26,Employment and earnings,Tom Morrison,5090,Councillor,02/05/2019,09/09/2024,True,Stockport Metropolitan Borough Council,False,False,,"Stockport Town Hall, Edward Street, Stockport SK1 3XE",,https://interests-api.parliament.uk/api/v1/Interests/6387
10718,,Writing a foreward to a book - The National Council for Civil Liberties,2024-09-27,2024-09-27,,Employment and earnings,Clive Lewis,4500,Writing a foreward to a book,,20/09/2024,True,The National Council for Civil Liberties,False,False,The National Council for Civil Liberties operates under trading name Liberty,"Liberty House, 26-30 Strutton Ground, London, SW1P 2HR",,https://interests-api.parliament.uk/api/v1/Interests/10718
10819,,Author royalties - ALCS,2024-09-26,2024-09-26,,Employment and earnings,Chris Bryant,1446,Author royalties,,,False,ALCS,False,False,Authors Licensing and Collection Society,"6th Floor, International House, 1 St Katharine's Way, London E1W 1UN",,https://interests-api.parliament.uk/api/v1/Interests/10819
10773,,"Writing a book - A M Heath & Company Limited,",2024-09-25,2024-09-25,,Employment and earnings,Naz Shah,4409,Writing a book,10/09/2024,,False,"A M Heath & Company Limited,",False,False,Literary Agency,"6 Warwick Court, London WC1R 5DJ",,https://interests-api.parliament.uk/api/v1/Interests/10773
10792,,Councillor - Somerset Council,2023-08-17,2024-09-23,,Employment and earnings,Sarah Dyke,4995,Councillor,,,False,Somerset Council,False,False,,"County Hall, Taunton TA1 4DY",,https://interests-api.parliament.uk/api/v1/Interests/10792
10746,,Speaking engagement - Edinburgh International Book Festival,2024-09-18,2024-09-18,,Employment and earnings,Yuan Yang,5267,Speaking engagement,,13/08/2024,True,Edinburgh International Book Festival,False,False,Literary festival,"121 George Street, Edinburgh EH2 4YN",,https://interests-api.parliament.uk/api/v1/Interests/10746
