ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerNatureOfBusiness,PayerPublicAddress,HasSoughtAcobaAdvice,Link_1
10717,,Programme Manager - NHS Ayrshire and Arran,2024-09-16,2024-09-16,,Employment and earnings,Irene Campbell,5145,Programme Manager,,07/07/2024,True,NHS Ayrshire and Arran,False,False,,"University Hospital Crosshouse, Kilmarnock KA2 0BE",,https://interests-api.parliament.uk/api/v1/Interests/10717
10714,,"Narration - Penguin Audio via Blake Friedmann Literary, TV & Film Agency Ltd",2024-09-16,2024-09-16,,Employment and earnings,Ms Diane Abbott,172,Narration,10/09/2024,,False,"Penguin Audio via Blake Friedmann Literary, TV & Film Agency Ltd",False,False,,"Ground Floor, 15 Highbury Place, London N5 1QP",,https://interests-api.parliament.uk/api/v1/Interests/10714
10708,,Councillor - Warrington Borough Council,2024-09-16,2024-09-16,,Employment and earnings,Sarah Hall,5154,Councillor,,02/05/2024,True,Warrington Borough Council,False,False,Council,"Warrington Borough Council, Sankey Street, Warrington",,https://interests-api.parliament.uk/api/v1/Interests/10708
10669,,Guest contributor to radio show - Global Radio Services Ltd,2024-09-09,2024-09-11,,Employment and earnings,Suella Braverman,4475,Guest contributor to radio show,,,False,Global Radio Services Ltd,False,False,Media company/ radio broadcaster,"30, Leicester Square, London WC2H 7LA",,https://interests-api.parliament.uk/api/v1/Interests/10669
6799,,Councillor - Inverclyde Council,2024-07-23,2024-09-10,2024-09-04,Employment and earnings,Martin McCluskey,5129,Councillor,,04/09/2024,True,Inverclyde Council,False,False,,"Municipal Buildings, 24 Clyde Sq, Greenock PA15 1LY",,https://interests-api.parliament.uk/api/v1/Interests/6799
6131,,Lead Member in Local Government - Local Government Association,2024-07-11,2024-09-02,2024-09-06,Employment and earnings,Vikki Slade,5327,Lead Member in Local Government,,31/07/2024,True,Local Government Association,False,False,,"LGA House, Smith Square, London SW1P 3HZ",,https://interests-api.parliament.uk/api/v1/Interests/6131
10507,,Speaking engagements - The Advocacy Team,2024-08-27,2024-09-02,,Employment and earnings,Bell Ribeiro-Addy,4764,Speaking engagements,20/08/2024,,False,The Advocacy Team,False,False,,"8 Devonshire Square, London EC2M 4PL",,https://interests-api.parliament.uk/api/v1/Interests/10507
6102,,Local Government Councillor - The Moray Council,2024-07-11,2024-09-02,2024-08-20,Employment and earnings,Graham Leadbitter,5277,Local Government Councillor,,13/08/2024,True,The Moray Council,False,False,,"High Street, Elgin IV30 1BX",,https://interests-api.parliament.uk/api/v1/Interests/6102
10624,,Social media work - Google,2024-09-02,2024-09-02,,Employment and earnings,Nigel Farage,5091,Social media work,,,False,Google,False,False,,"Google Google Building Gordon House, Barrow St, Grand Canal Dock, Dublin 4, D04 V4X7 Ireland",,https://interests-api.parliament.uk/api/v1/Interests/10624
10545,,Interim Head of Leader's Office - Sandwell Metropolitan Borough Council,2024-08-26,2024-09-02,,Employment and earnings,Imogen Walker,5136,Interim Head of Leader's Office,08/08/2022,24/05/2024,True,Sandwell Metropolitan Borough Council,False,False,,"Sandwell Council House, Freeth St, Oldbury B69 3DE",,https://interests-api.parliament.uk/api/v1/Interests/10545
10561,,Polling Consultant - Labour Party,2024-08-27,2024-09-02,,Employment and earnings,Chris Curtis,5118,Polling Consultant,01/01/2024,04/07/2024,True,Labour Party,False,False,,"20 Rushworth St, London SE1 0SS",,https://interests-api.parliament.uk/api/v1/Interests/10561
7978,,Councillor - Ealing Council,2024-08-03,2024-09-02,2024-08-23,Employment and earnings,Callum Anderson,5193,Councillor,06/06/2022,23/08/2024,True,Ealing Council,False,False,,"Perceval House, 14-16 Uxbridge Road, London W5 2HL",,https://interests-api.parliament.uk/api/v1/Interests/7978
10573,,Legal services provided before my election to Parliament - Deka Chambers,2024-08-28,2024-09-02,,Employment and earnings,Jake Richards,5082,Legal services provided before my election to Parliament,,,False,Deka Chambers,False,False,Barrister Chambers,"5 Norwich Street, London EC4A 1DR",,https://interests-api.parliament.uk/api/v1/Interests/10573
6541,,Councillor - Devon County Council,2024-08-02,2024-08-30,2024-08-29,Employment and earnings,Martin Wrigley,5111,Councillor,,01/05/2025,True,Devon County Council,False,False,,"County Hall, Topsham Road, Exeter, Devon EX2 4QD",,https://interests-api.parliament.uk/api/v1/Interests/6541
7901,,Councillor - Essex County Council,2024-07-31,2024-08-30,,Employment and earnings,Marie Goldman,5073,Councillor,,,False,Essex County Council,False,False,,"County Hall, 19 Market Road, Chelmsford CM1 1QH",,https://interests-api.parliament.uk/api/v1/Interests/7901
6538,,Councillor - Teignbridge district council,2024-08-02,2024-08-30,2024-08-29,Employment and earnings,Martin Wrigley,5111,Councillor,,,False,Teignbridge district council,False,False,,"Forde house, Brunel Rd, Newton Abbot TQ12 4XX",,https://interests-api.parliament.uk/api/v1/Interests/6538
10412,,Introducer - Paykage UK Limited,2024-08-12,2024-08-06,,Employment and earnings,Mark Garnier,4074,Introducer,,,False,Paykage UK Limited,False,False,Financial intermediary,"73 Cornhill, London EC3V 3QQ",,https://interests-api.parliament.uk/api/v1/Interests/10412
7380,,County Councillor - Nottinghamshire County Council,2024-08-03,2024-08-04,,Employment and earnings,Michelle Welsh,5226,County Councillor,,,False,Nottinghamshire County Council,False,False,Local Government,"Nottinghamshire County Hall, West Bridgford, Nottinghamshire NG2 7QP",,https://interests-api.parliament.uk/api/v1/Interests/7380
8155,,"Councillor, East Ayrshire Council - East Ayrshire Council",2024-07-30,2024-08-04,2024-09-17,Employment and earnings,Lillian Jones,5043,"Councillor, East Ayrshire Council",30/08/2024,,False,East Ayrshire Council,False,False,,"96 London Road, Kilmarnock KA3 7DD",,https://interests-api.parliament.uk/api/v1/Interests/8155
8327,,Local Councillor - North Lanarkshire Council,2024-08-04,2024-08-04,2024-09-02,Employment and earnings,Kenneth Stevenson,5200,Local Councillor,06/08/2024,,False,North Lanarkshire Council,False,False,,"Civic Centre, Windmillhill Street, Motherwell ML1 1AB",,https://interests-api.parliament.uk/api/v1/Interests/8327
7074,,Councillor - Isle of Wight Council,2024-08-01,2024-08-04,,Employment and earnings,Joe Robertson,5255,Councillor,,,False,Isle of Wight Council,False,False,Local Authority,"County Hall, Newport, Isle of Wight",,https://interests-api.parliament.uk/api/v1/Interests/7074
7457,,Superintendent Pharmacist - PillTime Ltd,2024-07-25,2024-08-04,,Employment and earnings,Sadik Al-Hassan,5312,Superintendent Pharmacist,,08/07/2024,True,PillTime Ltd,False,False,Online Pharmacy,"Unit 7 and 8, The Laurels, Cribbs Causeway, Bristol BS10 7TT",,https://interests-api.parliament.uk/api/v1/Interests/7457
7429,,Office of Conor McGinn MP - IPSA,2024-08-02,2024-08-04,,Employment and earnings,Anna Turley,4449,Office of Conor McGinn MP,,04/07/2024,True,IPSA,False,False,,"85 Strand, Marylebone WC2R 0DW",,https://interests-api.parliament.uk/api/v1/Interests/7429
8158,,Clinical Support - NHS Greater Glasgow and Clyde,2024-08-04,2024-08-04,,Employment and earnings,Lillian Jones,5043,Clinical Support,,07/07/2024,True,NHS Greater Glasgow and Clyde,False,False,,"1345 Govan Road, Glasgow G51 4TF",,https://interests-api.parliament.uk/api/v1/Interests/8158
8448,,Director and major shareholder - Lowe Holdings Ltd,2024-07-31,2024-08-04,,Employment and earnings,Rupert Lowe,5158,Director and major shareholder,,,False,Lowe Holdings Ltd,False,True,Holding company for Lowe and Oliver Ltd electrical contactors,"Cumnor Road, Wootton, Oxford",,https://interests-api.parliament.uk/api/v1/Interests/8448
6871,,County Councillor - Leicestershire County Council,2024-08-04,2024-08-04,,Employment and earnings,Amanda Hack,5149,County Councillor,,,False,Leicestershire County Council,False,False,,"County Hall, Glenfield LE3 8HA",,https://interests-api.parliament.uk/api/v1/Interests/6871
8042,,Employee - Baxi Heating UK Limited,2024-07-29,2024-08-04,,Employment and earnings,Bradley Thomas,5186,Employee,,04/07/2024,True,Baxi Heating UK Limited,False,False,Manufacturer of heating and cooling equipment,"Brooks House, Coventry Road, Warwick CV34 4LL",,https://interests-api.parliament.uk/api/v1/Interests/8042
8939,,Chair of London Councils - London Councils,2024-08-02,2024-08-04,,Employment and earnings,Georgia Gould,5305,Chair of London Councils,,10/07/2024,True,London Councils,False,True,,59 1/2 Southwark Street SE1 0AL,,https://interests-api.parliament.uk/api/v1/Interests/8939
9518,,Deputy Chair & LGA Board Member - Local Government Association,2024-08-02,2024-08-04,,Employment and earnings,Michael Payne,5146,Deputy Chair & LGA Board Member,,02/07/2024,True,Local Government Association,False,True,,"18 Smith Square, London SW1P 3HZ",,https://interests-api.parliament.uk/api/v1/Interests/9518
9945,,Councillor in LB Tower Hamlets - LB Tower Hamlets,2024-08-03,2024-08-04,,Employment and earnings,Rachel Blake,5257,Councillor in LB Tower Hamlets,,26/07/2024,True,LB Tower Hamlets,False,False,Local Authority,"Tower Hamlets Town Hall, Whitechapel Road, E1",,https://interests-api.parliament.uk/api/v1/Interests/9945
8817,,Special responsibility allowance as an elected councillor - Greater Manchester Combined Authority,2024-08-02,2024-08-04,,Employment and earnings,Lisa Smart,5070,Special responsibility allowance as an elected councillor,,02/05/2024,True,Greater Manchester Combined Authority,False,False,,"56 Oxford Street, Manchester",,https://interests-api.parliament.uk/api/v1/Interests/8817
8350,,Councillor - Breckland Council,2024-07-31,2024-08-04,,Employment and earnings,Terry Jermy,5338,Councillor,,,False,Breckland Council,False,False,,"Elizabeth House, Walpole Loke, Dereham, Norfolk NR19 1EE",,https://interests-api.parliament.uk/api/v1/Interests/8350
8832,,Regional Lead Peer - Local Government Association,2024-08-02,2024-08-04,,Employment and earnings,Lisa Smart,5070,Regional Lead Peer,,08/07/2024,True,Local Government Association,False,False,,"18 Smith Square, London SW1P 3HZ",,https://interests-api.parliament.uk/api/v1/Interests/8832
9710,,Gedling Borough Councillor - Gedling Borough Council,2024-08-02,2024-08-04,,Employment and earnings,Michelle Welsh,5226,Gedling Borough Councillor,,,False,Gedling Borough Council,False,False,Local Government,"Civic Centre. Arnot Hill Park, Nottingham Road, Arnold, Nottingham NG5 6LU",,https://interests-api.parliament.uk/api/v1/Interests/9710
6168,,County Councillor - Norfolk County Councillor,2024-08-04,2024-08-04,,Employment and earnings,Steff Aquarone,5164,County Councillor,,,False,Norfolk County Councillor,False,False,Elected member,"Martinuea Lane, Norwich NR1 2DH",,https://interests-api.parliament.uk/api/v1/Interests/6168
9226,,Social media - X Corp,2024-08-04,2024-08-04,,Employment and earnings,Nigel Farage,5091,Social media,,,False,X Corp,False,False,,"Market Square, 1355 Market St Suite 900 San Francisco California 94103",,https://interests-api.parliament.uk/api/v1/Interests/9226
8216,,Councillor and Cabinet Member - Medway Council,2024-07-30,2024-08-04,,Employment and earnings,Tristan Osborne,5220,Councillor and Cabinet Member,,25/07/2024,True,Medway Council,False,False,Local Authority Council,"Gun Wharf, Dock Road, Chatham, Kent ME4 4TR",,https://interests-api.parliament.uk/api/v1/Interests/8216
8242,,Assistant professor - University of Nottingham,2024-07-30,2024-08-04,,Employment and earnings,Adam Thompson,5044,Assistant professor,,08/07/2024,True,University of Nottingham,False,False,,"Faculty of Engineering, University of Nottingham, Nottingham NG8 1BB",,https://interests-api.parliament.uk/api/v1/Interests/8242
6875,,Service Improvement Manager - Advance Housing and Support,2024-08-04,2024-08-04,,Employment and earnings,Amanda Hack,5149,Service Improvement Manager,,08/07/2024,True,Advance Housing and Support,False,False,Housing Association,"Witan Way, Witney, Oxfordshire",,https://interests-api.parliament.uk/api/v1/Interests/6875
8449,,Director - J Brand Limited,2024-07-31,2024-08-04,,Employment and earnings,Rupert Lowe,5158,Director,,,False,J Brand Limited,False,True,"Data related contractor, 100% owned by me","2 Margaret Street, London, W1W 8RD",,https://interests-api.parliament.uk/api/v1/Interests/8449
8879,,Director of Water and Environment for Europe - Jacobs UK Ltd,2024-08-02,2024-08-04,,Employment and earnings,Lee Pitcher,5233,Director of Water and Environment for Europe,,04/07/2024,True,Jacobs UK Ltd,False,False,Global Engineering Consultancy,"Cottons Centre, Cottons Lane, London SE1 2QG",,https://interests-api.parliament.uk/api/v1/Interests/8879
8904,,Public Engagement - Commonwealth War Graves Commission,2024-08-01,2024-08-04,,Employment and earnings,Rebecca Smith,5301,Public Engagement,,08/08/2024,True,Commonwealth War Graves Commission,False,False,,"2 Marlow Road, Maidenhead SL6 7DX",,https://interests-api.parliament.uk/api/v1/Interests/8904
9057,,Councillor - West Berkshire Council,2024-08-01,2024-08-04,,Employment and earnings,Mr Lee Dillon,5310,Councillor,07/05/2015,,False,West Berkshire Council,False,False,,"West Berkshire Council, Market Street, Newbury RG14 5LD",,https://interests-api.parliament.uk/api/v1/Interests/9057
9450,,Executive Director of Legal Affairs - The Labour Party,2024-08-02,2024-08-04,,Employment and earnings,Mr Alex Barros-Curtis,5175,Executive Director of Legal Affairs,,05/07/2024,True,The Labour Party,False,False,Political party,"20 Rushworth Street, London SE1 0SS",,https://interests-api.parliament.uk/api/v1/Interests/9450
10240,,Local Government Councillor - London Borough of Redbridge,2024-08-04,2024-08-04,,Employment and earnings,Mr Bayo Alaba,5097,Local Government Councillor,,09/09/2024,True,London Borough of Redbridge,False,False,,"Lynton House, 255 -259 High Road, Ilford IG1 1NN",,https://interests-api.parliament.uk/api/v1/Interests/10240
8626,,Local Government Association - LGPS Committee Member - Local Government Association,2024-08-01,2024-08-04,,Employment and earnings,Deirdre Costigan,5075,Local Government Association - LGPS Committee Member,,25/07/2024,True,Local Government Association,False,False,LGA Local Government Pension Scheme Committee,"18 Smith Square Westminster, London SW1P 3HZ",,https://interests-api.parliament.uk/api/v1/Interests/8626
10356,,Health Spokesperson (Councillor) - NHS FIfe,2024-08-04,2024-08-04,,Employment and earnings,Graeme Downie,5275,Health Spokesperson (Councillor),25/09/2023,04/07/2024,True,NHS FIfe,False,False,NHS Board,"Hayfield Road, Kirkcaldy, Fife KY2 5AH",,https://interests-api.parliament.uk/api/v1/Interests/10356
7434,,Political Adviser to the General Secretary of the TUC - TUC,2024-08-05,2024-08-04,,Employment and earnings,Anneliese Midgley,5038,Political Adviser to the General Secretary of the TUC,,05/07/2024,True,TUC,False,False,Trade Union,"Congress House, Great Russell Street WC1B 3LS",,https://interests-api.parliament.uk/api/v1/Interests/7434
7011,,Deputy Leader of County Council - Denbighshire County Council,2024-07-26,2024-08-04,,Employment and earnings,Gill German,5104,Deputy Leader of County Council,,05/07/2024,True,Denbighshire County Council,False,False,County Council,"County Hall, Ruthin LL15 9ZZ",False,https://interests-api.parliament.uk/api/v1/Interests/7011
7406,,Screenwriter - Rochelle Stevens & Co Ltd,2024-08-03,2024-08-04,,Employment and earnings,Alison Hume,5254,Screenwriter,,,False,Rochelle Stevens & Co Ltd,False,False,Writing Agent,"2 Terretts Place, Upper Street, London N1 1QZ",,https://interests-api.parliament.uk/api/v1/Interests/7406
8606,,General Manager - Leigh Building Preservation Trust,2024-07-31,2024-08-04,,Employment and earnings,Jo Platt,4673,General Manager,,08/07/2024,True,Leigh Building Preservation Trust,False,False,"A preservation trust, regenerating Leigh Spinners Mill, providing space for small start-ups and social enterprise","Leigh Spinners Mill, Park Lane, Leigh WN7 2LB",,https://interests-api.parliament.uk/api/v1/Interests/8606
6943,,medical reports - Premex Services,2024-07-25,2024-08-04,,Employment and earnings,Peter Prinsley,5163,medical reports,17/07/2024,,False,Premex Services,False,False,medical report agent,n/a,,https://interests-api.parliament.uk/api/v1/Interests/6943
7336,,National Officer for Disability Equality - UNISON,2024-08-01,2024-08-04,,Employment and earnings,Deirdre Costigan,5075,National Officer for Disability Equality,,05/07/2024,True,UNISON,False,False,,"Unison Centre, 130 Euston Road NW1 2AY",,https://interests-api.parliament.uk/api/v1/Interests/7336
7122,,London Councils Executive Member - London Councils,2024-08-04,2024-08-04,,Employment and earnings,Jas Athwal,5227,London Councils Executive Member,,19/07/2024,True,London Councils,False,False,Local Government,City of London Corporation,,https://interests-api.parliament.uk/api/v1/Interests/7122
7361,,Councillor - Hartlepool Borough Council,2024-07-30,2024-08-04,,Employment and earnings,Mr Jonathan Brash,5045,Councillor,,08/08/2024,True,Hartlepool Borough Council,False,False,Local Council,"Civic Centre, Victoria Road, Hartlepool TS24 8AY",,https://interests-api.parliament.uk/api/v1/Interests/7361
7517,,"Executive Director of Policy, Advocacy and Campaigns - Save the Children UK",2024-07-25,2024-08-04,,Employment and earnings,Kirsty McNeill,5114,"Executive Director of Policy, Advocacy and Campaigns",,07/07/2024,True,Save the Children UK,False,False,,"1 St John's Lane, London EC1M 4AR",,https://interests-api.parliament.uk/api/v1/Interests/7517
8344,,Programme Manager - Durham University,2024-08-01,2024-08-04,,Employment and earnings,Sam Rushworth,5108,Programme Manager,,26/07/2024,True,Durham University,False,False,,"The Palatine Centre, University, Stockton Rd, Durham DH1 3LE",,https://interests-api.parliament.uk/api/v1/Interests/8344
8453,,Director - Data-Path Office Net Work Services Ltd,2024-07-31,2024-08-04,,Employment and earnings,Rupert Lowe,5158,Director,,,False,Data-Path Office Net Work Services Ltd,False,True,Data contractor,"Crewkerne Business Park, Northern Way, Crewkerne, TA18 7HU",,https://interests-api.parliament.uk/api/v1/Interests/8453
8895,,Policy advice on end of life care - King's College London,2024-08-01,2024-08-04,,Employment and earnings,Anna Dixon,5281,Policy advice on end of life care,,14/06/2024,True,King's College London,False,False,University,"Strand, London WC2R 2LS",,https://interests-api.parliament.uk/api/v1/Interests/8895
9152,,Office Manager for Member of Parliament - IPSA,2024-08-02,2024-08-04,,Employment and earnings,Sarah Hall,5154,Office Manager for Member of Parliament,,04/07/2024,True,IPSA,False,False,,"2nd floor, 65 Strand, London, WC2R 0DW",,https://interests-api.parliament.uk/api/v1/Interests/9152
9916,,"District Councillor and Chair, Climate Change and Environment Committee - South Cambridgeshire District Council",2024-08-03,2024-08-04,,Employment and earnings,Pippa Heylings,5078,"District Councillor and Chair, Climate Change and Environment Committee",05/05/2022,,False,South Cambridgeshire District Council,False,False,,"South Cambridgeshire Hall Cambourne Business Park Cambourne, Cambridge CB23 6EA",,https://interests-api.parliament.uk/api/v1/Interests/9916
9527,,Chair & Member of the Authority - Nottinghamshire & City of Nottingham Fire Authority,2024-08-02,2024-08-04,,Employment and earnings,Michael Payne,5146,Chair & Member of the Authority,,,False,Nottinghamshire & City of Nottingham Fire Authority,False,True,,"Nottinghamshire Fire and Rescue Service Joint Headquarters, Sherwood Lodge, Arnold, Nottingham NG5 8PP",,https://interests-api.parliament.uk/api/v1/Interests/9527
9909,,Executive Director - Talking Transformation Limited,2024-08-03,2024-08-04,,Employment and earnings,Pippa Heylings,5078,Executive Director,,30/07/2024,True,Talking Transformation Limited,True,True,"Small consultancy business specialising in facilitation and conflict management on environmental, climate change and sustainability issues, mainly international work, bringing together multiple actors from different sectors to reach agreements.",,,https://interests-api.parliament.uk/api/v1/Interests/9909
8847,,"Work as as consultant delivering international governance aid programmes for democratic activists in Belarus, Kosovo and Serbia. - National Democratic Institute",2024-08-01,2024-08-04,,Employment and earnings,Blair McDougall,5076,"Work as as consultant delivering international governance aid programmes for democratic activists in Belarus, Kosovo and Serbia.",15/02/2024,02/04/2024,True,National Democratic Institute,False,False,An organisation for the delivery of governance aid internationally by various Western Governments.,"455 Massachusetts Ave, NW, 8th Floor  Washington, DC 20001-2621",,https://interests-api.parliament.uk/api/v1/Interests/8847
9003,,Company Director - Open Door Property Holidays Ltd,2024-08-01,2024-08-04,,Employment and earnings,James Naish,5047,Company Director,,,False,Open Door Property Holidays Ltd,False,True,Property management,"Office 5 Rec 2, Retford Enterprise Centre, Randall Way, Retford, DN22 7GR",False,https://interests-api.parliament.uk/api/v1/Interests/9003
7640,,Employee - University of Southampton,2024-07-29,2024-08-04,,Employment and earnings,Darren Paffey,5270,Employee,,04/07/2024,True,University of Southampton,False,False,Higher Education,"University Road, Southampton SO17 1BJ",,https://interests-api.parliament.uk/api/v1/Interests/7640
7105,,medical practice - Premex,2024-07-25,2024-08-04,,Employment and earnings,Peter Prinsley,5163,medical practice,19/07/2024,,False,Premex,False,False,medical report agent,n/a,,https://interests-api.parliament.uk/api/v1/Interests/7105
8907,,Member of Plymouth City Council - Plymouth City Council,2024-08-01,2024-08-04,,Employment and earnings,Rebecca Smith,5301,Member of Plymouth City Council,,,False,Plymouth City Council,False,False,,"Ballard House, West Hoe Road, Plymouth PL1 3BJ",,https://interests-api.parliament.uk/api/v1/Interests/8907
8909,,Writing articles - Telegraph media group,2024-08-04,2024-08-04,,Employment and earnings,Nigel Farage,5091,Writing articles,,,False,Telegraph media group,False,False,,"111 Buckingham Palace Road, London, SW1W 0DT",,https://interests-api.parliament.uk/api/v1/Interests/8909
8916,,Social media work - Meta Platforms,2024-08-04,2024-08-04,,Employment and earnings,Nigel Farage,5091,Social media work,,,False,Meta Platforms,False,False,,"1 Meta Way Menlo Park, CA",,https://interests-api.parliament.uk/api/v1/Interests/8916
7755,,Office Manager Jon Cruddas MP - IPSA,2024-07-29,2024-08-04,,Employment and earnings,Margaret Mullane,5272,Office Manager Jon Cruddas MP,,04/07/2024,True,IPSA,False,False,,"85 the Strand, London WC2R ODW",,https://interests-api.parliament.uk/api/v1/Interests/7755
8011,,Connecting communities staff - Coalfield regeneration trust,2024-08-03,2024-08-04,,Employment and earnings,Elaine Stewart,5206,Connecting communities staff,,,False,Coalfield regeneration trust,False,False,Coalfield regeneration trust,"2 Kirk Street, Kincardine, Alloa FK10 4PT",,https://interests-api.parliament.uk/api/v1/Interests/8011
8065,,Councillor & Chair of Local Committee - Sutton Council,2024-08-02,2024-08-04,,Employment and earnings,Bobby Dean,5083,Councillor & Chair of Local Committee,,,False,Sutton Council,False,False,Local authority,"Sutton Council, Civic Offices, St Nicholas Way, Sutton SM1 1EA",,https://interests-api.parliament.uk/api/v1/Interests/8065
8079,,Consultancy work - 2S Ltd,2024-08-29,2024-08-04,,Employment and earnings,Ian Sollom,5096,Consultancy work,,31/07/2024,True,2S Ltd,False,False,Strategy consultancy for business,"Tintagel House, 92 Embankment, London SE1 7TY",,https://interests-api.parliament.uk/api/v1/Interests/8079
8451,,Consultant Solicitor - Rebel Law Ltd,2024-07-31,2024-08-04,,Employment and earnings,Mrs Sarah Russell,5324,Consultant Solicitor,,,False,Rebel Law Ltd,False,False,Law firm specialising in employment law,"124 City Road, London EC1V 2NX",,https://interests-api.parliament.uk/api/v1/Interests/8451
8456,,Journalism - National World/Stornoway Gazette,2024-07-31,2024-08-04,,Employment and earnings,Torcuil Crichton,5246,Journalism,,,False,National World/Stornoway Gazette,False,False,Newspaper,"Seaforth Road, Stornoway, Isle of Lewis HS1",,https://interests-api.parliament.uk/api/v1/Interests/8456
7268,,Employee - Independent Office for Police Conduct,2024-07-24,2024-08-04,,Employment and earnings,Connor Naismith,5273,Employee,,05/07/2024,True,Independent Office for Police Conduct,False,False,Non-Departmental Public Body,"PO Box 473, Sale, M33 0BW",,https://interests-api.parliament.uk/api/v1/Interests/7268
7848,,Councillor - Rochdale Borough Council,2024-07-29,2024-08-04,,Employment and earnings,Mrs Elsie Blundell,5084,Councillor,,04/07/2024,True,Rochdale Borough Council,False,False,,"Number One Riverside, Smith St, Rochdale OL16 1XU",,https://interests-api.parliament.uk/api/v1/Interests/7848
8454,,Director - PE487 Ltd,2024-07-31,2024-08-04,,Employment and earnings,Rupert Lowe,5158,Director,,,False,PE487 Ltd,False,True,Freeze drying pharma related business,"Biopharma House, Winnall Valley Road, Winchester, S023 0OL",,https://interests-api.parliament.uk/api/v1/Interests/8454
8004,,Employee - USDAW,2024-07-29,2024-08-04,,Employment and earnings,Tracy Gilbert,5188,Employee,,04/07/2024,True,USDAW,False,False,Trade Union,Voyager Building 2 Furness Quay Salford Quays Manchester M50 3XZ,,https://interests-api.parliament.uk/api/v1/Interests/8004
8627,,Councillor at Southampton City Council - Southampton City Council,2024-08-02,2024-08-04,,Employment and earnings,Satvir Kaur,5271,Councillor at Southampton City Council,,30/07/2024,True,Southampton City Council,False,False,,"Southampton City Council, Civic Centre, Civic Road SO14 7LY",,https://interests-api.parliament.uk/api/v1/Interests/8627
9524,,Presenting a radio show - LBC Radio Ltd,2024-08-02,2024-08-04,,Employment and earnings,Alicia Kearns,4805,Presenting a radio show,,,False,LBC Radio Ltd,False,False,,"30 Leicester Square, London WC2H 7LA",,https://interests-api.parliament.uk/api/v1/Interests/9524
