ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link,Updated_2
15449,EFL - £900.00,,2026-06-14,2026-06-15,,"Gifts, benefits and hospitality from UK sources",4449,Anna Turley,,In kind,Two tickets including hospitality for the Championship Play Off Final at Wembley,900.00,2026-05-23,2026-05-23,,False,EFL,"EFL House, 10-12 West Cliff, Preston PR1 8HU",Company,EFL,,06469948,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15449,
15462,"Middlesbrough Football & Athletic Company (1986) Ltd - £1,250.00",,2026-06-15,2026-06-15,,"Gifts, benefits and hospitality from UK sources",4269,Andy McDonald,,In kind,"Two tickets, including hospitality, for the Hull City v Middlesbrough football match at Wembley Stadium (estimated amount)",1250.00,2026-05-23,2026-05-23,,True,Middlesbrough Football & Athletic Company (1986) Ltd,"Riverside Stadium, Middlesbrough TS3 6RS",Company,Middlesbrough Football & Athletic Company (1986) Ltd,,01947851,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15462,
15407,"Nathan Spencer - £1,390.00",,2026-06-15,2026-06-15,,"Gifts, benefits and hospitality from UK sources",5042,Pam Cox,APPG East of England,In kind,"Registration for UKREiiF event in Leeds, 20-21 May 2026 (£1095.00), accommodation at UKREiiF in Leeds, 20 May 2026 (£295.00)",1390.00,2026-05-20,2026-05-20,,True,Nathan Spencer,"UKREiiF, Built Environment Networking,4240 Park Approach, Leeds LS15 8GB",Company,Nathan Spencer,,15086201,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15407,
15438,Discovery Corporate Services Limited - £500.00,,2026-06-12,2026-06-12,,"Gifts, benefits and hospitality from UK sources",4804,Mr Gagan Mohindra,,In kind,Two tickets to the world premiere of House of Dragons Series 3 launch event and viewing (£250 per person),500.00,2026-06-08,2026-06-08,,False,Discovery Corporate Services Limited,"Chiswick Park Building 2, 
566 Chiswick High Road,
London W4 5YB",Company,Discovery Corporate Services Limited,,08597513,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15438,
15279,"Built Environment Networking Ltd - £1,600.00",,2026-06-12,2026-06-12,,"Gifts, benefits and hospitality from UK sources",5037,Lola McEvoy,,In kind,Tickets for me and a staff member to attend one day of UKREiiF (UK Real Estate and Investment Infrastructure Forum) estimated,1600.00,2026-05-20,2026-05-20,,False,Built Environment Networking Ltd,"4240 Park Approach, Thorpe Park, Leeds LS15 8GB",Company,Built Environment Networking Ltd,,07110641,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15279,
15430,Built Environment Networking T/A UKREiiF - £714.00,,2026-06-10,2026-06-11,,"Gifts, benefits and hospitality from UK sources",5131,Jack Abbott,,In kind,Ticket to UKREiiF 2026,714.00,2026-05-19,2026-05-19,,True,Built Environment Networking T/A UKREiiF,"4240 Park Approach, Leeds LS15 8GB",Company,Built Environment Networking T/A UKREiiF,,07110641,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15430,
15421,Jockey Club Racecourses Limited - £560.00,,2026-06-10,2026-06-10,,"Gifts, benefits and hospitality from UK sources",5336,Helen Maguire,,In kind,Tickets and hospitality at the Epsom Derby for two people (estimated £560),560.00,2026-06-06,2026-06-06,,False,Jockey Club Racecourses Limited,"21-27 Lambs Conduit Street, London WC1N 3NL",Company,Jockey Club Racecourses Limited,,02909409,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15421,
15423,Rugby Football League (RFL) - £645.60,,2026-06-10,2026-06-10,,"Gifts, benefits and hospitality from UK sources",5074,Mr Paul Foster,,In kind,"Two tickets with hospitality for me and a guest at the RFL Challenge Cup Final on 30 May. The box we were in was hosted by the RFL with tickets not available to buy, however a comparable facility was priced at £322.80",645.60,2026-05-30,2026-05-30,,False,Rugby Football League (RFL),"Gate 13,
Rowsley Street,
Etihad Campus,
Manchester M11 3FF",Company,Rugby Football League (RFL),,05835638,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15423,
15428,The Goodwood Estate Company Limited - £444.00,,2026-06-10,2026-06-10,,"Gifts, benefits and hospitality from UK sources",5335,Jess Brown-Fuller,,In kind,Two tickets to Goodwoof 2026 including hospitality,444.00,2026-05-17,2026-05-17,,False,The Goodwood Estate Company Limited,"Goodwood House, Goodwood, Chichester, England, PO18 0PX",Company,The Goodwood Estate Company Limited,,00553452,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15428,
15397,"Steve Gibson - £1,250.00",,2026-06-08,2026-06-09,,"Gifts, benefits and hospitality from UK sources",5147,Luke Myer,,In kind,"Two tickets to watch Middlesbrough Club in the EFL Championship final on 23 May 2026, with hospitality. Approximate value. Luke has made a donation to the MFC Foundation",1250.00,2026-05-23,2026-05-23,,False,Steve Gibson,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15397,
15306,Steve Gibson - £250.00,,2026-06-08,2026-06-09,,"Gifts, benefits and hospitality from UK sources",5147,Luke Myer,,In kind,"Two tickets to watch Middlesbrough Football Club in the EFL Championship play-off semifinal on 9 May 2026, with hospitality. Approximate value. Luke has made a donation to the MFC Foundation",250.00,2026-05-09,2026-05-09,2026-05-09,False,Steve Gibson,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/15306,
15385,"Informa Telecoms & Media Ltd - £3,332.67",,2026-06-08,2026-06-09,,"Gifts, benefits and hospitality from UK sources",4484,Alan Mak,,In kind,"Two access passes to London Tech Week venue for me and one staff member, for one day only, to participate in a discussion forum and meet other attendees",3332.67,2026-06-08,2026-06-08,,False,Informa Telecoms & Media Ltd,"5 Howick Place, London SW1P 1WG",Company,Informa Telecoms & Media Ltd,,00991704,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15385,
15394,Hanbury Strategy and Communications Limited - £750.00,,2026-06-08,2026-06-09,,"Gifts, benefits and hospitality from UK sources",5167,Gregor Poynton,,In kind,Tickets and hospitality at Lords Cricket Ground,750.00,2026-06-04,2026-06-04,,True,Hanbury Strategy and Communications Limited,"2 London Bridge, London SE1 9RA",Company,Hanbury Strategy and Communications Limited,,10361418,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15394,
15396,The HPower Group Ltd - £500.00,,2026-06-08,2026-06-09,,"Gifts, benefits and hospitality from UK sources",5340,Jack Rankin,,In kind,"My wife and I were the guests of the committee of the Royal Windsor Horse Show for the day, including champagne reception and lunch in the Royal Box with TRH The Duke and Duchess of Edinburgh. The HPower Group Ltd is the legal entity and management company behind the show. No retail value. Notional value based on advice for the same declaration 12 months ago",500.00,2026-05-14,2026-05-14,2026-05-14,False,The HPower Group Ltd,"Stable House, St Albans Close, Windsor, Berkshire SL4 1UT",Company,The HPower Group Ltd,,05332261,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15396,
15399,Global Media & Entertainment Limited - £500.00,,2026-06-09,2026-06-09,,"Gifts, benefits and hospitality from UK sources",4407,Nigel Huddleston,,In kind,"Tickets and hospitality for myself and a guest for the Capital Summertime Ball, received in my capacity as Shadow Secretary of State for Culture, Media and Sport",500.00,2026-06-06,2026-06-06,,False,Global Media & Entertainment Limited,"30 Leicester Square, London WC2H 7LA",Company,Global Media & Entertainment Limited,,06251684,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/15399,
