ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link,Updated_2
13391,Lord Banner KC - £445.10,,2025-10-02,2025-10-06,,"Gifts, benefits and hospitality from UK sources",5197,Dr Neil Shastri-Hurst,,In kind,"Tickets for my wife and myself at the O2 Arena for a Lady Gaga concert on 2 October 2025, including seating in the suite, food, and refreshments.",445.10,2025-10-02,2025-10-02,,False,Lord Banner KC,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13391,
13438,"Allwyn Entertainment Ltd - £1,485.00",,2025-10-03,2025-10-06,,"Gifts, benefits and hospitality from UK sources",5055,Max Wilkinson,,In kind,Three tickets to the women's rugby world cup final including food and drink,1485.00,2025-09-27,2025-09-27,,False,Allwyn Entertainment Ltd,"37-39 Clarendon Road, Watford WD17 1JA",Company,Allwyn Entertainment Ltd,,13157556,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13438,
13441,A.G. Barr PLC - £490.00,,2025-10-03,2025-10-03,,"Gifts, benefits and hospitality from UK sources",5309,Katrina Murray,,In kind,Invitation to employee family fun day to celebrate 150th anniversary of the company including lunch and soft drink reception.  Invitation extended to constituency office team and their families.  In total 7 people attended the event.  Advice received is that the cost per individual was £70 including VAT,490.00,2025-09-06,2025-09-06,,False,A.G. Barr PLC,"Westfield House
4 Mollins Road
Cumbernauld 
G68 9HD",Company,A.G. Barr PLC,,SC005653,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13441,
13439,"Allwyn Entertainment Ltd - £1,190.00",,2025-10-03,2025-10-03,,"Gifts, benefits and hospitality from UK sources",4776,Munira Wilson,,In kind,Hospitality and tickets to Women's World Cup Rugby Final at Twickenham Stadium with a guest,1190.00,2025-09-27,2025-09-27,,False,Allwyn Entertainment Ltd,"Tolpits Lane, Watford, WD18 9RN",Company,Allwyn Entertainment Ltd,,13157556,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13439,
13435,GMB - £900.00,,2025-10-03,2025-10-03,,"Gifts, benefits and hospitality from UK sources",5048,Antonia Bance,,In kind,"Hotel room and breakfast for two nights at Labour party conference in Liverpool, at £450 per night",900.00,2025-09-28,2025-09-28,2025-09-30,True,GMB,"Mary Turner House, 22 Stephenson Way, London, NW1 2HD",Trade Union,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13435,
13388,World Rugby Ltd - £386.40,,2025-10-01,2025-10-01,,"Gifts, benefits and hospitality from UK sources",5242,Michael Wheeler,,In kind,Tickets for me and one guest to Australia vs Samoa and Scotland vs Wales with hospitality at the Salford Community Stadium as part of the Women's Rugby World Cup.,386.40,2025-08-23,2025-08-23,,False,World Rugby Ltd,"Cassidy House, Station Road, Chester CH1 3DW",Company,World Rugby Ltd,,09199533,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13388,
13397,Carlton Club - £840.00,,2025-09-30,2025-09-30,,"Gifts, benefits and hospitality from UK sources",4474,Kevin Hollinrake,,In kind,Membership of the club whilst Chairman of the Party,840.00,2025-09-15,2025-09-15,2025-10-15,True,Carlton Club,"69 St James Street, London SW1A 1PJ",Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13397,
13375,Rugby World Cup (England 2025) - £424.60,,2025-09-26,2025-09-26,,"Gifts, benefits and hospitality from UK sources",4008,Dame Caroline Dinenage,,In kind,Tickets and hospitality for England v Australia Women's World Cup Rugby Match at Brighton.,424.60,2025-09-06,2025-09-06,,False,Rugby World Cup (England 2025),"Onside Law LLP, 642A Kings Road, London, SW6 2DU",Company,Rugby World Cup (England 2025),,14228593,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13375,
13307,Edinburgh Book Festival - £600.00,,2025-09-25,2025-09-25,,"Gifts, benefits and hospitality from UK sources",5267,Yuan Yang,,In kind,Two nights hotel accommodation paid for appearance at the festival,600.00,2025-08-18,2025-08-18,2025-08-19,True,Edinburgh Book Festival,"121 George Street, Edinburgh EH2 4YN",Company,Edinburgh Book Festival,,SC188271,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13307,
13370,"Marriott Harrison LLP - £20,077.20",,2025-09-24,2025-09-25,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal services,20077.20,2025-09-01,2025-09-19,2025-09-19,True,Marriott Harrison LLP,"80 Cheapside, London EC2V 6EE",Company,Marriott Harrison LLP,,OC372774,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13370,
