ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link,Updated_2
13371,"William Day - £4,200.00",,2025-09-24,2025-09-25,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal services,4200.00,2025-08-27,2025-09-22,2025-09-22,False,William Day,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13371,
13366,Sunderland Association Football Club - £360.00,,2025-09-24,2025-09-24,,"Gifts, benefits and hospitality from UK sources",4119,Jonathan Reynolds,,In kind,Ticket including hospitality to the Sunderland v West Ham football match. A donation for the estimated value of this ticket has been made to the Foundation of  Light  - the official charity of Sunderland AFC,360.00,2025-08-16,2025-08-16,,True,Sunderland Association Football Club,"The Sunderland Stadium of Light, Sunderland, Tyne and Wear SR5 1SU",Company,Sunderland Association Football Club,,00049116,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13366,
13348,"The Arsenal Football Club Limited - £1,000.00",,2025-09-22,2025-09-23,,"Gifts, benefits and hospitality from UK sources",4514,Sir Keir Starmer,,In kind,Tickets and hospitality for two people in the Directors' Box (approximate market value £500 each),1000.00,2025-09-13,2025-09-13,,False,The Arsenal Football Club Limited,"Highbury House, 75 Drayton Park, London N5 1BU",Company,The Arsenal Football Club Limited,,00109244,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13348,
13329,The Royal Edinburgh Military Tattoo - £452.00,,2025-09-18,2025-09-19,,"Gifts, benefits and hospitality from UK sources",1440,Pete Wishart,,In kind,An invite to the Royal Military Tattoo,452.00,2025-08-20,2025-08-20,,False,The Royal Edinburgh Military Tattoo,"1-2 Cockburn Street, Edinburgh EH1 1QB",Other,,,,,,Charity,https://interests-api.parliament.uk/api/v1/Interests/13329,
13332,Diageo PLC - £320.00,,2025-09-18,2025-09-18,,"Gifts, benefits and hospitality from UK sources",5185,Alan Gemmell,,In kind,Two tickets to the Last Night of the Proms,320.00,2025-09-13,2025-09-13,,False,Diageo PLC,"16 Great Marlborough Street, London W1F 7HS",Company,Diageo PLC,,00023307,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13332,
13310,"William Day - £6,300.00",,2025-09-17,2025-09-17,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal services,6300.00,2025-08-07,2025-08-07,2025-08-26,True,William Day,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13310,
13312,"Marriott Harrison LLP - £23,410.80",,2025-09-17,2025-09-17,,"Gifts, benefits and hospitality from UK sources",5325,Charlie Maynard,,In kind,Pro bono legal advice,23410.80,2025-08-11,2025-08-11,2025-08-31,True,Marriott Harrison LLP,"80 Cheapside, London EC2V 6EE",Company,Marriott Harrison LLP,,OC372774,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13312,
13316,The Royal Edinburgh Military Tattoo - £904.00,,2025-09-17,2025-09-17,,"Gifts, benefits and hospitality from UK sources",4735,Stephen Flynn,,In kind,"Two tickets and hospitality for myself and a guest at the Royal Edinburgh Military Tattoo, Edinburgh Castle (estimated value of £452 per person)",904.00,2025-08-20,2025-08-20,,True,The Royal Edinburgh Military Tattoo,"REMT Charities SC108857, 1-3 Cockburn Street, Edinburgh EH1 1QB",Other,,,,,,Charity,https://interests-api.parliament.uk/api/v1/Interests/13316,
13271,"Andrew Law - £3,744.00",,2025-09-15,2025-09-15,,"Gifts, benefits and hospitality from UK sources",5062,Nick Timothy,,In kind,"Two Club Wembley match tickets, including hospitality",3744.00,2025-04-26,2025-04-26,,False,Andrew Law,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13271,
13301,The Royal Edinburgh Military Tattoo (Charities) Ltd - £864.00,,2025-09-15,2025-09-15,,"Gifts, benefits and hospitality from UK sources",4484,Alan Mak,,In kind,"Two tickets for the Royal Edinburgh Military Tattoo 2025, plus attendance at post-event reception",864.00,2025-08-23,2025-08-23,,False,The Royal Edinburgh Military Tattoo (Charities) Ltd,"The Tattoo Office, 1-3 Cockburn Street, Edinburgh EH1 1QB",Company,The Royal Edinburgh Military Tattoo (Charities) Ltd,,SC108857,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13301,
13283,(1) Chartered Institute of Housing and (2) National Housing Federation - £850.00,,2025-09-11,2025-09-15,,"Gifts, benefits and hospitality from UK sources",5310,Mr Lee Dillon,,In kind,A free ticket to the Housing Summit held in Liverpool on Monday 8th and Tuesday 9th September 2025,850.00,2025-08-21,2025-09-09,,True,(1) Chartered Institute of Housing and (2) National Housing Federation,"(1) Suites 5 and 6 Rowan House, Westwood Way, Coventry CV4 8HS; (2) Lion Court, 25 Procter Street, London WC1V 6NY",Other,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13283,
13236,Wolverhampton Wanderers (Wolves) Foundation - £120.00,,2025-09-04,2025-09-15,,"Gifts, benefits and hospitality from UK sources",5230,Warinder Juss,,In kind,Wolves Foundation donated two match tickets for the Wolverhampton Wanderers v Everton game on 30 August 2025 as a raffle prize for the Wolverhampton Labour Party Summer Social Event,120.00,2025-08-30,2025-08-30,,False,Wolverhampton Wanderers (Wolves) Foundation,"Molineux Stadium, Waterloo Road, Wolverhampton WV1 4QR",Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13236,
13240,Wolverhampton Wanderers (Wolves) Foundation - £885.00,,2025-09-04,2025-09-15,,"Gifts, benefits and hospitality from UK sources",5230,Warinder Juss,,In kind,"Wolverhampton and Black Country South Asian Heritage Month Panel Event, sponsored by the Wolverhampton Wanderers (Wolves) Foundation. Value of event includes room hire (inc VAT) and a fee paid for a radio and television presenter who compered the event",885.00,2025-08-14,2025-08-14,,True,Wolverhampton Wanderers (Wolves) Foundation,"Molineux Stadium, Waterloo Road, Wolverhampton WV1 4QR",Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13240,
13291,The Quoted Companies Alliance (QCA) - £475.00,,2025-09-12,2025-09-15,,"Gifts, benefits and hospitality from UK sources",5193,Callum Anderson,,In kind,Three course dinner and wine,475.00,2025-09-11,2025-09-11,,True,The Quoted Companies Alliance (QCA),"6 Kinghorn Street, West Smithfield, London, EC1A 7HW",Company,The Quoted Companies Alliance (QCA),,04025281,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13291,
13260,Festivals Edinburgh Limited - £860.00,,2025-09-15,2025-09-15,,"Gifts, benefits and hospitality from UK sources",5155,Chris Kane,,In kind,Two tickets to the Edinburgh Military Tattoo in August 2025,860.00,2025-08-16,2025-08-16,2025-08-16,False,Festivals Edinburgh Limited,"Room 9/50 City Chambers, High Street, Edinburgh EH1 1YJ",Company,Festivals Edinburgh Limited,,SC331673,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13260,
13306,Greenbelt Festivals - £980.92,,2025-09-15,2025-09-15,,"Gifts, benefits and hospitality from UK sources",5102,Carla Denyer,,In kind,"Two glamping tickets at Greenbelt Festival 2025, at which I was a guest speaker, plus one return train ticket and one meal",980.92,2025-08-21,2025-08-21,2025-08-24,False,Greenbelt Festivals,"The Nest, Church House, 86 Tavistock Place, London WC1H 9RT",Company,Greenbelt Festivals,,1812893,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13306,
13285,"The Royal Navy - £1,574.00",,2025-09-12,2025-09-12,,"Gifts, benefits and hospitality from UK sources",5245,Chris Murray,,In kind,Hospitality on the Royal Yacht Britannia and two tickets to the Royal Edinburgh Military Tattoo for myself and guest,1574.00,2025-08-12,2025-08-12,,False,The Royal Navy,"MOD, Whitehall, London SW1A 2HB",Other,,,,,,Government department,https://interests-api.parliament.uk/api/v1/Interests/13285,
13276,Victorious Festivals Limited - £320.00,,2025-09-11,2025-09-11,,"Gifts, benefits and hospitality from UK sources",5294,Amanda Martin,,In kind,Four bolt-on VIP tickets (£80 per person) for attending the VIP area whilst at the Victorious Festival,320.00,2025-08-22,2025-08-22,,False,Victorious Festivals Limited,"364-366 Kensington High Street, London W14 8NS",Company,Victorious Festivals Limited,,08775686,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13276,
13277,Fix Radio Limited - £440.00,,2025-09-11,2025-09-11,,"Gifts, benefits and hospitality from UK sources",5294,Amanda Martin,,In kind,four tickets for Fix Fest at a value of £110 per person. I attended as a guest speaker on a panel. One of the tickets was used by a member of my staff.,440.00,2025-08-30,2025-08-30,,False,Fix Radio Limited,"Unit N201c, Vox Studios, 1-45 Durham Street, London SE11 5JH",Company,Fix Radio Limited,,09804949,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13277,
13274,The Royal Edinburgh Military Tattoo - £370.00,,2025-09-11,2025-09-11,,"Gifts, benefits and hospitality from UK sources",4634,Christine Jardine,,In kind,"Ticket, drinks and hospitality package for the Edinburgh Military Tattoo at Edinburgh Castle. Value is approximate.",370.00,2025-08-19,2025-08-19,,True,The Royal Edinburgh Military Tattoo,"1-3 Cockburn Street, Edinburgh EH1 1QB",Company,The Royal Edinburgh Military Tattoo,,SC128255,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13274,
13268,The Great Run Company /Film Nova - £400.00,,2025-09-10,2025-09-10,,"Gifts, benefits and hospitality from UK sources",4277,Emma Lewell,,In kind,Hospitality and VIP access to event for the Member of Parliament and one guest.,400.00,2025-09-07,2025-09-07,,False,The Great Run Company /Film Nova,"Tyne Bridge House, Bottle Bank, Gateshead, NE8 2AR",Company,The Great Run Company /Film Nova,,03300783,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13268,
12529,The Football Association - £494.36,,2025-09-10,2025-09-10,,"Gifts, benefits and hospitality from UK sources",4268,Steve Reed,,In kind,"2 tickets for Emirates FA Cup Final, Crystal Palace vs Manchester City, including hospitality",494.36,2025-05-17,2025-05-17,,False,The Football Association,"Wembley Stadium, London HA9 0WS",Company,The Football Association,,00077797,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/12529,
13258,Bloomsbury Publishing Plc - £363.30,,2025-09-09,2025-09-09,,"Gifts, benefits and hospitality from UK sources",1446,Chris Bryant,,In kind,One night's accommodation  for the Edinburgh Book Festival (£345) and dinner (£18.30),363.30,2025-08-19,2025-08-19,2025-08-20,True,Bloomsbury Publishing Plc,"50 Bedford Square, London WC1B 3DP",Company,Bloomsbury Publishing Plc,,01984336,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13258,
13257,Edinburgh International Book Festival - £345.00,,2025-09-09,2025-09-09,,"Gifts, benefits and hospitality from UK sources",1446,Chris Bryant,,In kind,One night's accommodation night for the Edinburgh International Book Festival,345.00,2025-08-20,2025-08-20,,True,Edinburgh International Book Festival,"121 George Street, Edinburgh EH2 4YN",Company,Edinburgh International Book Festival,,SC079939,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13257,
13244,Rugby World Cup (England 2025) - £386.00,,2025-09-06,2025-09-08,,"Gifts, benefits and hospitality from UK sources",5355,Sarah Bool,,In kind,"A hospitality ticket to the Women's Rugby World Cup at Franklin's Gardens, Northampton, following an invitation from West Northamptonshire Council",386.00,2025-08-30,2025-08-30,,True,Rugby World Cup (England 2025),"Onside Law LLP, 642A Kings Road, London SW6 2DU",Company,Rugby World Cup (England 2025),,14228593,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13244,
13247,Wigan Warriors - £610.00,,2025-09-07,2025-09-08,,"Gifts, benefits and hospitality from UK sources",5060,Josh Simons,,In kind,Two tickets and hospitality at a celebration match for me and a guest,610.00,2025-07-11,2025-07-11,,False,Wigan Warriors,"Loire Drive, Wigan, WN5 0UH",Company,Wigan Warriors,,06842878,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13247,
13229,Vodaphone Three - £650.00,,2025-09-05,2025-09-05,,"Gifts, benefits and hospitality from UK sources",5110,Euan Stainbank,,In kind,"Exact cost (inclusive of VAT) for one ticket to an evening at the Royal Edinburgh Military Tattoo, including dinner and a tour of the castle",650.00,2025-07-23,2025-08-12,,True,Vodaphone Three,"The Speechmark
114 Great Suffolk Street
London
SE1 0BE",Company,Vodaphone Three,,14903490,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13229,
13225,"Great Britain China Centre - £1,350.00",,2025-08-21,2025-09-04,,"Gifts, benefits and hospitality from UK sources",5240,Melanie Ward,,In kind,"Costs of a residential course attended by a member of my staff (Great Britain China Centre is a non-departmental body of the Foreign, Commonwealth and Development Office).",1350.00,2025-07-22,2025-07-22,2025-07-25,False,Great Britain China Centre,"Kings Buildings, Smith Square, London, SW1P 3HQ",Company,Great Britain China Centre,,01196043,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13225,
13226,Team Love - £562.50,,2025-09-03,2025-09-04,,"Gifts, benefits and hospitality from UK sources",4786,Zarah Sultana,,In kind,"Associated with being a guest speaker: Three Forwards festival tickets, valued £358.50 and accommodation for two nights valued at £204 for me and one other person",562.50,2025-08-23,2025-08-23,2025-08-24,True,Team Love,"Unit 6 Parkway Trading Estate, St Werburghs Road, Bristol BS2 9PG",Company,Team Love,,08502819,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13226,
13214,Great Yarmouth Racecourse - £556.00,,2025-09-02,2025-09-02,,"Gifts, benefits and hospitality from UK sources",5158,Rupert Lowe,,In kind,Private Box Package,556.00,2025-08-15,2025-08-15,,True,Great Yarmouth Racecourse,"Jellicoe Road, Great Yarmouth, Norfolk NR30 4AU",Company,Great Yarmouth Racecourse,,04266183,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13214,
13208,The Jockey Club Rooms - £780.00,,2025-09-02,2025-09-02,,"Gifts, benefits and hospitality from UK sources",5062,Nick Timothy,,In kind,Honorary membership,780.00,2025-04-01,2025-04-01,2026-03-31,True,The Jockey Club Rooms,"101 High Street, Newmarket, Suffolk CB8 8JL",Company,The Jockey Club Rooms,,00944773,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13208,
13210,Football Association - £390.00,,2025-09-02,2025-09-02,,"Gifts, benefits and hospitality from UK sources",4849,Alex Davies-Jones,,In kind,Two tickets and hospitality for myself and one guest for the Crystal Palace vs Liverpool  FA Community Shield Final 2025,390.00,2025-08-10,2025-08-10,,False,Football Association,"London Football Association, Wembley Stadium, PO BOX 1996 SW1P 9EQ",Company,Football Association,,00077797,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13210,
13192,BBC - £46.32,,2025-08-30,2025-09-01,,"Gifts, benefits and hospitality from UK sources",5249,Dr Ellie Chowns,,In kind,2 taxi journeys for an appearance on Newsnight in London on 28 Aug 2025 (cost is estimated),46.32,2025-08-28,2025-08-28,,True,BBC,"Broadcasting House, Portland Place, London W1A 1AA",Company,BBC,,RC000057,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13192,
13198,City of York Council - £322.00,,2025-09-01,2025-09-01,,"Gifts, benefits and hospitality from UK sources",5199,Mr Luke Charters,,In kind,"Two tickets to attend the Women's Rugby World Cup Italy vs South Africa match at LNER Community stadium, including food & drink for myself and a staff member",322.00,2025-08-31,2025-08-31,,False,City of York Council,"West Offices, Station Rise, York YO1 6GA",Other,,,,,,Council,https://interests-api.parliament.uk/api/v1/Interests/13198,
13184,Sky UK Limited - £432.00,,2025-08-28,2025-08-29,,"Gifts, benefits and hospitality from UK sources",4263,Lucy Powell,,In kind,Two tickets with hospitality at The Oval to watch the England v India cricket Test Match,432.00,2025-08-03,2025-08-03,,False,Sky UK Limited,"Grant Way, Isleworth, Middlesex TW7 5QD",Company,Sky UK Limited,,2906991,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13184,
13191,Sky UK Ltd - £432.00,,2025-08-29,2025-08-29,,"Gifts, benefits and hospitality from UK sources",4637,Mr James Frith,,In kind,Two tickets to the Oval Cricket Ground for England versus India with food,432.00,2025-08-03,2025-08-03,,False,Sky UK Ltd,"Grant Way, Isleworth, Middlesex TW7 5QD",Company,Sky UK Ltd,,02906991,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13191,
13188,ITV Breakfast Broadcasting Ltd - £181.26,,2025-08-29,2025-08-29,,"Gifts, benefits and hospitality from UK sources",5050,Lewis Cocking,,In kind,Taxi travel provided to and from studios - to go on Good Morning Britain,181.26,2025-08-25,2025-08-25,2025-08-25,True,ITV Breakfast Broadcasting Ltd,"Itv White City, 201 Wood Lane, London W12 7RU",Company,ITV Breakfast Broadcasting Ltd,,7698963,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13188,
13189,The Duchess of Richmond - £750.00,,2025-08-29,2025-08-29,,"Gifts, benefits and hospitality from UK sources",4651,Dan Carden,Bloodstock and Horse Racing,In kind,to attend Goodwood on 29th July 2025 in their Grace's Box and including hospitality,750.00,2025-07-29,2025-07-29,,True,The Duchess of Richmond,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13189,
13187,ITV Breakfast Broadcasting Ltd - £181.26,,2025-08-29,2025-08-29,,"Gifts, benefits and hospitality from UK sources",5050,Lewis Cocking,,In kind,Taxi travel provided to and from studios - to go on Good Morning Britain,181.26,2025-07-11,2025-07-11,2025-07-11,True,ITV Breakfast Broadcasting Ltd,"Itv White City, 201 Wood Lane, London W12 7RU",Company,ITV Breakfast Broadcasting Ltd,,07698963,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13187,
13182,Football Supporters’ Association - £675.00,,2025-08-28,2025-08-28,,"Gifts, benefits and hospitality from UK sources",4783,Kate Osborne,,In kind,Three tickets and hospitality to the FA Community Shield at Wembley,675.00,2025-08-10,2025-08-10,,False,Football Supporters’ Association,"4 Admiral Way, Doxford International Business Park, Sunderland SR3 3XW",Company,Football Supporters’ Association,,11660866,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13182,
13181,Vodafone - £650.00,,2025-08-28,2025-08-28,,"Gifts, benefits and hospitality from UK sources",5309,Katrina Murray,,In kind,Royal Gallery ticket for myself for the Edinburgh Royal Military Tattoo with hospitality prior to and during performance,650.00,2025-08-12,2025-08-12,,True,Vodafone,"Vodafone House
The Connection
Newbury
Berkshire
RG14 2FN",Company,Vodafone,,01471587,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13181,
13177,Tommy Sheppard - £328.98,,2025-08-27,2025-08-27,,"Gifts, benefits and hospitality from UK sources",4500,Clive Lewis,,In kind,Hospitality provided in relation to a speaking engagement at Edinburgh Fringe Festival. Estimated costs: accommodation (£191); food and drink (£43.98); travel (£94),328.98,2025-08-08,2025-08-08,2025-08-09,True,Tommy Sheppard,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13177,
13173,"BN1 Events Collective Ltd - £1,100.00",,2025-08-27,2025-08-27,,"Gifts, benefits and hospitality from UK sources",4356,Angela Rayner,,In kind,"5 x tickets at the Pride Event, Brighton and Hove.",1100.00,2025-08-02,2025-08-02,,False,BN1 Events Collective Ltd,"c/o The Loop Accounts Ltd Formal House, 60 St Georges Place, Cheltenham, Gloucestershire GL50 3PN",Company,BN1 Events Collective Ltd,,15192427,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13173,
13167,PRS for Music Limited - £760.00,,2025-08-22,2025-08-26,,"Gifts, benefits and hospitality from UK sources",5115,Jon Pearce,,In kind,One ticket for attendance at the Ivor Novello Awards (value is estimated),760.00,2025-05-22,2025-05-22,,True,PRS for Music Limited,"1st Floor, Golding’s House, 2 Hays Lane, London SE1 2HB",Company,PRS for Music Limited,,03444246,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13167,
13170,BBC - £160.00,,2025-08-26,2025-08-26,,"Gifts, benefits and hospitality from UK sources",4479,Nick Thomas-Symonds,,In kind,"Associated with an appearance on Any Questions, car travel to and from my constituency to Stogursey and District Victory Village Hall, near Bridgwater, Somerset. Value is estimated.",160.00,2025-08-22,2025-08-22,,True,BBC,"Broadcasting House, Portland Place, London W1A 1AA",Company,BBC,,RC000057,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13170,
13165,Food and Drink Federation - £359.00,,2025-08-22,2025-08-22,,"Gifts, benefits and hospitality from UK sources",5094,Ms Julie Minns,,In kind,Ticket to Food and Drink Industry dinner,359.00,2025-03-26,2025-03-26,,True,Food and Drink Federation,"10 Bloomsbury Way, London WC1A 2SL",Company,Food and Drink Federation,,00210572,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13165,
13164,Embassy of Qatar - £574.00,,2025-08-22,2025-08-22,,"Gifts, benefits and hospitality from UK sources",4651,Dan Carden,,In kind,Ticket (£120) and hotel (£454) for the Qatar Goodwood Festival 2025.,574.00,2025-07-29,2025-07-29,,True,Embassy of Qatar,"1 South Audley Street, London W1K 1NB",Other,,,,,,Embassy,https://interests-api.parliament.uk/api/v1/Interests/13164,
13163,"Great Britain China Centre - £1,350.00",,2025-08-22,2025-08-22,,"Gifts, benefits and hospitality from UK sources",5185,Alan Gemmell,,In kind,Costs of a residential course attended by a member of my staff,1350.00,2025-07-22,2025-07-22,,False,Great Britain China Centre,"Kings Buildings, Smith Square, London SW1P 3HQ",Company,Great Britain China Centre,,01196043,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13163,
13157,Seabright Live Ltd - £362.00,,2025-08-20,2025-08-21,,"Gifts, benefits and hospitality from UK sources",4370,Jess Phillips,,In kind,"Hotel for the night in Edinburgh, my husband accompanied me, where I was appearing at an event produced by Seabright Live",362.00,2025-08-01,2025-08-01,,False,Seabright Live Ltd,"100 Black Prince Rd, London SE1 7SJ",Company,Seabright Live Ltd,,14661522,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13157,
13155,Green Blade Fayre Ltd - £570.00,,2025-08-20,2025-08-21,,"Gifts, benefits and hospitality from UK sources",4786,Zarah Sultana,,In kind,Three tickets to the Beautiful Days festival associated with being a guest speaker at the Rebel Tent,570.00,2025-08-17,2025-08-17,,False,Green Blade Fayre Ltd,"55 Canning Street, Brighton BN2 OEF",Company,Green Blade Fayre Ltd,,04455770,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13155,
13154,"Hull Trains Company Limited - £1,634.40",,2025-08-20,2025-08-20,,"Gifts, benefits and hospitality from UK sources",5105,Jo White,,In kind,36 rail tickets for Summer School students,1634.40,2025-07-24,2025-07-24,,True,Hull Trains Company Limited,"The Point, 8th Floor, 37 North Wharf Road, London W2 1AF",Company,Hull Trains Company Limited,,03715410,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/13154,
13148,Steve Harman - £500.00,,2025-08-19,2025-08-19,,"Gifts, benefits and hospitality from UK sources",4020,George Freeman,,In kind,Tickets and lunch for me and my wife at Goodwood racing.,500.00,2025-08-01,2025-08-01,,False,Steve Harman,,Individual,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/13148,
