ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,RegularityOfPayment,StartDate,EndDate,PeriodForHoursWorked,JobTitle,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,Link,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6
13832,"Agreement starting 15 September 2025 - £4,000.00",13571,2025-11-14,2025-11-14,,Employment and earnings - Ongoing paid employment,4108,Sir Gavin Williamson,Monthly,2025-09-15,,Weekly,,Monetary,,4000.00,7.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/13832,,,,,
4708,"Agreement - £15,000.00",4707,,2025-10-28,2014-03-19,Employment and earnings - Ongoing paid employment,249,Sir Geoffrey Clifton-Brown,Yearly,,,Yearly,,In kind,The use of a car belonging to the partnership (value as at 29 September 2025),15000.00,268.00,maximum,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/4708,2019-10-31,2020-11-11,2022-11-22,2025-01-03,2025-10-27
13339,"Agreement starting 27 August 2025 - £1,458.00",13338,2025-09-19,2025-09-19,,Employment and earnings - Ongoing paid employment,4651,Dan Carden,Monthly,2025-08-27,2027-08-26,Monthly,,In kind,"Share options of 0.1% (valued at £35,000 in total)",1458.00,5.00,approximately,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/13339,,,,,
13098,"Agreement starting 01 July 2025 - £25,000.00",13096,2025-08-12,2025-08-12,,Employment and earnings - Ongoing paid employment,4495,Kit Malthouse,Yearly,2025-07-01,,Monthly,,Monetary,,25000.00,35.00,Hours worked between 10-35 hours/month,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/13098,,,,,
13004,Agreement starting 15 July 2025 - £416.67,13003,2025-07-25,2025-07-28,,Employment and earnings - Ongoing paid employment,4853,Dr Neil Hudson,Monthly,2025-07-15,2028-06-30,Monthly,,Monetary,(£5000 per annum),416.67,7.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/13004,,,,,
12690,"Agreement starting 27 June 2025 - £22,000.00",12689,2025-07-10,2025-07-10,,Employment and earnings - Ongoing paid employment,1211,Sir Andrew Mitchell,Quarterly,2025-06-27,2026-06-26,Quarterly,,Monetary,"(amount has been converted from US Dollars based on on 3 July 2025 exchange rate), Africa50 will meet the cost of any travel and other expenses arising from this role",22000.00,30.00,approx.,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12690,,,,,
12735,"Agreement - £8,750.00",12733,2025-06-27,2025-06-30,,Employment and earnings - Ongoing paid employment,4462,Tom Tugendhat,Quarterly,,,Monthly,,Monetary,(payment will be made at the end of each quarter),8750.00,10.00,Estimated,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12735,,,,,
12484,"Agreement starting 01 May 2025 - £15,000.00",12483,2025-05-21,2025-05-21,,Employment and earnings - Ongoing paid employment,3912,Richard Fuller,Yearly,2025-05-01,,Monthly,,Monetary,,15000.00,8.00,,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12484,,,,,
12322,"Agreement starting 01 April 2025 - £3,000.00",12321,2025-04-30,2025-05-01,,Employment and earnings - Ongoing paid employment,4651,Dan Carden,Monthly,2025-04-01,,Monthly,,Monetary,"(£36,000 per annum)",3000.00,12.00,approximately,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/12322,,,,,
11942,Agreement starting 26 February 2025 - £977.01,3636,2025-03-05,2025-03-05,,Employment and earnings - Ongoing paid employment,4573,Dr Rosena Allin-Khan,Monthly,2025-02-26,,Yearly,,Monetary,Most work is at unsociable hours.,977.01,213.00,approximate,False,,False,,,False,,,,https://interests-api.parliament.uk/api/v1/Interests/11942,,,,,
