ID,Parent Interest ID,Summary,Registration Date,Published Date,Updated Date,Category,Member,MNIS ID,JobTitle,Employer,PersonName,EndDate,FamilyMemberRelationshipLevel,FamilyRelationType,Link_1
9266,,David Taylor employed as Lobbyist,2024-08-02,2024-08-04,,Family members engaged in third-party lobbying,Joani Reid,5079,Director,Earthcott Limited,David Taylor,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/9266
9784,,Steve Richards employed as Lobbyist,2024-08-03,2024-08-04,,Family members engaged in third-party lobbying,Jake Richards,5082,Freelance,Self Employed,Steve Richards,,Related to member directly,Father,https://interests-api.parliament.uk/api/v1/Interests/9784
6610,,Mark Henry Glover employed as Lobbyist,2024-08-04,2024-08-04,,Family members engaged in third-party lobbying,Johanna Baxter,5063,Executive Chairman,SEC Newgate UK,Mark Henry Glover,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/6610
8424,,Sam White employed as Lobbyist,2024-08-02,2024-08-04,,Family members engaged in third-party lobbying,Katie White,5260,"Specialist Partner, Flint Global and Next Chapter Strategy",Self Employed,Sam White,,Related to partner,Partner,https://interests-api.parliament.uk/api/v1/Interests/8424
6151,,Alastair Craft employed as Lobbyist,2024-07-29,2024-07-29,,Family members engaged in third-party lobbying,Jen Craft,5056,Director,Cavendish Consulting,Alastair Craft,,Related to spouse,Spouse,https://interests-api.parliament.uk/api/v1/Interests/6151
7566,,Will Tanner employed as Lobbyist,2024-07-26,2024-07-26,,Family members engaged in third-party lobbying,Lucy Rigby,5333,Director and Head of Public Affairs,TB Cardew,Will Tanner,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/7566
6809,,Emma Francis employed as Lobbyist,2024-07-22,2024-07-22,,Family members engaged in third-party lobbying,Daniel Francis,5184,"Director, Community Conversations Ltd.",Community Conversations Ltd.,Emma Francis,,Related to spouse,Spouse,https://interests-api.parliament.uk/api/v1/Interests/6809
6336,,Rishi Patel employed as Lobbyist,2024-07-22,2024-07-22,,Family members engaged in third-party lobbying,Peter Swallow,5165,Associate Director,BB Partners,Rishi Patel,,Related to member directly,Partner,https://interests-api.parliament.uk/api/v1/Interests/6336
6300,,Jacob Tilley employed as Lobbyist,2024-07-15,2024-07-15,,Family members engaged in third-party lobbying,Uma Kumaran,5278,Director,Cavendish,Jacob Tilley,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/6300
1194,,Andrew Clark employed as Lobbyist,2020-01-10,2023-12-17,,Family members engaged in third-party lobbying,Feryal Clark,4822,Director,Kanda Consultancy,Andrew Clark,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/1194
1205,,Alice Whittingdale employed as Lobbyist,2023-08-07,2023-12-17,,Family members engaged in third-party lobbying,Sir John Whittingdale,39,Senior Consultant,Hanover Communications,Alice Whittingdale,,Related to member directly,Daughter,https://interests-api.parliament.uk/api/v1/Interests/1205
1197,,Daniel Paterson employed as Lobbyist,2021-11-16,2023-12-17,,Family members engaged in third-party lobbying,Sarah Green,4918,Self-employed political consultant,Self Employed,Daniel Paterson,,Related to member directly,Partner,https://interests-api.parliament.uk/api/v1/Interests/1197
1202,,Joseph Dancey employed as Lobbyist,2016-01-28,2023-12-17,2021-05-11,Family members engaged in third-party lobbying,Wes Streeting,4504,Owner and director,"Endeavour Advisory Ltd, which provides communications and public affairs advice",Joseph Dancey,,Related to member directly,Partner,https://interests-api.parliament.uk/api/v1/Interests/1202
1198,,Philip Brady employed as Lobbyist,2015-06-02,2023-12-17,,Family members engaged in third-party lobbying,Dame Nia Griffith,1541,Freelance public relations consultant,Self Employed,Philip Brady,,Related to spouse,Brother,https://interests-api.parliament.uk/api/v1/Interests/1198
1193,,Nicholas Gash employed as Lobbyist,2015-06-08,2023-12-17,,Family members engaged in third-party lobbying,Ruth Cadbury,4389,"Sole trader, providing policy and public affairs advice to clients",Self Employed,Nicholas Gash,,Related to member directly,Spouse,https://interests-api.parliament.uk/api/v1/Interests/1193
1200,,Joseph Jones employed as Lobbyist,2021-04-28,2023-12-17,2022-12-09,Family members engaged in third-party lobbying,Sarah Jones,4631,Director,"Flint Global (which advises international businesses and investors on policy, politics, regulation, and competition issues in European markets)",Joseph Jones,,Related to member directly,Son,https://interests-api.parliament.uk/api/v1/Interests/1200
1203,,Oscar Tami employed as Lobbyist,2022-06-22,2023-12-17,,Family members engaged in third-party lobbying,Mark Tami,1383,Account Executive,Lodestone Communications; a public relations company,Oscar Tami,,Related to member directly,Son,https://interests-api.parliament.uk/api/v1/Interests/1203
