ID,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,MNIS ID,Member,Appg,PaymentType,PaymentDescription,Value,ReceivedDate,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Link,Updated_2
14589,"The Football Association Premier League Ltd - £1,110.00",,2026-02-19,2026-02-20,,"Gifts, benefits and hospitality from UK sources",5299,Monica Harding,,In kind,Ticket +1 and hospitality to match between Chelsea and Pafos on 21 January 2026,1110.00,2026-01-21,2026-01-21,,True,The Football Association Premier League Ltd,"Brunel Building
57 North Wharf Road
London
W2 1HQ",Company,The Football Association Premier League Ltd,,02719699,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14589,
14578,"The Arsenal Football Club Limited - £1,000.00",,2026-02-18,2026-02-18,,"Gifts, benefits and hospitality from UK sources",4514,Sir Keir Starmer,,In kind,"Tickets and hospitality for two people in the Directors' Box (approximate market value £500 each), value £1,000",1000.00,2026-02-07,2026-02-07,,False,The Arsenal Football Club Limited,"Arsenal Football Club, Highbury House, 75 Drayton Park, London N5 1BU",Company,The Arsenal Football Club Limited,,00109244,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14578,
14562,The Premier League - £386.86,,2026-02-18,2026-02-18,,"Gifts, benefits and hospitality from UK sources",5166,Mark Sewards,,In kind,"Ticket and hospitality for Leeds v Arsenal Football Match at Elland Rd Stadium, Leeds",386.86,2026-01-31,2026-01-31,,True,The Premier League,"Brunel Building, 57 North Wharf Road, London W2 1HQ",Company,The Premier League,,02719699,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14562,
14563,The Football Association Premier League - £555.00,,2026-02-14,2026-02-14,,"Gifts, benefits and hospitality from UK sources",5040,Liz Jarvis,Football,In kind,Ticket and hospitality at the Champions League match between Chelsea and Pafos.,555.00,2026-01-21,2026-01-21,,True,The Football Association Premier League,"Brunel Building, 57 North Wharf Road, London W2 1HQ
UK",Company,The Football Association Premier League,,02719699,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14563,
14552,East Midlands Enterprise Foundation - £500.00,,2026-02-12,2026-02-13,,"Gifts, benefits and hospitality from UK sources",5330,Mr Peter Bedford,,In kind,Ticket & Hospitality for launch event of the East Midlands Enterprise Foundation at Eaton Hall (Clay) Shooting Ground,500.00,2026-02-12,2026-02-12,2026-02-12,True,East Midlands Enterprise Foundation,"13 The Courtyard, Timothy's Bridge Road, Stratford-Upon-Avon, Warwickshire CV37 9NP",Company,East Midlands Enterprise Foundation,,16740857,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14552,
14551,English National Opera - £358.00,,2026-02-12,2026-02-12,,"Gifts, benefits and hospitality from UK sources",4610,Bambos Charalambous,,In kind,Two tickets and hospitality for 'Cosi Fan Tutte' opera at the Coliseum on Friday 6 February 2026,358.00,2026-02-06,2026-02-06,,True,English National Opera,"London Coliseum, 
St Martins Lane, 
London, 
WC2N 4ES",Company,English National Opera,,00426792,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14551,
14524,Babcock International PLC - £177.00,,2026-02-09,2026-02-11,,"Gifts, benefits and hospitality from UK sources",5275,Graeme Downie,,In kind,Burns Supper hospitality,177.00,2026-02-03,2026-02-03,,False,Babcock International PLC,"33 Wigmore Street, London W1U 1QZ",Company,Babcock International PLC,,00065805,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14524,
14532,The Football Association Premier League Ltd - £550.00,,2026-02-10,2026-02-10,,"Gifts, benefits and hospitality from UK sources",4610,Bambos Charalambous,,In kind,Ticket and hospitality to watch the Champions League football match between Chelsea and Pafos on 21 January 2026,550.00,2026-01-21,2026-01-21,,True,The Football Association Premier League Ltd,"Brunel Building, 57 North Wharf Road, London W2 1HQ",Company,The Football Association Premier League Ltd,,02719699,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14532,
14518,Enersoft International Limited - £900.00,,2026-02-09,2026-02-09,,"Gifts, benefits and hospitality from UK sources",4371,Brendan O'Hara,,In kind,Single ticket and matchday hospitality at Tottenham Hotspur v Borussia Dortmund,900.00,2026-01-20,2026-01-20,,True,Enersoft International Limited,"74 York Street, Suite 7-4, Glasgow G2 8JX",Company,Enersoft International Limited,,SC621728,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14518,
14515,THE NORTON MOTORCYCLE CO. LIMITED - £899.00,,2026-02-06,2026-02-09,,"Gifts, benefits and hospitality from UK sources",5197,Dr Neil Shastri-Hurst,,In kind,Hedon for Norton carbon fibre motorcycle helmet,899.00,2026-02-06,2026-02-06,,False,THE NORTON MOTORCYCLE CO. LIMITED,"Unit 500 Solar Park, Highlands Road, Solihull B90 4SH",Company,THE NORTON MOTORCYCLE CO. LIMITED,,12545195,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14515,
14516,THE NORTON MOTORCYCLE CO. LIMITED - £40.00,,2026-02-07,2026-02-09,,"Gifts, benefits and hospitality from UK sources",5197,Dr Neil Shastri-Hurst,,In kind,Buffet lunch for myself and a staff member following a meeting at and a tour of Norton Motorcycle factory in my constituency. Value is estimated,40.00,2026-02-06,2026-02-06,,False,THE NORTON MOTORCYCLE CO. LIMITED,"Unit 500 Solar Park, Highlands Road, Solihull B90 4SH",Company,THE NORTON MOTORCYCLE CO. LIMITED,,12545195,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14516,
14439,"National Liberal Club - £1,140.00",,2026-02-05,2026-02-05,,"Gifts, benefits and hospitality from UK sources",5313,Zöe Franklin,,In kind,Membership of the National Liberal Club until 31st December 2026,1140.00,2026-01-01,2026-01-02,2026-12-31,True,National Liberal Club,"1 Whitehall Place
London
SW1A 2HE",Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/14439,
14450,Enersoft International Ltd - £900.00,,2026-01-30,2026-02-02,2026-02-05,"Gifts, benefits and hospitality from UK sources",4735,Stephen Flynn,,In kind,Single ticket and matchday hospitality at Tottenham Hotspur v Borussia Dortmund,900.00,2026-01-20,2026-01-20,,True,Enersoft International Ltd,"74 York Street, Suite 7-4, Glasgow G2 8JX",Company,Enersoft International Ltd,,SC621728,Companies House,,,https://interests-api.parliament.uk/api/v1/Interests/14450,
14433,Barbara Daniel - £350.00,,2026-01-28,2026-02-02,,"Gifts, benefits and hospitality from UK sources",5139,Emily Darlington,,In kind,"two tickets and hospitality, to Cirque de Soleil",350.00,2026-01-12,2026-01-12,,False,Barbara Daniel,"Quebec Government Office, 59 Pall Mall, London SW1Y 5JH",Other,,,,,,High Commission,https://interests-api.parliament.uk/api/v1/Interests/14433,
14452,"National Liberal Club - £1,348.00",,2026-01-30,2026-02-02,,"Gifts, benefits and hospitality from UK sources",5299,Monica Harding,,In kind,"Complimentary membership to the National Liberal Club, 2026",1348.00,2026-01-01,2026-01-01,2026-12-31,True,National Liberal Club,"1 Whitehall Place, London SW1A 2HE",Unincorporated association,,,,,,,https://interests-api.parliament.uk/api/v1/Interests/14452,
